объект;Холодный резерв (котёл под водой);Холодный резерв;Горячий резерв;Работа 20Т;Работа 25Т;Работа 30Т
smoke_pump;False;False;True;True;True;True
current_smoke_pump;0;0;0;0;0;0
K5PC5CHSP;5;5;-40;-40;-40;-40
K5PC5CHOP;0;0;10;25.92811;40.27494;50.47416
K5PC5CHMO ;M;M;M;A;A;A
K5PCV5;0;0;95;96.13395;96.86331;95.58419
K5PCV5_task;0;0;95;96.13395;96.86331;95.58419
K5T4;5;5;100;111.1924;120.499;131.3306
K5P21;0;0;-246.0119;-256.9892;-383.8112;-508.8642
K5T18_2;5;5;75.68774;74.67518;84.44536;98.88358
K5T7;5;5;45.20531;42.18104;40.36083;48.1526
K5P19_1;0;0;-339.544;-326.346;-299.5558;-272.7683
K5P19_2;0;0;-298.5212;-279.9306;-242.3058;-211.6629
K5T8_1;0;0;51.44906;53.90375;54.12125;62.9999
K5T8_2;0;0;60.98;62.72292;62.55386;73.35146
K5T8_3;0;0;100.846;103.2397;106.5301;118.7773
