K5PS14_1.PV;K0P102_1.PV
4.259063;4.191412
4.257581;4.191262
4.257994;4.190963
4.256081;4.190662
4.252088;4.189275
4.2552;4.188862
4.250513;4.187344
4.255013;4.186762
4.248431;4.186406
4.247419;4.185019
4.252969;4.184381
4.250869;4.182731
4.246238;4.182713
4.247906;4.179844
4.244381;4.179112
4.247044;4.178325
4.245188;4.175869
4.2408;4.175457
4.245206;4.172888
4.23825;4.171819
4.242656;4.169156
4.233057;4.167694
4.239806;4.165257
4.229737;4.163344
4.236431;4.1601
4.226644;4.159388
4.183369;4.157719
4.182713;4.157456
4.183931;4.157194
4.183106;4.156931
4.18275;4.156744
4.18125;4.156425
4.182038;4.156294
4.179731;4.155525
4.177537;4.155394
4.23225;4.155188
4.224375;4.155
4.178212;4.154925
4.182787;4.154438
4.17675;4.15425
4.180838;4.153781
4.175737;4.153444
4.180838;4.152919
4.174444;4.152375
4.1808;4.151662
4.221469;4.15155
4.228125;4.150931
4.17375;4.150856
4.180481;4.15035
4.179938;4.150256
4.179619;4.149544
4.173412;4.149525
4.219556;4.148737
4.172231;4.148306
4.178062;4.147631
4.170394;4.146525
4.1766;4.146
4.224056;4.145794
4.169269;4.145438
4.175888;4.144743
4.216106;4.14465
4.176487;4.144238
4.165537;4.144069
4.163081;4.1436
4.1646;4.143544
4.168594;4.143487
4.19625;4.143319
4.161394;4.143188
4.161619;4.14315
4.175494;4.143094
4.16475;4.143056
4.161994;4.142925
4.162762;4.14285
4.195556;4.142756
4.16235;4.142606
4.165125;4.14255
4.165312;4.14255
4.19535;4.142531
4.194806;4.142512
4.163363;4.142475
4.174181;4.142081
4.161094;4.142063
4.1625;4.142044
4.163662;4.14195
4.194225;4.1418
4.161675;4.141593
4.161506;4.141575
4.166287;4.141537
4.163644;4.1415
4.19445;4.141425
4.159856;4.141406
4.2183;4.141406
4.212788;4.141313
4.160662;4.141275
4.160569;4.141219
4.192369;4.141162
4.163775;4.141031
4.161469;4.140938
4.1598;4.140919
4.162125;4.140788
4.193194;4.140788
4.160306;4.140581
4.174162;4.140581
4.163906;4.140544
4.160738;4.140488
4.158863;4.140375
4.161469;4.140225
4.161937;4.140206
4.191487;4.140112
4.159612;4.140094
4.170881;4.140075
4.158787;4.139869
4.190588;4.13985
