K0P125.PV;K5P110.PV
69.02493;66.25404
68.9527;66.53107
68.9304;66.39844
68.89967;66.23507
68.8985;66.52406
68.8746;66.39922
68.85508;66.12521
68.81465;66.42445
68.77155;66.00391
68.7613;66.01892
68.74365;66.21748
68.73663;66.20971
68.73576;66.08181
68.72284;66.07707
68.70357;66.13791
68.67442;65.83483
68.64672;65.72591
68.64057;66.01273
68.6319;65.80116
68.62054;66.21447
68.59654;65.79683
68.58978;65.88388
68.58855;65.84589
68.57291;65.78702
68.52765;65.64914
68.51705;65.69573
68.51638;65.82713
68.5067;65.56084
68.49113;65.66702
68.48891;66.01852
68.48328;65.78041
68.45266;65.48907
68.44032;65.8756
68.43282;65.62284
68.42278;65.9944
68.41644;65.6864
68.40007;65.45197
68.37582;65.6268
68.37527;65.5888
68.35699;65.59467
68.35033;65.52002
68.33594;65.36373
68.30157;65.65844
68.28114;65.71204
68.26662;65.56927
68.26392;65.47912
68.261;65.81826
68.25082;65.82272
68.24976;65.77079
68.22311;65.9286
68.21762;65.56642
68.21593;65.58457
68.20223;65.87791
68.19685;65.23232
68.19244;65.69841
68.19106;65.57462
68.18609;65.63377
68.18414;65.69032
68.17076;65.65478
68.16519;65.61777
68.16469;65.57249
68.16036;65.17273
68.15547;65.78434
68.14436;65.6793
68.10421;65.4555
68.093;65.59432
68.09277;65.55866
68.07922;65.63892
68.0402;65.51779
68.01682;65.43452
67.97913;65.39336
67.97134;64.72391
67.96342;64.82765
67.94608;65.46597
67.93164;65.22506
67.91381;65.21545
67.89727;65.35458
67.88683;65.27906
67.88411;65.28783
67.85828;65.06725
67.85277;64.73539
67.83204;65.47039
67.82982;65.24632
67.82398;64.85197
67.81237;65.32332
67.81232;65.08888
67.80704;64.94559
67.78818;65.06076
67.78749;65.37634
67.77984;64.93119
67.77184;65.25966
67.77091;64.70296
67.76759;65.09462
67.75777;65.25145
67.74435;65.29995
67.73727;64.9432
67.73113;65.00753
67.72541;65.33423
67.71165;65.16953
67.704;65.13934
67.70313;64.98199
67.68945;65.06076
67.68113;65.13232
67.67836;64.53272
67.67813;64.97736
67.67275;65.048
67.66507;65.19658
67.664;65.10488
67.65687;64.95213
67.65478;65.03197
67.65173;64.88963
67.64766;64.61774
67.6461;64.98651
67.62436;64.70038
67.60631;65.04638
67.549;64.66135
67.52438;64.62508
67.44596;63.71249
67.42554;64.65772
67.36555;64.0509
67.35674;64.04058
66.89761;63.78165
66.89584;63.24626
66.87718;63.07931
66.75259;63.60427
66.68513;62.94697
66.65165;63.17867
66.58926;62.9627
66.53733;63.2279
