K0P125.PV;K5Q2_2.PV;K5FCV4_2I.PV;K5P6.PV;K5PCV6I.PV;K5PCV17_1I.PV;K5P17_1.PV;K5PCV17_2I.PV;K5P17_2.PV;K5F3.PV;K5T20.PV;K5P110.PV;K5PCV4I.PV;K5T12.PV;K5P13.PV;K5HCV60I.PV;K5P16_1.PV;K5GKAL.PV;K5HCV61I.PV;K5P16_2.PV;K5FCV4_1I.PV;K5Q2_1.PV;K5P4_1.PV
69.02493;456.3546;9.912379;1.346088;95.59053;70.5126;8.802091;98.34;8.61372;2674.899;-11.56298;66.25404;35.45544;160.7074;4.026606;99.02571;0.9010729;19.28849;98.06734;1.014424;10.51269;495.318;16.66402
68.9527;328.4229;9.958347;0.6201627;95.53967;70.65926;4.653776;98.40217;4.534199;1921.048;-10.90143;66.53107;26.80279;140.5967;3.984337;99.0166;0.3895762;13.97164;98.07597;0.4749774;10.53215;347.6366;9.004105
68.9304;416.7405;10.12812;0.871911;94.93235;70.53325;6.114278;98.35094;5.953532;2219.692;-14.45294;66.39844;29.89616;148.0984;3.996593;98.83247;0.5659921;16.02819;98.04272;0.663139;10.44313;441.8423;11.66558
68.89967;451.5444;9.991779;0.9039769;94.87467;70.40954;6.335032;98.24129;6.167168;2269.64;-16.76563;66.23507;30.41881;150.2292;4.012558;98.84099;0.5850815;16.37518;98.04234;0.6858981;10.51112;481.1713;12.04519
68.8985;412.1317;10.21523;0.820174;95.23555;70.65488;5.741557;98.43048;5.589488;2137.768;-11.37438;66.52406;29.18794;146.3192;3.988866;98.84442;0.532205;15.46932;98.00822;0.6241875;10.41186;436.5425;11.00107
68.8746;325.4563;9.966478;0.6461663;95.52306;70.69131;4.888418;98.4185;4.764278;1971.471;-11.17966;66.39922;27.3306;141.0578;3.988871;99.0294;0.408531;14.34733;98.05029;0.4949604;10.54829;339.3807;9.438024
68.85508;422.3496;9.942534;1.130473;95.55491;70.5694;7.678723;98.35389;7.504695;2491.026;-12.79549;66.12521;33.28376;153.8139;4.013313;99.03325;0.7479131;17.94276;98.07685;0.8541868;10.55106;451.5445;14.57613
68.81465;408.5509;10.2017;0.7976971;95.0918;70.63009;5.583777;98.42587;5.436651;2107.202;-11.23928;66.42445;28.83019;146.3253;3.985844;98.83938;0.5156246;15.26145;98.01917;0.6070039;10.51307;439.7661;10.71125
68.77155;245.185;9.838741;0.7146439;95.31052;70.57683;5.069501;98.33121;4.932037;1998.044;-12.67291;66.00391;27.68544;143.4709;4.0043;98.99754;0.4540831;14.33053;98.03288;0.544866;16.79984;1234.765;9.751116
68.7613;256.762;9.872911;0.7132345;95.21268;70.52554;5.107086;98.30888;4.967588;2010.17;-13.91023;66.01892;27.71646;143.024;3.997052;99.00587;0.4521143;14.46035;98.07105;0.5443813;16.84249;1155.625;9.817025
68.74365;472.9709;9.507479;0.7593457;94.88129;70.42438;5.304862;98.25308;5.172522;2073.989;-15.42185;66.21748;28.2392;145.5296;4.000394;98.93507;0.4849823;15.12991;98.01256;0.5801067;10.45201;489.933;10.1887
68.73663;359.1708;9.976155;0.6807822;95.59487;70.70729;5.08743;98.4696;4.960288;2010.948;-10.42922;66.20971;27.66476;142.1063;3.991826;99.03607;0.434031;14.62046;98.05329;0.5210884;10.56599;381.9989;9.811803
68.73576;247.8441;9.911775;0.6617582;95.13222;70.55723;4.797123;98.35905;4.663934;1944.042;-13.78649;66.08181;27.01734;141.3905;3.994399;99.00858;0.4172224;13.98809;98.06395;0.506306;16.83867;1207.62;9.242208
68.72284;256.0099;9.938704;0.7300202;95.34074;70.56581;5.206225;98.36437;5.06322;2031.251;-13.68769;66.07707;27.91109;143.2081;3.998092;99.01191;0.4648106;14.61072;98.06678;0.5569405;16.89049;1201.568;10.00216
68.70357;432.2275;9.528287;0.7503162;95.17951;70.52843;5.196801;98.33189;5.069459;2045.908;-12.70884;66.13791;28.02416;146.1669;3.999341;99.0125;0.4783919;14.92399;98.03773;0.5729842;10.46854;457.8924;10.00793
68.67442;454.0958;9.929984;1.000132;94.94534;70.36035;6.892504;98.20426;6.715497;2377.961;-17.18285;65.83483;31.57059;153.5273;4.023487;98.88125;0.6503237;17.12938;98.0397;0.7552454;10.3807;493.4355;13.00448
68.64672;257.3548;9.830679;0.8327436;95.39429;70.65331;5.792712;98.34963;5.636348;2143.463;-11.88509;65.72591;29.56043;147.1943;4.011959;98.96603;0.5402394;15.35997;98.01945;0.6326939;15.44315;1242.917;11.07792
68.64057;263.9865;10.03949;0.7266733;95.68557;70.74362;5.338432;98.49267;5.197084;2050.198;-9.25415;66.01273;28.40488;144.131;3.993395;99.12495;0.4679441;14.78545;98.10843;0.5533654;15.49541;1121.663;10.27417
68.6319;440.2757;9.962471;1.000128;95.2552;70.52776;6.877313;98.3389;6.698503;2363.921;-13.57022;65.80116;31.58218;153.2298;4.018049;98.91567;0.6529655;17.00917;98.07935;0.7543693;10.40164;480.0881;13.00318
68.62054;472.787;9.726006;0.7649527;94.81519;70.65179;5.316122;98.4316;5.180675;2067.081;-13.37411;66.21447;28.22639;146.5928;3.995703;98.88363;0.4938423;15.07505;97.99149;0.5839071;10.57456;492.0663;10.21583
68.59654;258.2664;9.836434;0.8157939;94.91656;70.37735;5.756649;98.229;5.604964;2154.72;-16.81716;65.79683;29.28479;145.6774;4.017959;98.99532;0.5234295;15.50153;98.08949;0.6216982;17.39812;1103.984;10.99798
68.58978;410.1823;9.907944;0.8208157;95.35073;70.50857;5.764545;98.28914;5.617098;2157.921;-15.10893;65.88388;29.2981;146.5723;4.012088;99.01534;0.5276437;15.59188;98.08389;0.6250886;10.57255;427.466;11.02323
68.58855;342.1445;9.906995;0.8096289;95.1829;70.53088;5.693802;98.32512;5.548188;2146.102;-15.65885;65.84589;29.23045;145.5899;4.010534;99.00432;0.5215948;15.53574;98.08453;0.6177711;10.36645;369.6024;10.88949
68.57291;272.249;9.858437;0.8201611;95.19924;70.47898;5.75443;98.28563;5.603925;2148.135;-13.90745;65.78702;29.18897;146.2893;4.011828;99.01273;0.5271454;15.46403;98.09221;0.6245203;17.77582;920.8651;11.01092
68.52765;264.3327;9.942288;0.8817543;95.639;70.81142;6.166122;98.47167;5.997647;2208.733;-8.607488;65.64914;30.33545;149.211;4.012344;99.02117;0.5771569;15.83145;98.06599;0.6680769;15.48194;1168.711;11.77826
68.51705;422.0986;9.389788;1.019807;94.94498;70.43317;6.647004;98.26787;6.463426;2344.088;-18.25444;65.69573;31.11614;155.7025;4.022548;99.01154;0.6642492;16.97382;98.12622;0.7685538;10.4051;473.7371;12.56579
68.51638;404.8317;9.95167;0.8201925;95.38054;70.60859;5.743308;98.35326;5.594551;2143.147;-12.10326;65.82713;29.41589;146.4967;4.015285;99.02295;0.5290512;15.43254;98.07653;0.6243157;16.77457;432.5616;11.00091
68.5067;495.663;10.00679;1.039824;95.37441;70.63421;7.119369;98.37296;6.929684;2401.054;-11.4765;65.56084;32.14407;153.6651;4.016462;98.9183;0.6828296;17.24548;98.0842;0.7822623;10.44168;533.9257;13.40836
68.49113;356.2487;9.895736;0.8625768;95.37141;70.50323;6.171909;98.31762;6.018257;2235.226;-13.58537;65.66702;30.32475;147.8304;4.013508;99.00616;0.5583698;16.15674;98.10116;0.6571007;10.34926;387.3685;11.774
68.48891;391.2031;10.25608;0.8512664;94.96208;70.6988;6.181425;98.51627;6.025683;2220.866;-9.312399;66.01852;30.28495;147.6763;4.000641;98.83626;0.5561863;16.03117;97.97829;0.6465138;10.54465;453.5168;11.81407
68.48328;345.9547;9.961012;0.7945205;95.34618;70.64285;5.705929;98.41422;5.562766;2142.087;-13.0504;65.78041;29.24477;145.6082;4.003956;99.03504;0.5133188;15.53871;98.08334;0.6060923;10.56054;373.2911;10.93098
68.45266;461.3365;9.339183;1.077578;94.87939;70.3991;7.059082;98.21799;6.877358;2426.697;-18.87108;65.48907;32.10611;157.2853;4.046064;99.07115;0.7008157;17.58451;98.10642;0.8111665;10.48534;511.4642;13.25887
68.44032;388.6943;10.24798;0.9501268;94.96503;70.66379;6.570528;98.46564;6.400103;2299.544;-10.43557;65.8756;31.10242;151.5472;4.012013;98.85596;0.6237329;16.58122;98.01062;0.7186838;10.52665;470.1857;12.5042
68.43282;401.6822;9.935752;0.8975984;95.58728;70.5721;6.297112;98.38276;6.136152;2252.473;-11.87307;65.62284;30.60059;146.3568;4.01286;99.02045;0.5839222;16.25656;98.05321;0.6818635;10.3461;447.6249;12.0065
68.42278;387.0798;10.38608;0.9001337;95.26556;70.90154;6.280987;98.66006;6.10953;2229.473;-6.815261;65.9944;30.53338;150.4908;3.993534;98.88387;0.5935225;16.06774;97.99798;0.681831;10.47706;429.5616;12.00185
68.41644;487.7407;9.672236;0.9398876;95.34601;70.61234;6.525601;98.41251;6.358037;2298.324;-12.50683;65.6864;30.95686;152.0538;4.012719;98.90994;0.6139416;16.65407;98.08904;0.7118849;10.58282;520.6849;12.4056
68.40007;409.8503;9.352029;1.05725;94.77954;70.38052;7.169419;98.19886;6.988933;2447.842;-21.67128;65.45197;32.20294;155.5135;4.027054;98.96143;0.6906462;17.71073;98.14853;0.7980261;10.40469;451.4901;13.41848
68.37582;477.9051;9.696411;0.9590192;95.11803;70.56416;6.572145;98.34891;6.400679;2311.769;-13.76664;65.6268;31.08626;152.1405;4.028903;98.90247;0.6271955;16.70423;98.0626;0.7256168;10.57749;506.8078;12.4779
68.37527;403.2816;9.998751;0.9501014;95.73611;70.85274;6.560242;98.54739;6.386532;2285.007;-6.87068;65.5888;31.07673;142.9048;4.00001;99.05611;0.6245965;16.42217;98.11083;0.7162827;10.35811;448.8001;12.50036
68.35699;464.5742;9.659803;0.9599777;94.89345;70.5337;6.592638;98.33837;6.418969;2316.267;-14.66594;65.59467;31.18863;152.1025;4.025609;98.89076;0.6283972;16.72601;98.06364;0.726999;10.57991;496.499;12.50668
68.35033;412.5248;9.981662;0.9370682;95.78455;70.69577;6.635385;98.46906;6.47132;2307.794;-9.479601;65.52002;31.4017;141.7089;4.01225;99.03738;0.6147195;16.61728;98.01796;0.7098176;10.3514;468.1587;12.60992
68.33594;547.3283;10.61689;1.06843;95.5981;70.74131;7.388392;98.45354;7.19078;2439.831;-8.803988;65.36373;32.90774;155.3585;4.02016;98.94886;0.7050349;17.50225;98.07295;0.8034289;10.53659;591.1042;13.8627
68.30157;420.0405;10.17034;0.9501139;95.80535;70.98338;6.559608;98.72985;6.377289;2275.13;-5.054928;65.65844;31.13049;151.5487;4.000774;99.0397;0.6269072;16.34705;98.07571;0.715759;10.35297;469.3088;12.50274
68.28114;377.1612;5.384314;0.7256673;95.00652;70.86585;5.309626;98.29737;5.168283;2048.069;-8.3748;65.71204;28.36636;145.1556;4.002268;97.84505;0.4687677;14.73564;98.02585;0.5529863;10.46846;366.5704;10.21838
68.26662;475.7775;9.739626;0.9599584;94.80202;70.60609;6.59115;98.40205;6.413376;2312.758;-14.83889;65.56927;31.25372;151.9791;4.027084;98.83822;0.6296024;16.64551;98.05553;0.7263374;10.59229;506.375;12.49954
68.26392;499.3773;9.735067;1.011472;95.633;70.84628;7.01672;98.5752;6.835068;2376.71;-8.304173;65.47912;32.08463;153.674;4.014901;98.93802;0.6675124;17.20032;98.0682;0.7626303;10.58567;531.2285;13.25837
68.261;399.0881;10.37622;0.9145147;95.5994;71.02741;6.334473;98.76294;6.153249;2229.629;-4.376863;65.81826;30.61988;150.774;3.993785;98.91235;0.6058523;16.05867;97.97835;0.6912516;10.43931;445.6865;12.09404
68.25082;383.9922;5.523873;0.6701632;94.87875;70.91377;4.924965;98.35771;4.797636;1978.256;-10.27465;65.82272;27.51986;144.4974;3.996753;97.77749;0.4320198;14.28648;98.01003;0.5119956;10.62348;370.8993;9.503613
68.24976;408.6231;10.37502;0.9501182;95.82516;71.11063;6.553876;98.83927;6.364776;2266.732;-3.200328;65.77079;31.15253;153.341;3.988124;98.96905;0.6311451;16.31466;97.97742;0.7158387;10.4012;457.244;12.49707
68.22311;370.77;5.720784;0.6724252;95.09186;71.01438;4.939093;98.45263;4.807625;1973.89;-8.402257;65.9286;27.41206;144.9928;3.98713;97.79947;0.4347517;14.24277;98.01006;0.5134007;10.34439;361.3033;9.537728
68.21762;472.9053;9.911516;0.9599705;95.05975;70.82812;6.578899;98.58876;6.393229;2290.304;-9.74611;65.56642;31.10935;153.4671;4.007226;98.81357;0.6337354;16.46473;98.0624;0.7237821;10.62008;504.6603;12.50024
68.21593;481.7864;9.818882;0.9251372;95.68483;70.98639;6.412457;98.68645;6.238209;2255.781;-5.922369;65.58457;30.8208;152.6327;4.003142;98.94682;0.6095834;16.35161;98.05322;0.6993755;10.59073;510.836;12.23107
68.20223;380.138;5.682517;0.6875592;94.97952;70.96821;5.076979;98.42127;4.942249;2005.532;-8.773726;65.87791;27.71809;144.9278;3.99467;97.79154;0.4468639;14.48915;98.00513;0.5244715;10.518;369.0715;9.791614
68.19685;501.0455;9.500132;1.091813;95.16669;70.55342;7.453828;98.33447;7.272481;2489.323;-15.20852;65.23232;32.92448;156.7951;4.039838;99.03648;0.71573;18.04758;98.07307;0.8240469;10.45685;543.1991;13.93354
68.19244;352.5026;5.466286;0.6701749;94.87848;70.88206;4.921059;98.32474;4.795014;1977.031;-9.95318;65.69841;27.40403;144.2594;3.99516;97.80688;0.4296784;14.27563;97.99783;0.5118679;10.41461;340.687;9.500382
