K5T2_1.PV;K0T104_2.PV
423.1312;417.1556
422.8669;417.1237
424.4156;417.1013
424.0331;417.0938
424.2656;417.0694
423.4706;417.0488
423.0656;417.0375
422.7712;417.0319
423.3712;417.0281
423.0956;417.0206
423.0844;417.0187
422.9719;417.0187
423.1256;417.0094
422.7169;417.0075
422.8613;417.0019
423.7575;416.9887
423.675;416.9869
423.075;416.9869
423.0862;416.9813
423.8644;416.9813
422.1956;416.9756
423.1837;416.9681
423.5981;416.9644
423.2588;416.955
423.2381;416.9419
422.9625;416.9419
422.5575;416.9344
423.1369;416.9306
422.9906;416.9306
423.1875;416.9287
424.3481;416.9231
423.7031;416.9194
422.9681;416.9194
423.0375;416.9156
423.5063;416.9156
423.0056;416.9138
422.3006;416.9138
423.5625;416.9119
423.1669;416.9063
422.1544;416.9006
423.5156;416.895
423.5887;416.895
422.3344;416.895
423.855;416.8912
424.4344;416.8894
422.3606;416.8875
423.1725;416.8875
422.9138;416.8856
423.4556;416.8819
423.4912;416.88
423.8513;416.8763
422.9738;416.8763
423.1144;416.8744
422.6119;416.8725
422.5631;416.8687
423.6581;416.865
423.615;416.8631
422.7562;416.8631
422.4469;416.8612
423.2794;416.8537
423.5363;416.8481
421.8319;416.8463
422.9475;416.8425
423.7331;416.8406
422.7094;416.8387
423.5438;416.8369
423.7613;416.8313
422.4825;416.8275
423.5587;416.8256
423.4388;416.8256
423.84;416.8219
423.1669;416.8219
423.8569;416.8181
423.6975;416.8181
422.4244;416.8181
423.5981;416.8106
423.8363;416.8031
423.6094;416.8031
422.9756;416.8031
422.8575;416.8031
423.1256;416.8031
423.975;416.8012
423.0638;416.7975
423.2269;416.7938
424.4156;416.7919
423.9;416.7825
422.7037;416.7806
423.6937;416.7731
422.5912;416.7731
422.3981;416.7712
423.0225;416.7656
423.7913;416.7638
423.8962;416.76
423.2062;416.7525
422.5331;416.7506
423.3188;416.7431
423.015;416.7431
423.09;416.7412
423.5625;416.7375
422.3513;416.7356
423.4631;416.7319
423.8269;416.73
423.8194;416.7281
423.8625;416.7263
424.1531;416.7263
423.0638;416.7206
423.8494;416.7169
422.625;416.715
423.0169;416.715
423.0244;416.7131
423.5869;416.7094
423.2213;416.7019
423.1894;416.6981
423.78;416.6925
422.8725;416.6906
422.4844;416.6906
423.8719;416.6888
423.1988;416.6888
423.8625;416.6888
423.8494;416.6831
423.975;416.6812
423.4125;416.6775
423.5512;416.6775
422.82;416.67
423.9375;416.67
423.2306;416.6644
422.6719;416.6625
423.99;416.6588
422.6494;416.6588
422.8613;416.6588
423.3488;416.6494
423.8531;416.6475
423.4088;416.6475
423.6675;416.6456
423.7819;416.6419
423.8025;416.64
423.9806;416.6363
423.135;416.6363
423.5812;416.6344
423.0506;416.6325
422.1356;416.6325
421.9781;416.6288
423.8306;416.6288
422.0475;416.625
423.9506;416.6231
423.6281;416.6231
422.9475;416.6231
421.7794;416.6194
424.4794;416.6119
424.0594;416.6081
423.3356;416.6063
423.0956;416.6006
423.6862;416.5988
423.6731;416.5969
422.4262;416.5894
422.4562;416.5875
422.9813;416.5856
423.705;416.5781
423.2081;416.5744
422.7656;416.5725
422.8969;416.5725
423.7538;416.5725
423.84;416.5706
423.1425;416.5688
423.8287;416.5669
423.5456;416.5669
423.9656;416.535
423.9788;416.5331
423.1331;416.5331
423.7762;416.5294
423.0975;416.5219
421.6181;416.5219
422.2313;416.52
423.1237;416.52
423.84;416.52
422.2819;416.5106
423.1125;416.5088
422.4938;416.5031
423.1688;416.5031
422.6906;416.4975
422.7712;416.4975
423.6263;416.4919
423.57;416.49
423.8062;416.4881
423.525;416.4863
423.2156;416.4844
421.7288;416.4844
423.69;416.4806
423.1688;416.4806
421.8975;416.4806
422.9044;416.475
424.4569;416.475
421.9538;416.475
421.8262;416.4694
423.8156;416.4694
423.6563;416.4619
423.0056;416.4619
423.0825;416.4581
422.9437;416.4562
424.2787;416.4506
423.5644;416.4431
423.0825;416.4356
424.4156;416.4281
422.2238;416.4262
422.4281;416.4262
423.525;416.4262
423.9;416.4262
423.5944;416.4225
423.0506;416.4169
423.1969;416.415
423.8119;416.415
423.1875;416.4131
422.34;416.4075
423.4725;416.4075
423.75;416.4056
424.0425;416.4037
423.6563;416.3981
423.7462;416.3962
423.1256;416.3888
421.4569;416.3888
423.6187;416.3831
422.85;416.3813
422.3681;416.3737
423.1462;416.3606
424.2281;416.3531
424.3387;416.3494
423.8587;416.3475
423.2194;416.3456
421.7531;416.3438
421.6725;416.3419
423.3169;416.3419
424.0069;416.3362
422.5107;416.3344
421.6875;416.3287
423.0788;416.3269
423.6206;416.3269
423.7538;416.3212
423.8138;416.3175
423.9375;416.3138
423.5644;416.3119
423.1613;416.3119
421.8919;416.3119
422.7544;416.3081
423.2456;416.3081
424.0556;416.3044
422.6869;416.3025
422.3475;416.3025
423.8906;416.295
422.865;416.295
421.5825;416.295
422.5688;416.2875
421.6631;416.2781
423.4781;416.2762
423.7706;416.2762
423.6506;416.2744
422.2838;416.2744
421.0725;416.2706
422.625;416.2688
422.6044;416.2631
423.4594;416.2519
423.255;416.2462
423.0019;416.2444
421.5994;416.2369
422.3044;416.2331
423.3937;416.2331
423.6394;416.2238
423.2137;416.2087
421.9875;416.205
424.1512;416.2031
422.6869;416.2013
423.6375;416.2012
421.3406;416.1881
421.6069;416.1731
422.9738;416.1713
422.1281;416.1712
423.9094;416.1525
422.9381;416.1394
422.7338;416.13
422.0325;416.1131
422.1187;416.1075
422.0569;416.1056
420.9506;416.1019
420.4631;416.0981
421.8094;416.0963
421.8187;416.0944
423.3637;416.0944
422.7694;416.0944
421.6294;416.0887
422.4356;416.0869
421.9781;416.085
421.6031;416.0831
420.7406;416.0813
422.2238;416.0794
422.5275;416.0775
422.25;416.0756
422.8125;416.0719
422.7206;416.0663
422.4731;416.0644
422.7806;416.0569
423.6544;416.0531
422.2369;416.0531
423.1012;416.0494
422.175;416.0494
421.7137;416.0475
422.1319;416.0438
422.2519;416.0438
421.5581;416.04
422.4394;416.0381
422.0587;416.0363
422.4544;416.0325
421.6931;416.0306
422.6888;416.0269
421.8769;416.0269
423.2775;416.0231
422.6531;416.0194
422.3081;416.0119
423.8756;416.0119
422.6625;416.0081
423.7875;416.0006
423.78;415.9987
421.9556;415.9969
421.7737;415.9969
422.5725;415.9969
421.9069;415.995
421.7738;415.9931
421.9331;415.9912
422.6231;415.9912
422.1525;415.9856
422.6794;415.9856
423.2737;415.9837
421.9482;415.9763
422.8125;415.9725
422.34;415.9725
422.5406;415.9688
421.1625;415.9669
422.5444;415.9631
422.4619;415.9631
423.5887;415.9575
421.6444;415.9575
422.5388;415.9556
422.0438;415.9519
421.5881;415.9463
421.9125;415.9463
421.9631;415.9406
422.1581;415.9406
421.9219;415.9406
422.1844;415.9406
421.9163;415.9388
421.9744;415.9369
421.7381;415.9369
421.9987;415.9369
420.5944;415.9369
421.9463;415.935
422.2144;415.935
421.2225;415.9331
422.0344;415.9312
421.8863;415.9294
421.4287;415.9294
421.905;415.9219
421.9819;415.9219
421.7119;415.9181
422.7;415.9181
423.7125;415.9125
421.89;415.9106
421.8356;415.9088
423.3769;415.905
422.16;415.905
422.3231;415.905
422.7544;415.9012
422.4319;415.9012
421.8187;415.8994
421.6406;415.8956
421.4494;415.8937
421.3387;415.8937
423.7313;415.8919
421.9031;415.89
422.0963;415.89
421.7006;415.8881
423.2269;415.8863
421.8375;415.8844
421.7663;415.8825
421.6106;415.8806
421.9575;415.8788
421.9275;415.8712
421.8694;415.8712
421.8656;415.8694
422.175;415.8694
423.0656;415.8694
422.2838;415.8694
422.2406;415.8619
421.5281;415.86
421.8563;415.8581
421.8563;415.8563
422.685;415.8525
421.4644;415.8488
422.2556;415.8488
421.7569;415.845
421.2;415.845
422.34;415.8431
421.4906;415.8412
423.9825;415.8394
422.625;415.8356
422.2762;415.8338
421.98;415.83
421.9669;415.83
422.2856;415.8281
423.0338;415.8281
423.9375;415.8244
422.1694;415.8244
421.8844;415.8225
421.8075;415.8206
423.105;415.8188
422.1619;415.8131
421.9125;415.8112
421.6894;415.8112
421.6125;415.8094
421.9744;415.8094
421.4775;415.8075
422.8275;415.8075
421.59;415.8037
422.3062;415.8037
422.1956;415.8019
421.3744;415.7981
422.3306;415.7963
420.6413;415.7944
422.2631;415.7925
422.5744;415.7906
422.4619;415.7906
421.7869;415.7869
422.2913;415.785
422.5369;415.785
422.0719;415.785
421.8469;415.785
422.2856;415.7831
422.1375;415.7813
422.2575;415.7813
421.3125;415.7813
422.5069;415.7813
422.0906;415.7794
422.8275;415.7794
420.5231;415.7794
422.1;415.7775
421.845;415.7756
422.2575;415.7737
421.9669;415.7737
422.6044;415.7719
422.4788;415.7719
422.0119;415.77
422.265;415.7681
422.7544;415.7681
421.215;415.7663
421.3575;415.7644
420.8681;415.7644
421.6294;415.7606
421.8094;415.7606
422.8631;415.7606
422.6156;415.7588
422.0587;415.7588
422.4431;415.7587
421.2188;415.7569
422.3232;415.7569
422.2313;415.7569
422.7;415.7569
423.4406;415.755
421.5131;415.755
421.9594;415.755
421.7269;415.7456
422.8106;415.7419
422.1806;415.74
422.2313;415.74
422.1469;415.7381
421.9238;415.7381
422.2762;415.7325
421.6125;415.7288
421.1625;415.7288
422.2462;415.7269
422.2875;415.7269
421.4944;415.7269
421.9313;415.7269
421.9144;415.725
422.5781;415.725
422.5256;415.725
422.2838;415.7231
421.9875;415.7213
422.3775;415.7213
422.2931;415.7213
424.1344;415.7175
421.6369;415.7156
422.2969;415.7156
422.1656;415.7137
422.2444;415.7137
422.9138;415.7137
421.6744;415.7137
422.3156;415.7119
421.4719;415.7119
421.6162;415.7119
421.8619;415.71
421.5394;415.71
422.775;415.71
422.8031;415.7081
421.0875;415.7063
422.2313;415.7062
422.0381;415.7062
421.9837;415.7044
421.9744;415.7044
421.7981;415.7025
423.1894;415.7025
421.9875;415.7006
421.9669;415.7006
421.3444;415.6988
421.8488;415.6988
421.3631;415.6969
421.9912;415.6969
421.8712;415.695
421.7813;415.695
421.6369;415.695
422.0381;415.6931
421.8994;415.6931
422.25;415.6931
422.2219;415.6913
422.3325;415.6894
422.1675;415.6875
422.3531;415.6875
421.8019;415.6875
421.4306;415.6856
421.26;415.6856
421.9388;415.6856
422.3813;415.6837
421.5563;415.6819
421.5656;415.68
422.3213;415.6781
421.2806;415.6781
422.1169;415.6781
422.0644;415.6762
422.0625;415.6762
423.5325;415.6744
420.45;415.6744
422.0963;415.6725
422.3194;415.6706
422.4413;415.6688
421.8844;415.6669
