K5LCV1I.PV;K5F5.PV
30.77729;21.12289
33.47161;21.20488
31.715;21.2578
30.9076;21.27381
33.06693;21.28943
31.48146;21.29947
31.84755;21.32022
32.19375;21.35478
30.71401;21.42551
32.07755;21.44154
31.52818;21.44475
32.86729;21.44577
33.02641;21.46269
28.47583;21.46453
32.34693;21.4672
32.87745;21.4873
31.48125;21.5097
32.78401;21.51239
31.07333;21.54072
31.87635;21.59097
29.80042;21.60301
32.67984;21.62296
31.21281;21.63719
32.27068;21.64486
32.68385;21.65527
30.49479;21.6555
32.79953;21.66772
34.5549;21.67266
28.47302;21.673
30.73198;21.6924
31.41479;21.69575
33.7949;21.69797
33.17026;21.72897
31.59896;21.73212
33.00193;21.73561
32.42292;21.73579
32.80349;21.7364
31.14073;21.74628
31.55979;21.74842
29.97255;21.76381
32.32297;21.76703
34.09927;21.79123
32.01125;21.7915
34.49073;21.79409
33.54073;21.79436
34.10563;21.80392
32.86922;21.80401
31.05469;21.80482
31.68516;21.80875
31.18542;21.80963
32.83286;21.81302
32.87156;21.8189
32.05245;21.82563
33.85026;21.83637
32.7001;21.83968
31.2288;21.84245
32.78568;21.84936
32.49187;21.85154
32.23114;21.85747
30.91229;21.86682
34.9338;21.86954
31.28552;21.8703
33.92891;21.87466
31.04521;21.8774
34.41047;21.88908
34.18287;21.89287
33.93932;21.89534
29.45963;21.89994
31.47151;21.90415
30.65276;21.90515
34.74276;21.91238
35.20354;21.91414
31.95208;21.91607
31.51651;21.93106
31.01641;21.93259
33.42198;21.93335
28.86932;21.93823
32.7351;21.93904
32.51115;21.94272
34.73484;21.94901
34.89182;21.96285
32.28276;21.96354
31.89849;21.97305
32.3336;21.97526
33.22167;21.98228
32.24109;21.9832
33.48161;21.9846
31.87995;21.99162
32.11443;21.99213
31.67354;21.99325
35.16703;21.99733
34.1587;22.00183
34.17047;22.00651
33.90281;22.02751
33.79854;22.03628
33.85011;22.03803
32.86755;22.03856
30.71021;22.04555
34.37099;22.05568
33.36844;22.05795
30.61213;22.05864
34.92609;22.06302
33.96589;22.06392
32.79641;22.06649
31.6388;22.07859
34.28276;22.08274
31.45958;22.08455
34.39177;22.08479
32.99896;22.08489
34.66281;22.0856
31.25078;22.0863
31.28109;22.08792
31.61531;22.08813
31.49891;22.08851
33.13156;22.09015
31.64417;22.09308
31.09016;22.09694
29.91198;22.10447
29.99802;22.10519
32.7187;22.11623
32.59948;22.12605
32.8975;22.12705
32.94839;22.12829
30.63604;22.12855
33.08875;22.12912
32.13453;22.1295
32.04771;22.13313
33.01594;22.14087
32.55229;22.14181
33.54573;22.14246
34.51292;22.14519
32.42396;22.14587
33.64953;22.14913
31.74141;22.15423
33.98797;22.15939
30.90432;22.16024
33.73448;22.16125
31.57271;22.16158
33.13016;22.16712
32.00563;22.18122
33.26755;22.1844
32.51339;22.18504
32.33349;22.18838
31.12552;22.19158
31.68052;22.19307
31.29432;22.19341
30.05667;22.19548
34.67891;22.19818
35.16385;22.19968
31.59474;22.1999
33.84146;22.2004
