K5F5.PV;K5LCV1_1I.PV
33.58688;0.1610937
33.75279;0.1692187
34.27409;0.1670312
34.62391;0.1644271
34.65617;0.1704167
35.51061;0.1669792
35.15144;0.1652083
35.03436;0.1608333
35.04322;0.1657292
34.9133;0.1623438
34.34112;0.1679167
34.15364;0.1702083
34.30445;0.1660417
34.35521;0.1654167
34.34777;0.1629688
34.27005;0.1626042
34.291;0.1672917
34.38934;0.1628646
34.3551;0.16375
34.4108;0.1657812
34.5775;0.1693229
35.35174;0.1669271
35.62093;0.1660417
35.57469;0.1658854
35.18795;0.1685937
34.73137;0.1647396
33.44403;0.1632292
32.72091;0.1594792
32.14982;0.1624479
33.26785;0.1633333
34.37381;0.1636979
34.68483;0.1760938
34.78289;0.1618229
34.78429;0.1695313
34.8383;0.175625
35.17179;0.1666667
35.61182;0.1642188
35.72964;0.1683333
35.88018;0.1616667
35.79144;0.1658333
34.80802;0.1684375
34.39883;0.1736458
33.81046;0.1715104
33.61797;0.1699479
33.7039;0.1688021
33.85484;0.1714063
33.78239;0.173125
33.80215;0.1773438
34.85893;0.1793229
34.73287;0.1748958
34.35863;0.1797396
34.07868;0.1803125
33.84138;0.1820312
33.77119;0.1745313
34.17778;0.1757813
34.56367;0.1845313
35.31528;0.171875
35.30027;0.1771354
35.39328;0.1759896
35.66093;0.1810938
35.56969;0.1835938
34.71809;0.1884896
34.55853;0.1873437
33.81575;0.1876042
33.84457;0.1992188
33.8928;0.1947917
33.87464;0.1918229
33.5466;0.1966146
33.55075;0.1913542
33.59203;0.1954688
34.05527;0.1976042
35.13818;0.1985417
34.91707;0.19875
34.28994;0.1943229
34.25592;0.1951562
34.29244;0.2008854
34.45;0.1956771
34.49237;0.1922396
34.78293;0.1998437
34.90812;0.1970833
34.96219;0.2021354
35.05472;0.2021354
35.08963;0.1946875
34.27991;0.2072917
34.05166;0.1976562
32.85728;0.2021354
33.07764;0.2014063
34.03884;0.1973958
34.20863;0.2082812
35.27303;0.2061979
35.23995;0.2008333
35.25614;0.2021875
35.19897;0.2024479
34.77765;0.21
34.27388;0.2138021
34.00063;0.2117708
33.79515;0.2138542
33.6436;0.2099479
33.69869;0.2103646
34.45056;0.2154687
34.84328;0.2121354
34.85415;0.2214063
35.39281;0.2178125
35.4977;0.2115104
35.31606;0.214375
34.95338;0.2188021
34.00172;0.2255208
34.05109;0.2224479
