K5T6.PV;K5P10.PV;K5LCV1I.PV;K5F5.PV;K5T14.PV;K5F6X.PV
178.5525;4.269656;56.25938;39.62739;366.4125;34.5942
178.4763;4.267812;55.90813;39.69434;366.3244;34.52615
178.465;4.264313;55.71375;39.6173;366.1294;34.44974
178.5375;4.27425;56.23125;39.62203;366.2794;34.37781
178.5788;4.277094;56.23563;39.53858;366.3619;34.2928
178.4075;4.253031;55.68156;39.49619;365.9644;34.28684
178.3737;4.243093;55.68687;39.359;365.715;34.08244
178.5788;4.277656;56.23438;39.52297;366.5063;33.96164
178.36;4.248937;55.69281;39.43936;365.7787;33.93541
178.3663;4.251219;56.92375;40.34089;365.5669;33.74514
178.6113;4.288312;56.22031;39.45132;366.5325;33.74028
178.3087;4.256219;56.32594;40.88482;365.6119;33.72438
178.2625;4.254031;57.44188;40.92678;365.5275;33.63444
178.1537;4.253438;56.40187;40.54757;365.1769;33.61982
179.6925;4.278;55.02781;38.66031;367.1306;33.61092
178.64;4.290844;56.23406;39.43105;366.3281;33.57445
178.1275;4.250937;56.645;40.22857;365.4394;33.54945
179.6113;4.278594;55.01937;38.65429;367.1963;33.54231
178.2375;4.257531;57.64594;40.92182;365.5237;33.53069
179.4688;4.273906;53.67656;37.88896;367.4006;33.52673
179.7462;4.278156;55.02094;38.70736;366.99;33.51841
179.665;4.276844;55.0175;38.63551;367.2638;33.50348
178.8;4.2975;55.02;38.86845;366.7313;33.48543
177.655;4.245875;56.93531;40.29958;365.5219;33.48202
179.9263;4.282938;55.0225;38.6682;367.1119;33.47631
179.8087;4.273594;55.01281;38.70963;366.8644;33.47045
178.4325;4.289813;54.60094;38.54652;367.2225;33.46593
179.3825;4.270312;52.75156;37.2824;367.4869;33.46072
178.2563;4.289281;53.1775;37.76012;367.3631;33.4368
179.285;4.267094;52.74562;37.33937;367.5319;33.42455
178.0412;4.247844;57.72594;40.42391;365.5181;33.41694
178.6512;4.294219;54.1025;38.99438;367.1006;33.40962
177.9487;4.247344;57.72031;40.40864;365.4769;33.40384
177.565;4.249719;56.89188;40.37221;365.6869;33.37787
178.12;4.318375;54.85031;39.34657;367.395;33.37684
179.2487;4.262844;52.74219;37.31846;367.7044;33.37266
178.765;4.293468;55.03;38.91258;366.93;33.37241
178.1913;4.282781;53.09;37.73333;367.2731;33.36966
178.3788;4.291687;54.88094;38.46552;367.365;33.36617
179.8663;4.274531;55.01156;38.69848;366.9244;33.36482
178.6438;4.289531;54.12688;38.9774;367.0031;33.3611
179.935;4.280031;55.02125;38.63737;366.6225;33.35751
177.4212;4.242375;56.42469;40.41116;365.7881;33.35675
177.43;4.245344;56.69094;40.41797;365.745;33.34539
178.4837;4.294188;55.11031;38.85345;367.2863;33.34519
178.8038;4.265969;51.40125;37.18299;367.755;33.33403
178.3475;4.317812;55.24406;38.70395;366.7838;33.3324
179.9;4.276937;55.01688;38.65882;366.9169;33.33149
178.6788;4.293406;56.23219;39.47142;366.3319;33.32858
178.6775;4.292;54.35719;38.972;366.8194;33.31991
178.0912;4.280969;53.02375;37.74779;367.515;33.31911
179.9625;4.297375;55.85594;40.30084;366.5944;33.31388
179.935;4.296719;56.23094;40.22277;366.6113;33.30917
178.7787;4.298718;55.93375;39.16758;366.7219;33.30902
179.0462;4.262813;52.75219;37.29958;367.74;33.30819
178.5675;4.289844;54.09594;38.90475;367.2056;33.30684
178.1462;4.322281;54.465;39.42239;367.1944;33.30602
178.7087;4.290688;54.12875;38.95929;366.8756;33.30221
178.7913;4.295344;56.23438;39.4024;366.5719;33.30017
177.7175;4.240844;56.95781;40.37476;365.5481;33.29752
178.2475;4.320687;56.02687;39.39008;366.7294;33.29004
177.8425;4.245187;57.65531;40.37656;365.7075;33.28727
177.97;4.310719;54.52719;38.62381;367.7475;33.28665
178.1738;4.315938;54.415;38.45095;367.2131;33.28238
178.2213;4.313031;54.69812;38.49345;367.1362;33.28083
177.7438;4.304125;53.49063;38.0451;367.8319;33.27962
177.1613;4.242563;55.36375;40.36234;365.8631;33.27839
178.0775;4.317375;55.14594;38.4623;366.9413;33.27505
178.8038;4.300031;56.23125;39.43198;366.5063;33.27135
178.1225;4.322813;54.44781;39.40724;367.2863;33.26724
178.7125;4.292813;54.12656;38.98859;366.96;33.26166
178.0663;4.30725;54.46062;38.57214;367.5919;33.25753
179.145;4.262938;52.74375;37.29999;367.62;33.25378
177.915;4.310187;54.72844;38.55094;367.9556;33.25143
178.2988;4.313062;54.41438;38.57294;367.0125;33.25056
177.9037;4.318156;53.39469;38.41722;367.0013;33.24714
178.8325;4.296938;56.22156;39.34974;366.4688;33.23983
178.705;4.293906;56.22031;39.54132;366.4012;33.23791
179.9575;4.290031;56.16531;39.50022;366.6506;33.23575
177.2238;4.242125;55.37125;40.35172;365.7319;33.2346
178.67;4.261312;51.40313;37.25276;367.6669;33.23347
177.9512;4.284875;52.71062;37.68704;367.7025;33.23141
177.8313;4.309813;54.88062;38.38428;367.8112;33.22864
177.8712;4.247313;57.71375;40.39962;365.5425;33.22722
177.295;4.239625;55.36562;40.36577;365.94;33.22671
177.5825;4.314;55.88813;38.95623;367.1888;33.22641
178.3562;4.315813;54.97531;38.64435;366.9169;33.22535
178.8725;4.263281;51.39219;37.17845;367.9256;33.22453
178.1637;4.317375;54.83688;39.42546;367.4175;33.22374
178.0387;4.289125;52.70938;37.77031;367.5169;33.2178
177.505;4.280687;53.13594;37.72482;367.7981;33.21463
176.9113;4.244844;55.18281;40.56811;366.21;33.21447
179.9337;4.296438;55.86938;40.30984;366.5906;33.21245
177.9588;4.31225;54.73875;38.65094;367.755;33.20919
176.8812;4.2225;54.40688;39.51674;366.2419;33.20536
178.9362;4.266969;51.88438;37.18041;367.7944;33.20526
178.2625;4.323281;56.01812;39.35716;366.8813;33.20368
178.0988;4.322187;53.47031;38.46699;366.9581;33.20113
177.095;4.304469;54.32656;37.6768;367.4531;33.19934
177.6237;4.30825;55.88406;38.93482;367.2938;33.199
178.1188;4.312969;55.31969;38.74634;367.4606;33.19415
178.7888;4.288844;56.22625;39.43528;366.4819;33.19364
177.0063;4.243438;55.37844;40.6457;366.1294;33.1899
178.3163;4.315125;55.23594;38.65508;366.8944;33.18806
178.2413;4.313781;54.33125;38.5505;367.0425;33.18492
179.8862;4.300156;55.87094;40.29521;366.6019;33.18293
178.3213;4.325094;56.02344;39.39634;366.7162;33.18241
178.145;4.318875;54.60969;38.47647;367.1212;33.18219
179.7962;4.300031;55.85031;40.29321;366.6638;33.17854
178.3212;4.315563;54.64219;38.69985;366.8569;33.17643
176.7713;4.234031;54.57656;39.55593;366.2062;33.17625
178.7213;4.296844;56.22781;39.43658;366.3656;33.17501
177.8938;4.309719;53.11844;38.2632;367.7944;33.17489
178.7775;4.294469;56.235;39.50862;366.495;33.16343
177.6662;4.310125;55.90187;39.05734;367.0463;33.1579
179.5988;4.302813;56.46781;40.38825;366.6619;33.15414
179.945;4.282;55.45781;38.82552;366.6131;33.15158
178.0462;4.316375;53.42906;38.49536;366.9544;33.15064
177.2;4.303437;54.90281;37.95034;367.3125;33.14839
178.8175;4.289937;56.23812;39.40041;366.57;33.1473
178.0762;4.308469;54.46;38.65884;367.5356;33.14244
178.3163;4.32125;56.02031;39.38527;366.7931;33.13838
177.4962;4.302875;55.33875;38.27329;367.3687;33.13778
177.7825;4.305594;54.24875;38.1269;367.8525;33.13774
178.365;4.326875;55.91;39.94897;367.0369;33.13691
177.5513;4.282907;52.68344;37.70458;367.9575;33.1297
179.8575;4.294781;55.86813;40.36305;366.6263;33.12911
178.22;4.317375;54.79469;38.62702;367.0031;33.12714
177.4438;4.281406;52.50406;37.71018;367.7906;33.12555
178.1788;4.321063;55.75625;39.53457;367.08;33.12473
177.1062;4.296781;54.32469;37.64687;367.59;33.12321
177.8587;4.3165;53.405;38.40149;367.125;33.12309
177.725;4.285187;52.68282;37.73159;367.7644;33.12238
177.9763;4.284688;54.90813;38.86262;366.87;33.12199
177.5725;4.311969;55.01344;38.93409;367.1681;33.11863
178.1025;4.311531;54.18844;37.94191;367.3012;33.1152
178.57;4.258344;51.39219;37.28281;367.6331;33.11216
177.9525;4.31225;53.39656;38.43883;367.1306;33.11209
177.7663;4.320469;53.39656;38.40567;367.0237;33.11144
178.3625;4.326406;56.18219;39.55031;366.9187;33.11088
177.0788;4.239281;55.36188;40.55622;366.0525;33.11037
178.0087;4.315562;53.39531;38.4;367.0444;33.10723
177.5925;4.300719;53.48938;38.14246;368.1731;33.10381
177.5038;4.29925;53.0925;37.56911;367.4606;33.10233
177.8737;4.27975;52.70281;37.66455;367.575;33.10163
178.3813;4.321125;55.43281;39.7327;366.9994;33.10028
178.4787;4.256344;51.39812;37.27206;367.5225;33.09893
177.5513;4.309906;53.54594;38.45;367.4269;33.09759
177.6537;4.319156;55.47031;40.0144;366.9037;33.09594
177.4675;4.305906;53.49906;38.04335;368.25;33.09511
177.7437;4.316031;55.1425;38.08061;367.1719;33.09318
177.4075;4.3045;53.47;38.07147;368.3213;33.08983
177.6875;4.304469;53.49531;38.09455;367.9444;33.08787
177.7238;4.302625;54.21125;38.09636;367.7044;33.08657
177.825;4.327531;56.20281;39.32502;366.7894;33.08657
177.9438;4.283344;55.02531;38.87757;366.99;33.08583
177.7238;4.319188;53.39844;38.40887;367.08;33.08484
177.1563;4.300594;54.32188;37.76952;367.5225;33.08209
178.87;4.307406;55.24125;40.10616;366.5887;33.07654
177.7075;4.313406;55.46938;39.7596;367.1719;33.07397
177.705;4.311094;54.25031;38.66506;367.3613;33.07362
177.365;4.277812;52.46969;37.73062;367.7944;33.06873
177.9563;4.288625;55.01031;38.91967;366.8062;33.06762
179.4812;4.301688;55.84094;40.28151;366.6131;33.06673
177.73;4.319656;53.40187;38.44489;367.0144;33.06603
176.98;4.305532;54.335;37.69861;367.6237;33.05929
177.385;4.311344;54.31531;38.05559;367.8825;33.05714
177.4088;4.298063;53.08812;37.56097;367.7081;33.05677
178.1013;4.307844;54.18813;38.01143;367.365;33.05459
177.6625;4.322375;55.46719;39.99698;367.0162;33.05144
177.455;4.322969;55.19437;39.67394;366.7031;33.0514
177.1525;4.284812;52.47906;37.69901;368.0231;33.04866
177.4337;4.308625;54.32844;38.06192;367.9369;33.0469
179.7063;4.302063;55.84687;40.34882;366.5606;33.04671
177.3013;4.307469;55.00938;38.10654;367.4587;33.04628
177.8887;4.311719;55.03156;39.57615;367.3631;33.04567
177.7875;4.285156;52.68344;37.65322;367.575;33.04551
177.2575;4.301531;54.07781;37.90186;368.4225;33.04527
177.7238;4.31725;55.03375;39.60809;367.245;33.03874
178.37;4.317219;55.70562;39.40503;366.8456;33.03798
178.1087;4.319531;55.58125;39.55886;366.9956;33.03618
179.57;4.310563;56.57;40.24881;366.4125;33.0356
177.685;4.325562;55.15781;39.55534;366.705;33.03282
176.8913;4.314219;53.41781;38.31675;367.575;33.03265
176.9775;4.303531;54.32125;37.61573;367.6013;33.03101
177.4563;4.322813;55.18719;39.6729;366.6094;33.03038
177.66;4.320562;55.47219;39.97407;367.11;33.02966
177.7412;4.319031;55.46688;39.85891;367.2206;33.02923
177.7337;4.309312;53.67813;38.95668;367.1194;33.02919
177.8913;4.285687;54.12563;38.56644;366.9919;33.02901
177.7;4.312031;53.675;38.83006;366.9562;33.02778
178.0975;4.31425;54.42156;39.46791;367.1756;33.0257
177.43;4.301594;53.47344;38.10982;368.2238;33.02433
177.8425;4.319813;55.04031;39.56568;367.0762;33.02393
176.8412;4.312781;53.84781;38.32911;367.6162;33.02061
178.1563;4.312094;55.77563;39.42064;367.2037;33.01946
176.9263;4.302032;52.6525;37.56172;367.7588;33.01941
178.0537;4.30125;54.18344;38.04662;367.5075;33.01905
177.5638;4.280031;53.05656;37.78598;367.0725;33.0147
177.93;4.283375;54.26781;39.01991;366.8081;33.01461
177.3075;4.324156;55.19094;39.72309;366.735;33.0125
178.2088;4.313781;54.425;39.06834;367.0669;33.01242
177.6488;4.316562;53.67313;38.94641;367.1119;33.01038
177.7112;4.328938;55.135;39.525;366.57;33.00979
177.8925;4.310875;56.15375;39.07097;367.2037;33.00899
178.145;4.319219;56.02375;39.57687;367.14;33.00821
177.75;4.315844;55.24062;38.71019;367.2637;33.00549
177.3112;4.328;55.18219;39.67142;366.5887;33.00533
177.7712;4.313906;55.04656;39.57595;367.2412;33.00426
178.0437;4.306437;54.1875;38.07165;367.3763;33.00404
177.68;4.318469;53.39406;38.43845;366.945;33.00325
177.7112;4.317625;55.03875;39.56034;367.29;33.00311
177.7225;4.313656;53.6825;38.952;366.8588;33.00212
177.6888;4.311781;55.88813;39.10912;367.2319;32.99916
177.8;4.316093;54.77125;38.74231;367.2844;32.99694
177.7988;4.279;54.69312;39.10408;366.7106;32.99557
177.7937;4.276531;54.7025;39.10149;366.615;32.99551
178.8025;4.312812;55.23438;40.08345;366.6038;32.99539
177.39;4.299531;55.01875;38.13522;367.2319;32.99432
177.815;4.312156;54.7425;38.7577;367.2;32.99162
177.9362;4.315187;54.81718;39.90099;367.425;32.99076
178.185;4.31875;56.02344;39.48411;366.6675;32.98886
176.9413;4.242343;50.8675;37.43837;367.9425;32.9886
176.6763;4.236844;55.32844;39.57021;366.3619;32.98764
176.8737;4.312875;53.40656;38.32645;367.83;32.9876
176.9725;4.275281;51.22906;37.73968;367.7794;32.98748
177.6888;4.309625;54.70031;37.90465;367.3556;32.987
177.9512;4.327531;56.49688;39.31651;367.3275;32.98629
177.425;4.312187;54.46062;38.9699;367.4438;32.98601
177.525;4.322656;55.19781;39.59764;366.8062;32.98588
177.0938;4.287344;52.20344;37.6517;367.3125;32.98558
177.2575;4.323031;55.03844;40.01078;367.0031;32.98469
176.8938;4.274062;51.17781;37.89011;367.6031;32.98406
177.515;4.319625;53.01437;38.15967;367.29;32.98351
177.7813;4.331563;55.50281;39.58128;366.7613;32.98289
177.9563;4.283469;54.82063;38.88788;366.9037;32.98252
179.1537;4.306719;55.82844;40.27611;366.3488;32.98159
178.0175;4.249844;51.39656;37.44667;367.8225;32.98132
177.7188;4.306094;54.25281;38.6146;367.3312;32.98087
177.53;4.301875;53.205;37.59272;367.5;32.97952
177.385;4.298063;53.11844;37.57724;367.5731;32.9777
179.2587;4.305094;55.83156;40.28945;366.4969;32.97735
178.215;4.316813;55.2225;39.06717;367.0819;32.97693
177.6413;4.323031;55.4475;40.08549;366.8212;32.97652
177.385;4.325718;55.18625;39.68608;366.6394;32.97645
178.12;4.329437;57.15375;40.11516;366.9619;32.97469
176.9575;4.310062;53.40094;38.26662;367.7044;32.97376
177.9;4.312031;55.46969;38.75016;367.2956;32.97279
177.9175;4.312375;56.15937;39.10875;367.215;32.97196
177.1225;4.298969;51.66187;37.52104;367.7962;32.97078
177.5912;4.321281;55.195;39.5276;366.9487;32.97063
177.955;4.249688;50.61094;37.49138;368.0363;32.97034
177.8712;4.327063;55.45187;39.2289;366.6488;32.96902
177.29;4.307625;53.62906;38.18193;368.3269;32.96533
176.9125;4.311719;53.40907;38.27896;367.7175;32.96484
177.9113;4.318188;53.39312;38.43449;367.1062;32.96442
176.8375;4.312875;53.68531;38.32396;367.6294;32.96434
177.8475;4.246156;50.34687;37.47175;368.1356;32.96188
177.0225;4.278219;51.76188;37.72212;367.8525;32.96066
177.6325;4.297969;53.33406;37.54604;367.6594;32.96036
177.0887;4.278219;52.44437;37.74178;367.7981;32.9577
177.3188;4.277969;52.4625;37.73333;367.8094;32.95743
177.955;4.301875;53.75781;38.08714;367.5038;32.95532
177.82;4.31225;54.74;38.72596;367.1738;32.95108
177.7088;4.312375;53.99625;38.69637;367.1663;32.95031
177.7375;4.308594;54.1725;38.54013;367.5469;32.95005
178.6637;4.310969;55.24344;40.09162;366.5981;32.94998
177.3237;4.238688;51.2525;37.69706;368.1694;32.94987
177.595;4.315906;53.37094;38.46679;366.8269;32.94985
178.95;4.306531;55.22688;40.20393;366.4912;32.94899
177.4775;4.312906;54.46563;38.98915;367.485;32.94768
178.125;4.326406;54.71188;39.06594;366.7406;32.94561
