K5F5.PV;K5F6X.PV
43.27882;31.96902
43.07934;31.28767
42.93521;30.947
42.91408;31.64935
42.88866;32.11455
42.86893;31.48836
42.8539;31.83678
42.82722;30.17941
42.75949;29.93777
42.73236;31.02657
42.72918;30.35666
42.65548;30.78896
42.61015;30.03141
42.59281;30.23491
42.49351;30.1092
42.45868;32.19675
42.37578;31.75343
42.33888;31.43238
42.18497;30.75599
42.04028;29.99253
41.81287;31.24034
41.80153;31.58665
41.72165;29.93844
41.49076;30.85512
41.29942;29.92608
41.29302;29.75058
41.09753;30.61835
41.08422;31.27892
41.06779;30.01916
41.06165;30.10942
40.96408;31.67931
40.94683;30.29482
40.84896;29.7514
40.8064;32.46423
40.66194;32.31435
40.65872;32.16354
40.64726;32.59319
40.58135;32.49113
40.57968;32.4355
40.57285;31.98864
40.54333;31.51965
40.53812;31.80191
40.33171;31.47778
40.31054;31.25109
40.30916;30.4331
40.30679;31.70469
40.2221;30.98221
40.21146;32.34855
40.16513;31.64569
40.14267;31.36686
40.13919;31.64462
40.11673;32.25248
40.07301;31.11804
40.0565;30.76988
40.05294;32.35666
40.049;32.28942
40.04465;31.46043
40.03868;31.65307
40.0244;31.45807
40.0239;32.58956
40.01169;29.79261
39.99556;30.84759
39.98381;31.77319
39.93721;31.62391
39.93256;32.1128
39.92785;32.58285
39.89672;31.71518
39.84828;32.46871
39.82844;31.76744
39.82096;31.55205
39.81937;31.30399
39.77954;31.72498
39.77184;32.3597
39.74263;31.84949
39.73184;32.01279
39.69547;31.63399
39.65823;29.67069
39.65224;30.17406
39.64962;31.48465
39.64697;31.69571
39.61968;30.27366
39.61197;30.69839
39.60824;31.48936
39.56711;29.65134
39.56226;31.33824
39.53042;30.61781
39.5036;30.87738
39.45457;31.76788
39.43583;31.88239
39.43537;31.57257
39.42283;30.86558
39.3778;30.48447
39.36437;32.14408
39.35308;30.97635
39.3511;29.8133
39.35072;30.85231
39.3365;31.86659
39.28983;32.07784
39.25021;32.0986
39.23429;31.66879
39.23124;30.93045
39.20893;30.5989
39.20504;30.99239
39.19436;30.35464
39.16326;30.11981
39.16285;30.56557
39.16083;31.78763
39.14706;30.19268
39.13671;29.77085
39.13121;30.65538
39.0983;30.36442
39.09367;30.15628
39.07814;29.95669
39.06009;31.88136
39.05047;30.84257
39.04753;30.69116
39.03027;30.05389
39.0206;29.73193
39.01363;30.9834
38.99847;31.33581
38.99837;30.96855
38.9971;30.4548
38.98141;31.1248
38.97952;28.52028
38.97617;31.98021
38.97546;31.2891
38.97024;30.58272
38.96851;30.77671
38.96595;30.47763
38.95902;30.80032
38.93891;31.07002
38.92756;30.85916
38.92078;31.45734
38.91525;30.61032
38.91063;30.31468
38.91024;30.8576
38.9071;31.9102
38.90357;31.93959
38.90137;29.82727
38.89566;30.01692
38.87864;30.92826
38.86398;29.99825
38.86234;31.69333
38.84134;32.29994
38.83898;31.4469
38.83683;30.7683
38.83287;32.41384
38.82292;30.74285
38.81078;32.19084
38.81032;30.62093
38.79546;29.89056
38.79432;29.97668
38.79197;30.2502
38.77909;31.62195
38.77495;30.64834
38.76995;31.81949
38.76209;30.79435
38.74577;29.98645
38.74325;30.38105
38.73322;31.6413
38.73061;30.79167
38.72541;30.75619
38.71692;30.0176
38.71586;30.84928
38.70868;30.72776
38.7069;30.7428
38.70617;32.23022
38.70051;30.18259
38.69116;30.71483
38.68782;30.71264
38.68443;30.75446
38.67582;30.79924
38.6702;28.76357
38.66585;31.84695
38.66421;30.23406
38.66163;30.90443
38.65396;30.59599
38.63564;29.99048
38.63515;30.61193
38.63438;31.7228
38.63381;30.07638
38.63088;30.77162
38.62638;30.84243
38.62101;30.79275
38.61197;31.97224
38.61045;30.08445
38.609;31.49697
38.60723;30.40809
38.60326;30.05735
38.59946;30.87003
38.59538;32.5363
38.59037;30.60687
38.58983;30.51104
38.58539;30.69109
38.58015;30.07722
38.57133;29.87657
38.5693;30.90284
38.5692;30.68825
38.56904;30.8074
38.56145;30.12955
38.55734;30.95887
38.54584;30.92131
38.54027;29.2018
38.526;30.78918
38.52457;30.37406
38.52258;30.51693
38.52158;31.57711
38.50368;31.47566
38.50253;30.8427
38.49955;30.46119
38.49949;30.91588
38.49694;30.73157
38.49529;30.64595
38.49482;30.70353
38.49318;31.75309
38.4904;30.9056
38.48881;31.01087
38.48766;30.13384
38.48152;30.79463
38.4732;29.66352
