K5L1_3.PV;K5F5.PV;K5F6X.PV
7.988203;27.8478;22.33514
7.762453;26.22825;22.58948
7.694531;36.82295;30.89373
7.511109;34.77717;29.84459
7.500937;39.04753;30.69116
-7.353938;31.93606;21.97453
-7.141641;38.61197;31.97224
7.131469;38.9971;30.4548
7.042875;39.13671;29.77085
6.928031;29.89337;22.31129
6.849937;36.63972;29.78403
6.805641;39.65823;29.67069
6.753469;39.56711;29.65134
6.747562;26.69;21.32633
6.732469;34.36203;29.67535
-6.603844;37.07305;25.52025
6.364969;22.79695;17.79468
6.273094;21.93823;18.02268
6.244875;29.7193;23.34227
6.242906;27.09643;21.25749
6.191391;40.0565;30.76988
6.175641;34.84178;29.84816
6.169734;22.52752;18.74983
-6.162516;25.8248;18.40651
-6.133969;25.86142;18.65488
-6.132656;38.49955;30.46119
6.101156;22.43999;17.56286
-6.067688;37.82956;32.21232
-6.022078;34.91187;25.69709
5.998781;38.99847;31.33581
5.973844;22.19548;17.85079
-5.926266;25.37776;18.30916
5.908219;23.57795;18.12784
-5.902312;25.84624;18.28957
-5.889844;42.88866;32.11455
-5.883937;37.60748;32.37525
5.866547;22.63557;19.19038
-5.857687;38.52457;30.37406
5.831766;21.93259;18.02084
-5.830453;40.30916;30.4331
-5.800266;25.72112;17.94864
5.772047;33.5783;30.90895
-5.7645;37.48002;30.39044
-5.763187;42.45868;32.19675
5.754;33.45978;29.9113
-5.747766;27.2714;20.54855
-5.739234;24.63869;18.71888
5.684766;24.22474;19.78785
5.668687;22.46935;18.18943
5.646703;23.24015;19.15734
5.63325;33.50978;30.49204
-5.627016;40.54333;31.51965
-5.619469;28.3026;20.98673
-5.577469;29.84484;20.7045
-5.560078;24.52779;18.67258
5.548922;22.82629;19.14705
5.524969;33.66782;31.421
-5.520375;27.44286;20.2391
5.515781;22.62919;19.51992
5.513156;23.43538;17.93482
5.510203;31.33112;24.72382
5.479031;31.063;25.44455
5.465906;23.36654;19.02352
-5.458031;27.52445;20.22816
5.452781;24.40369;19.00837
-5.449172;26.75067;18.52957
5.438344;21.673;18.4457
5.373047;33.37739;30.17063
-5.372063;34.86517;25.59025
5.365828;33.88785;27.32204
-5.364844;22.75336;19.03741
5.364188;31.57947;25.06383
5.354016;36.05405;31.66335
-5.347125;25.40193;18.50883
5.344828;23.02682;19.2616
5.338593;24.7878;19.65261
5.338266;31.46121;22.65062
-5.321859;42.86893;31.48836
5.313;26.31671;21.86026
-5.295281;35.80556;28.97397
5.292984;39.06009;31.88136
-5.291016;28.94276;19.70105
-5.262141;33.48452;26.04104
5.243109;23.72363;19.64332
5.229328;23.16599;18.25348
