K5T3.PV;K5TCV2I.PV;K5L2.PV
202.3008;11.79854;298.0304
202.056;11.82036;298.0097
202.595;11.80958;297.6376
201.3048;11.81365;297.2885
201.9746;11.81385;297.0309
201.8967;11.80318;296.9151
201.9275;11.80453;296.8416
202.0123;11.80641;296.6854
201.7317;11.81563;296.6814
201.6913;11.80609;296.6293
202.7756;11.81094;296.5968
202.045;11.80385;296.5889
202.6796;11.80354;296.5866
201.4935;11.42016;296.5804
202.0415;11.80688;296.5325
203.1013;11.8126;296.5203
202.1971;11.81672;296.4984
202.0985;11.80177;296.4846
202.021;11.79943;296.4688
201.1915;11.42068;296.4176
201.8671;11.41958;296.413
202.0956;11.81073;296.3993
202.0306;11.80443;296.3431
201.235;11.41844;296.311
202.1408;11.81021;296.2998
202.1337;11.81385;296.2746
202.124;11.81328;296.2742
204.0129;11.19448;296.2637
201.0873;11.42323;296.2152
203.5079;11.19016;296.1981
202.1083;11.81724;296.1833
201.1879;11.42151;296.1761
202.2094;11.80448;296.1417
201.535;11.43427;296.1072
201.81;11.41443;296.1017
203.016;11.80906;296.0931
202.2075;11.80625;296.06
202.1373;11.80995;296.0541
201.1521;11.42943;296.0518
201.9531;11.80031;296.0107
200.876;11.42896;296.0088
202.1521;11.79672;295.9989
201.0056;11.42667;295.995
202.0596;11.79927;295.994
200.9773;11.46052;295.9891
202.2846;11.82146;295.9858
202.2848;11.80859;295.9799
201.7379;11.4101;295.9756
206.8102;16.7088;295.9487
206.9115;16.71115;295.9418
202.2458;11.80786;295.9333
207.0821;16.71635;295.9195
204.7952;11.17875;295.9015
200.3008;13.30083;295.8995
201.0823;11.43443;295.8953
202.0287;11.81703;295.8933
202.2192;11.81339;295.8726
204.0998;11.19432;295.8706
201.9958;11.81964;295.8631
200.0713;11.80672;295.8624
206.7223;16.71781;295.8523
202.9356;11.80448;295.849
207.2477;18.49927;295.8349
201.5708;11.47953;295.8316
207.1913;16.72047;295.8214
201.9296;11.42708;295.8142
206.4042;16.73151;295.8119
202.1665;11.80474;295.8096
201.0152;11.42964;295.806
201.9046;11.80333;295.8014
201.9458;11.80021;295.7978
200.5833;13.3076;295.7899
201.1277;11.42156;295.7876
202.0481;11.81401;295.7758
204.9517;11.17323;295.7693
201.6292;11.79833;295.7676
201.4713;11.46547;295.7666
203.1812;11.19104;295.7581
206.5392;16.71729;295.7512
206.5452;16.72313;295.7496
208.0423;21.22427;295.7404
206.924;16.70984;295.7391
201.1246;11.41948;295.7381
202.3529;11.80786;295.7276
202.2069;11.80677;295.7269
202.3185;11.80406;295.7125
202.2104;11.80375;295.7108
202.1952;11.80359;295.7049
197.8115;14.25714;295.7049
202.4794;11.81594;295.7036
206.8152;16.71385;295.6977
202.1237;11.81057;295.6971
206.5121;15.18964;295.6961
204.5904;11.18302;295.6888
201.3523;11.38151;295.6813
202.0387;11.80391;295.681
205.5598;10.34505;295.6758
202.2042;11.7975;295.6725
202.3654;11.81266;295.6695
207.2242;18.49177;295.6665
202.1631;11.79922;295.6629
206.9635;16.71385;295.66
201.5442;11.47052;295.66
204.8371;11.1763;295.6567
197.9504;14.26167;295.6551
195.9165;14.78219;295.6521
207.4423;19.3463;295.6488
207.01;16.71599;295.6465
207.3111;18.48625;295.6452
197.8781;14.26406;295.6341
202.2515;11.81516;295.6328
201.9292;11.8063;295.6321
206.91;16.70625;295.6285
201.9444;11.81365;295.6242
202.2233;11.8038;295.6236
206.6144;16.70969;295.6232
202.2898;11.80443;295.6206
