K5PS14_1.PV;K5PS14_2.PV;K5P10.PV;K5F5.PV
4.259063;4.381031;4.395625;37.2541
4.257581;4.379944;4.395562;37.25333
4.257994;4.380638;4.393844;37.216
4.256081;4.378444;4.391844;37.38257
4.250513;4.374225;4.391687;37.32553
4.248431;4.372087;4.3905;37.10571
4.2552;4.378987;4.389344;37.11545
4.255013;4.377675;4.387281;37.16752
4.250869;4.37355;4.385094;37.16716
4.252088;4.376119;4.385031;37.34599
4.247419;4.370362;4.383594;37.07328
4.245188;4.368544;4.383594;37.0507
4.252969;4.37625;4.382656;37.13778
4.2408;4.363856;4.382469;37.9787
4.247906;4.370531;4.382031;37.09953
4.246238;4.369012;4.381969;37.44145
4.244381;4.366969;4.380906;37.91371
4.247044;4.369875;4.37825;37.07502
4.23825;4.360631;4.378125;38.02005
4.233057;4.356825;4.377281;38.10241
4.242656;4.365319;4.376906;36.68611
4.245206;4.367568;4.376094;36.67134
4.239806;4.362825;4.371531;36.6744
4.229737;4.352644;4.371094;38.15313
4.236431;4.359131;4.369812;36.51062
4.226644;4.349775;4.367594;38.22935
4.221469;4.342969;4.366562;38.21793
4.219556;4.341056;4.363906;38.16651
4.224375;4.347094;4.362844;38.18822
4.23225;4.3548;4.358469;36.54546
4.216106;4.338112;4.357344;38.1888
4.212788;4.335806;4.357125;38.15907
4.211644;4.334063;4.356531;38.1869
4.224056;4.345481;4.3555;36.48789
4.228125;4.350694;4.353437;36.45839
4.20885;4.3308;4.353188;38.13648
4.215525;4.337419;4.350031;36.4368
4.204762;4.327256;4.348469;38.15676
4.2183;4.341225;4.346187;36.45198
4.205756;4.305243;4.343875;37.32824
4.206975;4.305956;4.343281;37.33292
4.201912;4.3242;4.342781;37.93436
4.189913;4.311581;4.342406;38.91125
4.206488;4.3062;4.342375;37.35806
4.204875;4.304287;4.342344;37.37868
4.200825;4.323431;4.342344;37.81896
4.212131;4.333275;4.342031;36.56333
4.205025;4.304962;4.341531;37.33722
4.206375;4.305731;4.341063;37.36605
4.186707;4.308019;4.341063;38.81284
4.187044;4.309744;4.340906;38.98936
4.204687;4.304325;4.340688;37.30779
4.196719;4.3185;4.339844;38.26123
4.18815;4.308844;4.33975;38.79334
4.188056;4.310419;4.339562;38.69966
4.2075;4.330069;4.339094;36.69186
4.201894;4.30125;4.339063;37.37637
4.193981;4.293675;4.339031;37.62732
4.186519;4.308956;4.338937;38.82582
4.2;4.321406;4.33875;37.89771
4.188394;4.309762;4.338594;38.58936
4.192538;4.314094;4.3385;38.08579
4.2027;4.302581;4.338438;37.35865
4.186406;4.307437;4.338438;38.89708
4.191094;4.312069;4.33825;38.44318
4.1925;4.314844;4.338094;38.16376
4.190212;4.312294;4.338;38.31297
4.195181;4.316813;4.337969;38.27743
4.190382;4.311637;4.337781;38.58426
4.193757;4.315388;4.337718;38.10947
4.189763;4.312144;4.337625;38.4723
4.193006;4.314487;4.337625;38.30463
4.192012;4.314394;4.337531;38.30627
4.184681;4.306688;4.337406;39.05744
4.201331;4.301868;4.337281;37.34989
4.19055;4.311975;4.33725;38.3869
4.204594;4.306669;4.336937;36.65945
4.201875;4.305656;4.336875;36.82306
4.184362;4.306631;4.336875;38.83942
4.197863;4.297987;4.336812;36.71386
4.206581;4.305244;4.33675;37.37556
4.20375;4.325925;4.33675;36.69542
4.184438;4.306125;4.336719;39.03518
4.183688;4.305094;4.336719;39.5563
4.186069;4.308037;4.336688;39.03354
4.205756;4.305131;4.336657;37.31871
4.192031;4.314356;4.336625;38.07184
4.185038;4.307343;4.336531;39.07447
4.188037;4.309369;4.336469;38.75346
4.201388;4.301137;4.336344;37.35902
4.206356;4.306763;4.336187;37.05022
4.192838;4.315031;4.336094;38.11938
4.186762;4.307869;4.335969;38.82949
4.202025;4.302037;4.335938;37.38784
4.184213;4.305919;4.335938;39.06705
4.20045;4.303725;4.335906;36.77443
4.18935;4.310325;4.335906;38.06918
4.190963;4.3131;4.335906;38.15882
4.189819;4.311357;4.335875;38.50367
4.202381;4.3041;4.335844;36.92266
4.190231;4.3113;4.335813;38.042
4.188038;4.309481;4.335625;38.6432
4.184344;4.305938;4.335625;39.02403
4.187531;4.310006;4.335594;38.61423
4.189594;4.31085;4.335437;38.62099
4.202644;4.301588;4.335375;37.28844
4.202662;4.302619;4.335344;36.81753
4.198125;4.297594;4.335312;36.73109
4.183763;4.305919;4.33525;38.91428
4.1868;4.309088;4.335219;38.76479
4.186969;4.308469;4.335218;38.68318
4.185656;4.30725;4.335156;38.9213
