K5P6.PV;K5P17_1.PV;K5P17_2.PV;K5F3.PV;K5PCV4I.PV;K5T12.PV;K5P13.PV;K5P16_1.PV;K5GKAL.PV;K5P16_2.PV;K5Q2_1.PV;K5P4_1.PV
1.500175;9.530596;9.303347;2804.816;38.08671;167.9433;4.073233;1.015738;19.84652;1.126549;484.0471;17.99344
1.418568;9.114283;8.892303;2730.778;37.11661;166.2809;4.072107;0.9565729;19.31243;1.065566;463.9162;17.13515
1.478407;9.554727;9.327216;2809.635;38.14972;167.2295;4.071414;1.000311;19.89875;1.110009;486.2339;17.9824
1.680137;10.31665;10.09504;2927.134;39.77588;171.2062;4.067364;1.13907;20.65832;1.260067;533.2946;19.49968
1.653008;10.31721;10.09668;2977.827;39.37015;169.4834;4.064949;1.11733;21.16503;1.242958;519.8514;19.37961
1.128559;7.629625;7.421859;2483.96;33.60369;160.0831;4.052347;0.7509151;17.69941;0.8479918;450.4926;14.244
1.150136;7.514053;7.300005;2459.861;33.5198;159.5497;4.050002;0.7639322;17.47862;0.8649477;434.7739;14.00149
1.150148;7.506742;7.293717;2456.49;33.43434;159.6259;4.048803;0.7638783;17.45961;0.8645042;453.4651;13.99918
1.109164;7.244389;7.03513;2410.625;32.72691;158.6675;4.048123;0.7355893;17.14641;0.8341777;426.9359;13.59286
1.680142;10.28254;10.05653;2890.979;39.66401;172.1443;4.047513;1.15033;20.36385;1.259224;1775.587;19.49556
1.077578;7.059082;6.877358;2426.697;32.10611;157.2853;4.046064;0.7008157;17.58451;0.8111665;511.4642;13.25887
1.680123;10.29115;10.05957;2885.439;39.64339;172.3372;4.043319;1.155856;20.17139;1.259922;3434.64;19.49788
1.681726;10.3963;10.15954;2900.535;39.65128;171.6657;4.042192;1.155494;20.28954;1.260738;1063.586;19.66605
1.450187;9.538129;9.310891;2777.173;37.26514;167.1984;4.041081;0.986608;19.73975;1.086922;611.7266;17.99426
1.091813;7.453828;7.272481;2489.323;32.92448;156.7951;4.039838;0.71573;18.04758;0.8240469;543.1991;13.93354
1.155531;7.827801;7.630862;2502.082;34.00441;158.3549;4.038913;0.7718979;17.87385;0.8702077;1222.544;14.79426
1.326226;8.92147;8.6887;2689.761;36.02682;164.1021;4.037868;0.8930236;19.16618;0.9946236;615.8063;16.59051
1.254193;8.626503;8.398649;2641.725;35.47266;161.6406;4.035214;0.8391796;18.84758;0.9414347;618.5053;16.04244
0.9968545;6.828557;6.6453;2338.799;31.85415;153.4578;4.033612;0.6586328;16.70917;0.7515301;375.5685;12.93781
1.404643;9.194566;8.9655;2719.188;36.6687;165.6033;4.033158;0.9553136;19.34192;1.053683;608.4828;17.29322
1.04826;7.014243;6.814418;2370.028;32.23635;156.9661;4.032139;0.6934963;16.90796;0.789571;441.1388;13.22171
1.249673;8.446918;8.209467;2601.043;35.07307;161.7997;4.029979;0.8471119;18.45916;0.9377703;449.8136;15.69363
1.041015;7.259575;7.083014;2401.326;32.85442;153.3861;4.02981;0.6898516;17.16026;0.7858152;1183.368;13.80313
0.9590192;6.572145;6.400679;2311.769;31.08626;152.1405;4.028903;0.6271955;16.70423;0.7256168;506.8078;12.4779
1.19807;8.180018;7.948891;2555.345;34.55958;160.5694;4.027315;0.8094472;18.13317;0.8991759;434.9251;15.21548
0.9599584;6.59115;6.413376;2312.758;31.25372;151.9791;4.027084;0.6296024;16.64551;0.7263374;506.375;12.49954
1.05725;7.169419;6.988933;2447.842;32.20294;155.5135;4.027054;0.6906462;17.71073;0.7980261;451.4901;13.41848
1.346088;8.802091;8.61372;2674.899;35.45544;160.7074;4.026606;0.9010729;19.28849;1.014424;495.318;16.66402
0.9599777;6.592638;6.418969;2316.267;31.18863;152.1025;4.025609;0.6283972;16.72601;0.726999;496.499;12.50668
1.307856;8.443022;8.218167;2588.087;35.04053;159.3898;4.025115;0.8857931;18.28308;0.9808685;611.0785;15.84688
1.100152;7.772575;7.566168;2498.646;33.78367;157.4927;4.024681;0.7312199;17.91973;0.8271407;640.8715;14.49925
1.050136;7.163572;6.962331;2387.809;32.49638;156.5641;4.02405;0.6980762;16.99517;0.7886382;350.9429;13.49807
1.060352;7.092513;6.893857;2368.235;32.38267;154.3815;4.023659;0.705966;16.8274;0.7965177;400.7639;13.40009
1.000132;6.892504;6.715497;2377.961;31.57059;153.5273;4.023487;0.6503237;17.12938;0.7552454;493.4355;13.00448
0.9378932;6.296427;6.116176;2252.302;30.60605;152.4722;4.023026;0.6144547;16.14324;0.708423;352.8842;11.98756
1.069008;7.447386;7.234669;2426.456;33.03983;158.1115;4.022804;0.7181135;17.23647;0.8035;405.5571;13.97304
0.9760652;6.70652;6.528211;2329.154;31.43694;152.9251;4.022549;0.6409813;16.69625;0.7365635;342.9806;12.70368
1.019807;6.647004;6.463426;2344.088;31.11614;155.7025;4.022548;0.6642492;16.97382;0.7685538;473.7371;12.56579
0.9456407;6.519114;6.338137;2268.359;31.05623;152.603;4.021081;0.6267016;16.17225;0.7132157;379.9566;12.39232
1.00562;6.920529;6.735546;2357.623;31.86087;149.2336;4.020572;0.6627887;16.84298;0.7572521;349.4975;13.08426
1.13007;7.462005;7.249274;2430.125;33.02089;152.4711;4.020447;0.7563632;17.21069;0.8490219;428.4413;13.99957
1.000126;6.84994;6.649413;2316.467;31.75762;155.491;4.020275;0.6684167;16.43904;0.7515623;387.1407;12.99896
1.06843;7.388392;7.19078;2439.831;32.90774;155.3585;4.02016;0.7050349;17.50225;0.8034289;591.1042;13.8627
1.000138;6.858091;6.663656;2330.097;31.96134;156.1295;4.019445;0.6615551;16.61096;0.7525878;440.8092;13.00025
1.000128;6.877313;6.698503;2363.921;31.58218;153.2298;4.018049;0.6529655;17.00917;0.7543693;480.0881;13.00318
0.8157939;5.756649;5.604964;2154.72;29.28479;145.6774;4.017959;0.5234295;15.50153;0.6216982;1103.984;10.99798
0.9966604;6.963613;6.77503;2354.634;31.92125;154.6063;4.017627;0.6622303;16.84275;0.7519825;408.4299;13.1698
1.062823;6.958134;6.748696;2343.381;32.01686;158.1119;4.017564;0.7116579;16.67502;0.7987913;417.2033;13.12655
1.036205;7.165004;6.964212;2388.957;32.48252;155.8001;4.017379;0.6861883;17.04054;0.7795798;421.8715;13.49527
0.9952369;6.844504;6.663749;2331.495;31.7637;152.8536;4.017117;0.6600021;16.67174;0.7513258;405.6145;12.93638
1.074108;7.360598;7.154176;2421.88;32.83207;157.6666;4.0169;0.711697;17.29162;0.8079075;420.019;13.82412
1.039824;7.119369;6.929684;2401.054;32.14407;153.6651;4.016462;0.6828296;17.24548;0.7822623;533.9257;13.40836
1.000119;6.855128;6.661977;2330.033;31.90785;155.783;4.016308;0.6618778;16.60832;0.752637;447.3111;12.99716
