K0P125.PV;K5Q2_2.PV;K5FCV4_2I.PV;K5P6.PV;K5PCV6I.PV;K5PCV17_1I.PV;K5P17_1.PV;K5PCV17_2I.PV;K5P17_2.PV;K5F3.PV;K5T20.PV;K5P110.PV;K5PCV4I.PV;K5T12.PV;K5P13.PV;K5HCV60I.PV;K5P16_1.PV;K5GKAL.PV;K5HCV61I.PV;K5P16_2.PV;K5FCV4_1I.PV;K5Q2_1.PV;K5P4_1.PV
64.1105;320.1875;5.23;1.098405;97.73969;80.315;7.74125;99.45;7.398672;2436.106;14.73375;62.7245;34.29844;143.0581;3.989494;97.8875;0.7218594;17.52106;97.71094;0.8045625;100;335.6875;14.37594
64.489;252.9375;5.2975;1.099035;97.75719;80.34594;7.780781;99.44937;7.441875;2443.121;14.725;62.996;34.30625;143.1656;3.993994;97.93999;0.7382813;17.48304;97.75719;0.8235547;100;332.5313;14.45
64.707;319.5313;5.3725;1.100649;97.77281;80.41156;7.824687;99.4625;7.490703;2448.294;14.74063;63.2855;34.30594;143.2625;3.995606;97.96188;0.7091797;17.46435;97.71375;0.8133281;100;337.7188;14.51437
64.8415;323.1875;5.243437;1.100669;97.73875;80.33562;7.850469;99.44531;7.520469;2452.073;14.72156;63.447;34.29719;143.3681;3.995625;98.00031;0.7776719;17.48339;97.77937;0.81525;100;332.9688;14.57031
65.0095;313.2188;5.289063;1.100669;97.76375;80.34469;7.862109;99.45687;7.52664;2454.261;14.71719;63.5445;34.30625;143.4394;3.9987;97.98937;0.7250078;17.56448;97.85594;0.8166328;100;335.7813;14.60375
65.0265;263.3125;5.202188;1.099567;97.73813;80.35938;7.866016;99.46625;7.528047;2455.131;14.725;63.5805;34.29875;143.5306;4.001738;97.99375;0.7258828;17.60921;97.77563;0.81125;100;337.6563;14.59469
65.0445;343.375;5.17875;1.098956;97.76563;80.38563;7.870625;99.45;7.54;2457.728;14.72875;63.663;34.29125;143.59;4.003294;97.98125;0.6989453;17.57113;97.84156;0.8207812;100;337.75;14.62219
65.139;334.7813;5.239375;1.099901;97.7675;80.40187;7.879063;99.44625;7.547344;2457.246;14.72688;63.657;34.29656;143.6869;4.003819;97.9425;0.7272578;17.649;97.75094;0.8220703;100;336.9688;14.6475
64.975;349.75;5.22375;1.099803;97.76312;80.31313;7.857969;99.45657;7.532109;2454.898;14.72312;63.5575;34.30437;143.7675;3.999619;97.96094;0.7527266;17.64559;97.79375;0.8240469;100;333.3438;14.6375
64.703;346.875;5.2625;1.101279;97.74844;80.31406;7.824531;99.46562;7.507968;2448.934;14.725;63.323;34.30156;143.8944;4.003762;97.94844;0.71775;17.64726;97.75938;0.8231328;100;334.8438;14.55469
64.53;228.0313;5.2775;1.09996;97.76406;80.32813;7.829766;99.46031;7.498125;2452.641;14.71094;63.12;34.3575;143.9769;4.003162;97.97813;0.7308281;17.65639;97.76625;0.825711;100;330.3125;14.53312
64.4165;289.6563;5.303437;1.100098;97.75625;80.36969;7.883125;99.45812;7.546719;2458.515;14.68594;62.925;34.78844;144.065;4.004494;97.97469;0.6910625;17.64743;97.79282;0.8118281;100;336.4688;14.66313
64.1155;382.9688;5.23;1.101063;97.735;80.34093;8.389999;99.44719;8.046875;2526.992;14.71656;62.688;35.91281;144.16;4.007569;97.90874;0.6882032;17.86368;97.73875;0.8190469;100;330.0625;15.6075
