K5P17_2.PV;K5P4_1.PV
9.987187;19.58781
9.960625;19.52594
9.928359;19.44813
9.921329;19.43563
9.885703;19.37156
9.883595;19.37812
9.85125;19.32438
9.841406;19.25625
9.839141;19.29969
9.838281;19.295
9.831797;19.31406
9.823438;19.27063
9.804375;19.245
9.798047;19.225
9.786797;19.18719
9.740156;19.09844
9.69961;19.02938
9.602187;18.84031
9.527969;18.70375
9.508047;18.67312
9.484062;18.61719
9.465;18.615
9.436328;18.5275
9.433437;18.51375
9.418828;18.50125
9.407656;18.45969
9.390157;18.41438
9.178672;18.00875
9.157031;17.98406
9.14961;17.95563
9.097891;17.83656
9.059531;17.77563
9.053672;17.76969
9.02625;17.71156
9.025001;17.7125
9.014453;17.69844
8.981251;17.63281
8.945078;17.55406
8.922421;17.50937
8.735859;17.05437
8.733828;17.09063
8.726954;17.06688
8.719609;17.02875
8.686015;16.9725
8.670859;16.93625
8.630078;16.89375
8.619765;16.83875
8.619532;16.80625
8.603125;16.75656
8.594453;16.81906
8.583984;16.80938
8.399922;16.275
8.364532;16.20656
8.344454;16.16875
8.34164;16.15906
8.30875;16.14219
8.294141;16.105
8.292421;16.08156
8.291641;16.0675
8.276015;16.01875
8.236876;15.96
8.218047;15.93875
8.210468;15.91313
8.182422;15.86875
8.175703;15.87219
8.149141;15.83
8.142891;15.80469
8.137501;15.72969
8.135859;15.7825
8.129922;15.78562
8.114141;15.71562
8.101329;15.72531
8.091797;15.74531
8.080625;15.64969
8.077343;15.70406
8.073594;15.62094
8.063046;15.65844
8.057422;15.61438
8.054375;15.67188
8.054296;15.62969
8.047266;15.625
8.046875;15.6075
8.041562;15.62375
8.039923;15.59688
7.547344;14.6475
7.546719;14.66313
7.532109;14.6375
7.528047;14.59469
7.52664;14.60375
7.520469;14.57031
7.507968;14.55469
7.498125;14.53312
7.490703;14.51437
7.441875;14.45
7.398672;14.37594
11.76719;22.55688
11.74406;22.54531
11.74234;22.53437
11.73945;22.49469
11.73781;22.52844
11.72852;22.47187
11.72805;22.50375
11.72445;22.48156
11.72352;22.57563
11.72242;22.55875
11.71898;22.52594
11.71758;22.43906
11.71438;22.46906
11.70914;22.45281
11.70172;22.47094
11.70156;22.44031
11.70133;22.45281
11.70133;22.44094
11.70109;22.44344
11.70102;22.53156
11.69742;22.49219
11.69547;22.43719
11.69531;22.45563
11.69477;22.52563
11.69469;22.51406
11.69297;22.58438
11.68937;22.44469
11.68898;22.42438
11.68813;22.44375
11.68703;22.45844
11.68391;22.44062
11.68258;22.41875
11.68188;22.46625
11.68141;22.43656
11.68008;22.37406
11.67883;22.48938
11.67805;22.39812
11.67789;22.34219
11.67586;22.375
11.67539;22.45375
11.67492;22.41469
11.67414;22.46656
11.67391;22.44
11.67297;22.49375
11.67281;22.4075
11.67195;22.38875
11.67102;22.47313
11.67078;22.41375
11.66773;22.36031
11.66734;22.34844
11.66719;22.48844
11.66695;22.41594
11.66625;22.43563
11.66438;22.34375
11.66375;22.47187
11.66352;22.505
11.66211;22.34469
11.66125;22.47
11.66055;22.45156
11.66055;22.43906
11.65984;22.31531
11.65969;22.39031
11.65938;22.40438
11.65922;22.32969
11.65859;22.34469
11.65836;22.51188
11.65641;22.39594
11.65617;22.4075
11.65602;22.34812
11.65602;22.43344
11.65563;22.39
11.65367;22.34562
11.65367;22.4175
11.65297;22.49406
11.65297;22.45281
11.65289;22.46844
11.65258;22.50531
11.65242;22.48844
11.65195;22.32719
11.65156;22.39063
11.65094;22.37969
11.64992;22.39437
11.64906;22.39969
11.64898;22.36156
11.64883;22.44875
11.64875;22.44062
11.64852;22.3625
11.64844;22.45969
11.64828;22.36406
11.64805;22.34531
11.64797;22.44656
11.64719;22.415
11.64703;22.35219
11.64688;22.45437
11.64664;22.4175
11.64648;22.39687
11.64648;22.48313
11.64625;22.42562
11.64453;22.34219
11.64414;22.40844
11.64383;22.44844
11.64234;22.44844
11.64234;22.37313
11.64172;22.43063
11.63992;22.43156
11.63867;22.29094
11.63859;22.41562
11.63844;22.40625
11.63781;22.41875
11.63766;22.41531
11.63758;22.33406
11.63742;22.29906
11.63688;22.32344
11.63672;22.29125
11.63664;22.49813
11.63625;22.37188
11.63578;22.29719
11.63531;22.46969
11.63523;22.35781
11.63492;22.31219
11.63453;22.31344
11.63367;22.37938
11.63313;22.37875
11.63242;22.30688
11.63188;22.29031
11.63086;22.40031
11.63078;22.36594
11.63047;22.41125
11.63039;22.29719
11.63008;22.27031
11.62984;22.37219
11.62977;22.2775
11.62977;22.39281
11.62922;22.36594
11.62914;22.36125
11.62906;22.27406
11.62906;22.3875
11.62852;22.37656
11.62844;22.37844
11.62742;22.32469
11.62695;22.37344
11.62687;22.33281
11.62672;22.31281
11.62586;22.24281
11.62586;22.37938
11.62562;22.29938
11.62555;22.43281
11.62477;22.39156
11.62453;22.36375
11.62422;22.41562
11.62313;22.34562
11.62305;22.39344
11.62273;22.41875
11.62188;22.43656
11.62172;22.30531
11.62141;22.37938
11.62117;22.24344
11.62109;22.39875
11.62055;22.35656
11.62055;22.39437
11.61844;22.3575
11.61844;22.38
11.61844;22.33688
11.61836;22.33281
11.61828;22.33531
11.61828;22.34469
11.61797;22.40906
11.61773;22.38219
11.61742;22.34406
11.61742;22.29781
11.61664;22.38844
11.61664;22.41031
11.61625;22.33469
11.61602;22.39031
11.61586;22.26312
11.61563;22.44719
11.61539;22.35281
11.615;22.38688
11.615;22.39687
11.61477;22.31281
11.61469;22.38688
11.61453;22.39094
11.61453;22.38125
11.61312;22.28344
11.61281;22.37906
11.61266;22.24031
11.61242;22.31937
11.61234;22.33875
11.61211;22.38563
11.61172;22.31875
11.61133;22.32094
11.61133;22.35031
11.61125;22.33906
11.61078;22.36938
11.61023;22.305
11.61023;22.25
11.61023;22.26156
11.60984;22.26937
11.60938;22.31375
11.60938;22.34687
11.60922;22.26344
11.60852;22.25438
11.60812;22.30531
11.60781;22.37563
11.60742;22.27031
11.60742;22.28719
11.60711;22.265
11.60688;22.33094
11.60648;22.37469
11.60648;22.4075
11.60625;22.36125
11.60602;22.29781
11.60586;22.35844
11.60531;22.22688
11.60516;22.28219
11.60516;22.38094
11.60492;22.32875
11.60484;22.22812
11.60484;22.30156
11.60469;22.35094
11.60469;22.34375
11.60453;22.32781
11.60445;22.25219
11.60391;22.25625
11.60383;22.34937
11.60375;22.34281
11.60367;22.36719
11.60367;22.36687
11.60359;22.31531
11.60352;22.36594
11.60313;22.34062
11.60297;22.36531
11.60281;22.23094
11.60281;22.30437
11.60258;22.21406
11.60203;22.21656
11.60156;22.3125
11.60133;22.31937
11.60133;22.34344
11.60125;22.22
11.60086;22.23187
11.60078;22.29062
11.60063;22.22219
11.60039;22.20938
11.60039;22.36875
11.60023;22.26406
11.60016;22.39094
11.59984;22.28719
11.59984;22.37656
11.59961;22.27063
11.59961;22.36094
11.59883;22.26406
11.59875;22.27687
11.59867;22.21656
11.59828;22.21375
11.59828;22.32781
11.59828;22.30406
11.59805;22.36594
11.59781;22.25156
11.59781;22.22469
11.59781;22.22031
11.59758;22.22781
11.59742;22.36
11.59734;22.32313
11.59727;22.34219
11.59703;22.33937
11.59688;22.23438
11.59688;22.21406
11.59648;22.21031
11.59633;22.26406
11.59633;22.28188
11.59609;22.27875
11.59578;22.19781
11.59578;22.24
11.59562;22.22156
11.59539;22.32813
11.59539;22.44563
11.595;22.36969
11.59492;22.29062
11.59477;22.33406
11.59461;22.31875
11.59453;22.29688
11.59406;22.38344
11.59398;22.19469
11.59391;22.23875
11.59367;22.19188
11.59367;22.34094
11.59359;22.32469
11.59352;22.23187
11.59352;22.32531
11.59305;22.34781
11.59281;22.32688
11.59227;22.24969
11.59227;22.28906
11.59211;22.25
11.59211;22.33969
11.59156;22.27563
11.59149;22.22219
11.59148;22.19344
11.59125;22.34031
11.59117;22.22125
11.59109;22.22188
11.59086;22.22531
11.59062;22.18594
11.59047;22.39187
11.59039;22.18438
11.59016;22.22437
