K5P18_1.PV;K0P125.PV
-90.3293;67.54242
-89.89505;66.58842
-89.81745;66.78867
-89.172;66.601
-89.0431;67.0955
-88.72982;66.36075
-88.28841;67.09592
-88.26953;67.0525
-88.07774;66.52792
-87.64753;66.47258
-87.46016;67.04942
-87.15716;66.67741
-87.12096;66.3085
-87.10195;66.53467
-86.97409;67.15833
-86.97356;67.26859
-86.9625;66.35641
-86.92278;66.41317
-86.90221;67.96875
-86.84232;66.8645
-86.77578;66.59383
-86.74545;67.01492
-86.74154;67.37375
-86.68919;68.104
-86.57787;66.82591
-86.56355;67.15283
-86.27865;66.88883
-86.26498;67.33608
-86.25326;66.9905
-86.13255;66.50308
-86.08073;67.5195
-86.07396;67.16583
-86.06641;66.55675
-86.06497;67.29559
-86.01979;66.82784
-85.97279;66.922
-85.91836;67.11642
-85.84427;67.32242
-85.78516;66.94292
-85.73399;66.8695
-85.71836;67.15217
-85.68867;67.26683
-85.68398;67.70959
-85.59909;67.23341
-85.56731;66.61916
-85.55534;67.01392
-85.54792;66.95133
-85.49193;67.55117
-85.48347;66.586
-85.42683;66.68517
-85.41758;67.05742
-85.39479;66.41142
-85.31016;66.59875
-85.23242;67.08417
-85.16497;66.71658
-85.14427;67.07809
-85.1319;67.48742
-85.12552;67.0515
-85.11224;67.298
-85.08372;67.42767
-85.0789;66.745
-85.06602;67.01109
-84.96068;67.07217
-84.95091;67.386
-84.94518;67.22792
-84.90365;66.89792
-84.83802;66.73558
-84.80325;67.48583
-84.74948;66.22842
-84.74727;66.62241
-84.72903;67.0755
-84.70417;67.11459
-84.65807;66.97483
-84.65234;67.34834
-84.65039;66.79117
-84.64883;66.96917
-84.59297;66.66209
-84.57317;67.04408
-84.56979;67.21841
-84.55378;67.09658
-84.53372;67.16016
-84.49844;66.45983
-84.47578;67.57333
-84.45377;66.46533
-84.40508;67.21259
-84.39584;67.14034
-84.3625;66.61041
-84.34935;67.1585
-84.33763;66.659
-84.32474;67.0695
-84.28906;67.15175
-84.27721;66.4575
-84.27526;66.78059
-84.2664;66.50933
-84.25951;67.35133
-84.22318;66.59725
-84.21914;66.81108
-84.20885;66.85625
-84.19128;67.04925
-84.15456;66.9795
-84.14336;66.36933
-84.12708;66.94542
-84.10899;66.75375
-84.0901;67.56934
-84.0599;67.48392
-84.04544;67.47867
-84.00313;66.83775
-83.99128;66.80466
-83.99023;67.24641
-83.9832;67.21383
-83.97487;66.98209
-83.96263;67.12017
-83.96146;67.28892
-83.94961;66.69067
-83.93372;67.00425
-83.91679;66.62017
-83.9052;67.20092
-83.9017;66.98458
-83.89948;67.00758
-83.87474;66.50266
-83.85378;66.4245
-83.84922;66.59525
-83.82487;66.4535
-83.81979;66.512
-83.81315;67.19666
-83.79427;67.46508
-83.79206;67.29383
-83.78737;67.5745
-83.76888;67.39592
-83.76224;68.41008
-83.73177;66.1415
-83.72865;66.27242
-83.72175;67.19933
-83.71992;66.88175
-83.71224;66.90933
-83.70898;66.3505
-83.70768;66.82042
-83.69557;67.20458
-83.68424;66.9935
-83.68295;66.50725
-83.65664;66.64
-83.65208;67.3795
-83.64935;66.73708
-83.64648;66.65358
-83.63607;66.61408
-83.63425;66.50083
-83.62721;66.77216
-83.61419;66.76742
-83.59987;66.48542
-83.58698;67.01317
-83.58607;67.12975
-83.55013;67.56208
-83.54375;67.145
-83.54102;66.69158
-83.51862;67.31675
-83.50846;66.626
-83.50065;66.29242
-83.49974;67.25475
-83.49922;66.91783
-83.49909;66.48758
-83.49284;67.50108
-83.48268;67.06208
-83.47682;67.132
-83.47435;67.06167
-83.46094;66.68667
-83.45443;66.82992
-83.45222;67.15466
-83.44076;66.42917
-83.43516;67.04567
-83.41862;66.92233
-83.41029;66.586
-83.40299;67.18608
-83.39805;66.99059
-83.39193;66.87508
-83.38386;66.6945
-83.3806;67.00291
-83.37292;66.43708
-83.36836;66.94875
-83.36485;67.22708
-83.3586;67.20284
-83.34935;66.81634
-83.33997;67.6505
-83.32669;67.50308
-83.31992;66.36075
-83.31745;67.09433
-83.31237;67.52116
-83.31185;67.08334
-83.29557;66.976
-83.2888;66.60191
-83.28359;66.87383
-83.23972;66.92758
-83.21953;67.09217
-83.21237;67.23625
-83.19218;67.36642
-83.19063;67.64575
-83.18516;66.56633
-83.17149;67.00191
-83.16901;66.45258
-83.15456;66.46242
-83.14466;66.27467
-83.14466;66.36491
-83.13451;66.63908
-83.13386;67.074
-83.12904;67.0125
-83.10873;66.99883
-83.08633;67.22192
-83.08581;66.68958
-83.07604;66.58675
-83.07396;66.7815
-83.06849;66.48717
-83.05391;67.47283
-83.0526;67.26308
-83.04297;67.42542
-83.04063;66.53358
-83.03333;67.19534
-83.02904;66.74934
-83.02799;66.79359
-83.02266;67.445
-83.01979;66.97166
-83.01289;66.64191
-83.00586;66.94417
-82.99895;67.036
-82.98867;66.38309
-82.98386;66.3655
-82.97839;66.40125
-82.97747;66.97041
-82.97565;66.91483
-82.95847;67.29808
-82.95703;66.53008
-82.9487;67.23575
-82.94102;67.40517
-82.93984;67.11192
-82.93724;67.1115
-82.93034;66.72217
-82.92891;67.20375
-82.92786;67.32075
-82.92643;66.6515
-82.92188;67.30375
-82.92018;66.83992
-82.9164;67.00233
-82.90625;66.58792
-82.89896;67.12534
-82.88034;67.0175
-82.87161;66.44666
-82.86641;67.17758
-82.86042;67.476
-82.8401;67.07117
-82.83971;66.46108
-82.83607;67.323
-82.82956;67.17834
-82.82383;66.81834
-82.82201;66.46642
-82.81771;67.4
-82.81355;67.41108
-82.80183;66.34675
-82.78307;66.93767
-82.77031;67.46875
-82.76888;66.48558
-82.76146;67.149
-82.75326;66.62075
-82.74857;66.84808
-82.7233;67.30058
-82.71953;66.548
-82.70911;66.60433
-82.69909;66.39692
-82.68645;66.64642
-82.68555;67.30141
-82.67917;67.01808
-82.6763;66.43575
-82.67604;66.37183
-82.66615;66.51842
-82.66042;67.21992
-82.64232;66.93892
-82.64075;67.50484
-82.61107;66.95683
-82.60586;66.27783
-82.58672;67.09433
-82.57995;67.03525
-82.5681;67.17258
-82.56758;67.25575
-82.56237;66.44725
-82.56029;66.88717
-82.5582;67.0555
-82.55247;67.26133
-82.54883;66.91409
-82.54675;66.51483
-82.54583;67.54433
-82.54518;66.25367
-82.5405;66.57592
-82.53685;67.03067
-82.53164;66.32025
-82.51224;66.57042
-82.50807;66.96033
-82.49401;66.33717
-82.49271;66.52917
-82.48815;66.84875
-82.4819;67.60367
-82.47148;66.78425
-82.47057;67.37167
-82.47044;67.40083
-82.45834;67.46358
-82.45651;66.84975
-82.45456;66.32359
-82.4457;66.76833
-82.42943;66.70008
-82.42604;66.933
-82.40339;67.15908
-82.40208;66.26925
-82.39831;67.09016
-82.39505;67.11025
-82.37968;66.52392
-82.36992;66.66358
-82.36966;67.23759
-82.36315;66.74208
-82.36028;67.12458
-82.35873;67.30658
-82.34727;67.51925
-82.34661;67.07825
-82.3345;67.1495
-82.32903;66.18383
-82.32864;66.87458
-82.32656;67.05417
-82.32291;66.578
-82.31953;67.47283
-82.31263;66.30341
-82.29896;67.389
-82.29818;66.92275
-82.29818;66.42958
-82.28606;67.1155
-82.26732;67.19366
-82.26588;66.93608
-82.26276;67.26325
-82.2612;66.86092
-82.25716;67.32467
-82.25612;67.22192
-82.25221;66.787
-82.24844;67.41875
-82.24271;66.73341
-82.23294;66.8655
-82.22747;67.14834
-82.22734;66.82875
-82.22305;66.76742
-82.21953;66.71325
-82.21172;67.32034
-82.20495;66.4575
-82.19089;66.87225
-82.18437;67.22908
-82.18346;66.53633
-82.18295;67.25925
-82.17773;67.33175
-82.16328;66.5495
-82.15951;66.82625
-82.15547;67.24616
-82.1552;67.4525
-82.13451;66.88975
-82.12695;66.93667
-82.11836;67.55634
-82.11015;67.46883
-82.10768;66.76775
-82.10482;67.16433
-82.10261;67.07767
-82.09753;66.14208
-82.09557;67.06866
-82.08086;66.57208
-82.07265;66.45033
-82.06784;67.09267
-82.06718;67.28475
-82.06641;66.9415
-82.0655;67.1285
-82.06341;66.91358
-82.05782;67.4405
-82.04935;67.15567
-82.04505;66.58092
-82.04479;67.16817
-82.04284;67.06583
-82.03919;66.95558
-82.03789;67.20634
-82.03086;67.12575
-82.02239;67.237
-82.01458;66.66483
-82.00977;67.11775
-82.0082;67.18183
-82.00807;67.00608
-82.00078;67.02483
-82.00039;67.15025
-81.9957;66.50917
-81.99141;67.30766
-81.98698;66.95609
-81.98216;67.14925
-81.98086;66.87325
-81.97982;66.60067
-81.97839;66.85958
-81.97617;67
-81.975;66.81883
-81.97474;66.77167
-81.97057;67.27358
-81.96615;66.45333
-81.95625;66.48217
-81.94896;67.0915
-81.94649;66.8515
-81.94297;66.94925
-81.93958;67.45808
-81.93815;66.85358
-81.93424;67.51366
-81.93203;66.69791
-81.92891;66.69234
-81.92825;66.89616
-81.90716;66.67409
-81.89753;66.81008
-81.88867;66.49667
-81.88294;66.86725
-81.87955;67.893
-81.87813;67.15967
-81.87539;66.92975
-81.87344;66.26517
-81.86927;67.12566
-81.86549;66.63992
-81.86315;67.36992
-81.83907;66.86217
-81.83437;66.64384
-81.83112;67.22491
-81.82604;66.62992
-81.81589;67.52525
-81.80846;66.54508
-81.78802;66.95575
-81.78555;67.46783
-81.78372;67.02883
-81.78346;67.27325
-81.77539;67.1935
-81.77305;66.41133
-81.77253;66.93716
-81.7694;66.67409
-81.76653;67.13275
-81.76003;66.179
-81.75925;67.27025
-81.75729;67.18217
-81.7556;67.07484
-81.75481;67.23367
-81.75339;66.86775
-81.73476;66.62608
-81.72018;67.32508
-81.71888;66.69942
-81.71706;67.08375
-81.71549;67.00808
-81.70963;66.59892
-81.70534;67.23808
-81.70377;66.78333
-81.70013;67.17208
-81.6974;67.1365
-81.69193;66.81409
-81.68672;67.38975
-81.68659;66.38609
-81.68229;67.17983
-81.67786;67.0875
-81.67448;67.424
-81.67083;66.771
-81.66198;67.20567
-81.66172;66.73042
-81.6582;67.254
-81.65508;66.48458
-81.65495;67.13216
-81.65312;67.13392
-81.6461;66.49375
-81.64505;66.61192
-81.63776;66.94534
-81.63229;66.99917
-81.62904;66.98717
-81.61419;67.20783
-81.60586;66.78709
-81.59023;67.90575
-81.5901;66.53609
-81.58334;67.26283
-81.56589;66.45766
-81.55859;67.35841
-81.55325;66.56817
-81.5461;67.141
-81.54284;67.095
-81.5405;67.63058
-81.53958;67.38517
-81.5388;66.49267
-81.53698;67.56033
-81.5362;66.4365
-81.53593;66.1855
-81.53242;66.55067
-81.53008;66.79475
-81.52839;67.068
-81.51836;66.59875
-81.51289;66.58808
-81.51276;66.72916
-81.50508;67.06408
-81.50378;66.41658
-81.49922;66.99225
-81.48255;66.47483
-81.47813;67.05525
-81.47591;67.23425
-81.47513;67.42442
-81.46276;67.16792
-81.45364;66.445
-81.45;66.29525
-81.45;66.75808
-81.44935;67.07142
-81.44375;66.92567
-81.43633;66.88358
-81.41914;67.568
-81.41484;67.10042
-81.41354;67.25475
-81.40547;66.55317
-81.39375;66.50075
-81.39284;66.50967
-81.3905;66.26708
-81.38607;67.21408
-81.38464;66.39975
-81.38268;66.977
-81.37526;67.16508
-81.35456;66.60375
-81.34518;66.38925
-81.33594;66.96825
-81.3319;67.24533
-81.32422;67.04567
-81.32214;66.46675
-81.32083;67.2805
-81.31302;67.28725
-81.30885;67.26292
-81.30534;66.59367
-81.3026;66.731
-81.30209;66.5975
-81.2987;66.8225
-81.2961;66.602
-81.29531;67.30067
-81.29375;66.982
-81.29323;67.04166
-81.28841;67.16758
-81.28503;67.45092
-81.28477;67.05209
-81.26575;67.10667
-81.26315;66.94383
-81.25794;66.74558
-81.25664;67.73875
-81.25573;66.98425
-81.2556;67.52734
-81.24974;67.19667
-81.24753;66.73975
-81.24479;66.88225
-81.24219;67.03133
-81.24088;67.0475
-81.23347;66.45725
-81.23164;66.62867
-81.23125;67.26642
-81.21745;66.90617
-81.21445;67.01884
-81.20976;67.05217
-81.20482;67.48083
-81.2043;67.21525
-81.20013;66.47491
-81.19883;66.95483
-81.18659;67.1435
-81.17799;67.801
-81.17318;66.6115
-81.17044;66.54716
-81.1681;67.08425
-81.15664;66.82283
-81.15091;67.41209
-81.14948;67.14291
-81.14544;67.18034
-81.14375;67.14117
-81.13958;67.30891
-81.13412;67.03933
-81.13112;67.19975
-81.1306;67.15583
-81.12852;66.79984
-81.12305;66.15542
-81.12032;66.274
-81.11758;67.0425
-81.11406;67.09233
-81.10873;66.941
-81.0983;67.43467
-81.09219;67.45233
-81.08932;66.66258
-81.08607;67.29366
-81.07787;67.57716
-81.06797;67.11967
-81.06523;66.82467
