K5PC5CH.OP;K5P19_1.PV;K5PC6CH.OP
19.70344;-344.4837;32.71146
20.53276;-343.7996;32.79281
20.19594;-343.0923;32.79786
19.70906;-342.9367;32.70646
20.48844;-342.8752;32.69912
20.31911;-342.8542;32.74318
20.66453;-342.8342;32.74229
20.56214;-342.8058;32.6949
20.62719;-342.5587;32.78563
20.20115;-342.5381;32.81396
20.29271;-342.5217;32.72573
20.01599;-342.5131;32.72219
19.69083;-342.4133;32.71578
20.54552;-342.4035;32.63401
20.39536;-342.3627;32.75589
19.8738;-342.3242;32.73438
20.51318;-342.2915;32.7937
19.51974;-342.2542;32.69167
20.36599;-342.2352;32.77864
19.90505;-342.2198;32.74719
19.5962;-342.1856;32.71229
19.88406;-342.1762;32.75161
20.6175;-342.1711;32.7774
20.62234;-342.15;32.70333
20.43203;-342.0733;32.87026
20.19542;-341.9842;32.76963
20.17521;-341.9765;32.73828
20.52443;-341.9658;32.86719
20.47391;-341.9252;32.76266
20.48406;-341.8558;32.69745
19.86672;-341.8304;32.70911
19.8026;-341.8264;32.71818
19.72062;-341.8156;32.71651
20.24417;-341.7927;32.75198
19.68958;-341.7817;32.73443
19.76625;-341.7742;32.70229
19.87349;-341.7596;32.7076
20.30016;-341.7498;32.76557
20.53193;-341.7402;32.71188
20.15302;-341.7392;32.76219
20.43099;-341.7267;32.74656
19.94662;-341.7188;32.74182
19.41339;-341.6896;32.68099
20.36276;-341.6835;32.77531
20.1724;-341.6731;32.74068
20.44161;-341.6338;32.86703
20.00151;-341.6121;32.75318
20.66063;-341.6087;32.78042
20.55693;-341.5837;32.76286
19.80239;-341.559;32.73505
17.98828;-341.5335;32.18245
19.7363;-341.5331;32.71693
19.89573;-341.5267;32.71302
19.73245;-341.5069;32.72479
19.80511;-341.4985;32.72557
20.59156;-341.4977;32.87833
20.46854;-341.4875;32.74229
19.9113;-341.4598;32.74302
19.83297;-341.4435;32.71703
20.50177;-341.4092;32.62016
20.2301;-341.3971;32.70922
20.14182;-341.3948;32.84521
20.17573;-341.3777;32.83333
20.2375;-341.3675;32.73224
17.63719;-341.3648;32.26719
20.33583;-341.3642;32.79234
20.47854;-341.3506;32.72958
20.1263;-341.3373;32.73474
19.75057;-341.3192;32.71552
19.76062;-341.3131;32.70078
19.74036;-341.2963;32.72505
20.35755;-341.2902;32.8049
20.40156;-341.2535;32.79568
18.04156;-341.2435;32.19682
19.695;-341.2283;32.68573
20.61469;-341.2233;32.57427
20.30437;-341.219;32.75271
20.59917;-341.219;32.77198
20.32453;-341.2173;32.75255
20.27354;-341.2162;32.74896
20.71307;-341.2152;32.75557
19.66068;-341.1983;32.71443
19.67896;-341.1944;32.61932
20.80552;-341.1762;32.79411
20.83339;-341.1627;32.74162
20.41036;-341.1573;32.64203
17.96432;-341.1481;32.35042
20.26349;-341.1412;32.75203
20.65656;-341.1388;32.83141
20.56833;-341.1206;32.80724
19.99521;-341.1073;32.7438
20.57177;-341.1069;32.71625
19.84474;-341.0775;32.72635
20.35156;-341.0671;32.76276
19.83047;-341.0483;32.73068
20.15557;-341.0404;32.87234
20.34349;-341.0285;32.59396
20.71286;-341.026;32.76135
19.79719;-341.0212;32.70594
20.21344;-341.0183;32.74198
20.29448;-341.0173;32.75943
18.09135;-341.0139;32.35588
20.31745;-341.0106;32.75661
20.53406;-340.9856;32.78963
19.83797;-340.9656;32.71323
20.36833;-340.9631;32.73958
20.64219;-340.9502;32.76083
20.48385;-340.9413;32.72865
20.19411;-340.9317;32.7274
19.73422;-340.9279;32.72635
20.21542;-340.9271;32.71016
20.72328;-340.9123;32.80448
20.73224;-340.9123;32.77573
20.45927;-340.8998;32.81839
20.28625;-340.8996;32.75427
19.6674;-340.896;32.70615
20.28521;-340.8954;32.78141
20.33375;-340.8933;32.74839
20.02927;-340.8885;32.83745
20.09073;-340.8842;32.75646
20.54328;-340.8796;32.55917
19.8563;-340.8592;32.64656
20.40057;-340.856;32.75245
20.50005;-340.8554;32.73995
19.94922;-340.8481;32.72521
19.81557;-340.8429;32.71323
20.83729;-340.8423;32.82396
19.89172;-340.8406;32.73073
20.12963;-340.8373;32.76396
19.35698;-340.8321;32.61615
19.82323;-340.8319;32.73401
18.29688;-340.8198;32.19708
19.60224;-340.8156;32.69068
20.49724;-340.8102;32.65474
19.51922;-340.8077;32.68151
19.90786;-340.7573;32.71203
20.42156;-340.7554;32.80406
19.59583;-340.7538;32.68391
20.51745;-340.7411;32.68005
20.24484;-340.739;32.75266
20.36312;-340.7331;32.7013
20.28651;-340.7194;32.74172
19.89948;-340.7137;32.85667
19.84802;-340.7102;32.72708
20.54854;-340.7083;32.74422
20.2899;-340.6888;32.74724
20.00406;-340.6858;32.74323
19.85266;-340.6829;32.73979
20.4351;-340.6817;32.74844
20.36932;-340.6737;32.7711
20.47214;-340.6714;32.79031
21.27531;-340.6669;33.97422
20.07818;-340.6383;32.73146
19.96672;-340.6338;32.74688
20.35807;-340.6173;32.5337
18.20062;-340.6137;32.77489
20.0837;-340.6131;32.80386
20.55328;-340.6106;32.71375
19.56698;-340.6094;32.66229
19.92417;-340.6064;32.7225
19.88818;-340.591;32.74042
19.51552;-340.585;32.66849
20.33531;-340.5706;32.72318
18.7012;-340.5688;32.67089
21.33438;-340.5654;33.99422
20.62318;-340.5531;32.81115
20.56203;-340.5469;32.83906
20.31266;-340.5425;32.7262
19.92036;-340.5417;32.69328
20.69885;-340.5385;32.81573
20.19578;-340.5244;32.68401
20.34188;-340.5215;32.82188
20.42766;-340.5158;32.74364
20.4888;-340.5142;32.77036
20.21781;-340.5102;32.71537
19.77495;-340.5083;32.71302
20.1051;-340.495;32.72739
20.49177;-340.494;32.83448
20.2587;-340.4902;32.7263
20.6726;-340.4735;32.80604
20.23318;-340.4729;32.73021
20.34953;-340.4615;32.77875
20.19427;-340.4612;32.72542
20.14833;-340.4612;32.7488
20.43469;-340.4542;32.80635
20.23703;-340.4498;32.76162
20.32063;-340.4404;32.80552
20.55229;-340.4381;32.55641
19.83568;-340.4365;32.71703
19.85573;-340.4325;32.70958
20.28078;-340.429;32.77906
20.4337;-340.4227;32.80062
19.54401;-340.4206;32.69714
19.74844;-340.4179;33.52031
20.61547;-340.4075;32.71849
19.74271;-340.406;32.70177
20.01391;-340.3829;32.89214
20.29344;-340.3783;32.80573
20.79245;-340.3769;32.6463
20.31688;-340.3746;32.7687
20.56088;-340.3681;32.63917
20.03932;-340.3661;32.74276
19.6499;-340.3652;32.71938
20.46839;-340.3625;32.77016
19.55187;-340.3596;32.71302
20.36213;-340.3513;32.72641
19.91156;-340.3438;32.70719
19.68448;-340.3356;32.73656
20.49094;-340.3296;32.76943
19.7212;-340.3244;32.71
19.56495;-340.32;32.66401
19.78318;-340.3056;32.73349
20.68396;-340.3;32.72109
20.54948;-340.2967;32.67047
19.90016;-340.2967;32.72151
20.57573;-340.2923;32.81807
20.49255;-340.2879;32.88182
20.7362;-340.2833;32.76156
19.71734;-340.2819;32.74313
19.84943;-340.2817;32.73516
20.6025;-340.2735;32.68547
20.42917;-340.2686;32.73578
20.39583;-340.2683;32.84536
19.83417;-340.2631;32.71599
20.33276;-340.2563;32.74297
19.71083;-340.2544;32.68745
19.34979;-340.2481;32.62625
20.18937;-340.2394;32.755
19.65937;-340.2377;32.70422
20.39359;-340.2267;32.72552
20.47823;-340.2208;32.7799
19.64115;-340.2142;32.71396
20.13661;-340.2079;32.74578
20.47234;-340.1983;32.84609
19.50427;-340.1977;32.64995
20.59677;-340.1869;32.65635
