K5PC5CH.OP;K5P20.PV
50.47416;-724.3501
52.43256;-724.7084
53.25539;-725.3846
52.99632;-725.3129
53.06498;-725.4376
47.11663;-745.1625
47.80204;-742.8526
48.37173;-750.1495
46.26105;-751.856
47.17307;-754.9962
45.20169;-764.1017
42.90452;-759.7844
43.48853;-771.0084
43.66445;-770.8814
45.07667;-766.2159
42.59916;-776.421
40.27494;-781.3564
39.97833;-787.2715
38.15836;-783.7244
37.31076;-785.4112
38.96835;-784.413
40.32197;-781.8191
40.4725;-781.9124
36.1285;-790.2327
38.8069;-791.9146
40.97502;-784.9843
36.85258;-787.5515
39.56374;-791.0542
39.40107;-791.1064
39.46613;-786.2726
39.57156;-793.663
38.589;-795.3931
37.0233;-793.8561
37.67001;-795.0353
38.35403;-794.6814
38.70781;-794.3612
37.7322;-797.0468
39.18129;-793.3522
35.88268;-798.8347
37.00447;-798.0953
37.84644;-793.4133
37.92285;-794.7546
39.03453;-792.5073
36.22343;-799.5569
36.88359;-798.7379
36.82307;-798.8889
35.27369;-795.2327
38.71823;-793.429
36.42595;-799.8397
35.75674;-799.6718
37.21236;-800.4226
37.08659;-800.3635
37.33043;-800.5898
35.38226;-801.4638
38.22289;-800.3823
36.84088;-801.3467
37.66147;-800.777
34.63472;-803.3775
34.75961;-803.7803
34.5291;-803.8911
36.57661;-803.3353
34.59324;-806.4493
34.82315;-804.0622
34.3339;-806.904
35.59554;-804.7969
35.06376;-808.3105
35.6139;-805.5347
36.2478;-803.2705
35.85681;-806.3354
33.09315;-810.1451
35.36905;-806.9418
36.05956;-806.4006
34.68679;-809.0443
33.96859;-812.215
32.91343;-811.0739
34.19679;-806.233
32.92389;-810.5282
31.50435;-815.0524
35.48668;-805.004
33.25313;-813.6609
34.57165;-810.091
33.93195;-811.4841
33.38612;-813.717
33.80516;-811.6475
33.66739;-811.4972
33.82248;-813.8314
33.68279;-813.7296
31.99164;-816.5999
32.11076;-814.0372
33.39332;-812.5995
33.93472;-813.9371
33.40635;-811.5377
32.90705;-815.4399
32.72235;-813.5749
30.27296;-819.9294
30.24927;-819.8497
32.17711;-818.4977
30.81606;-819.4164
29.27619;-821.4968
31.39035;-818.542
30.65722;-819.8909
29.16151;-824.0093
30.97768;-820.2807
30.02334;-823.709
31.42975;-822.0022
31.833;-818.3569
31.36054;-820.7094
30.14186;-822.8824
30.21828;-822.6872
27.71554;-826.5356
27.98144;-825.9528
28.83277;-827.4182
28.43256;-831.0353
28.10583;-833.1533
27.58563;-827.6955
28.87433;-831.5939
27.52429;-831.3499
27.01685;-834.913
25.94376;-837.1682
27.29122;-833.2618
25.92811;-837.1661
27.50843;-833.5392
25.98711;-837.5983
25.49537;-839.6367
25.27147;-839.795
25.54959;-838.7809
24.47862;-840.9062
25.25122;-839.2973
23.56916;-844.0361
