K5P21.PV;K5P18_2.PV
-508.8642;-84.34444
-508.6351;-83.30565
-501.2698;-81.47894
-499.6873;-80.85193
-498.994;-80.22286
-463.5777;-80.55037
-458.2403;-80.37226
-450.3575;-78.98567
-443.9597;-79.72553
-438.9225;-78.12349
-431.8986;-79.34499
-422.7233;-78.30891
-411.0916;-76.58239
-407.245;-78.08809
-400.5621;-76.52159
-388.2331;-76.41297
-383.8112;-77.27142
-378.2816;-76.81013
-377.8713;-76.79883
-377.6329;-77.1293
-371.5855;-75.18676
-370.5291;-77.77152
-370.436;-75.9643
-370.4288;-76.63219
-368.3114;-77.53815
-367.6122;-76.36332
-363.6852;-77.94826
-362.2301;-76.1401
-357.5297;-75.56906
-356.2675;-76.4767
-356.1889;-74.62217
-355.9825;-75.83286
-355.2051;-75.0775
-353.7961;-74.85224
-353.2869;-74.22852
-352.6267;-76.68463
-352.1621;-74.1525
-351.9273;-75.45286
-351.8427;-75.0275
-351.7915;-74.47274
-348.9811;-75.58875
-347.1392;-74.30624
-346.8024;-75.77714
-346.6027;-76.86179
-345.8355;-76.24722
-342.8931;-74.5808
-342.095;-75.42659
-340.0193;-74.99301
-338.3582;-74.83872
-337.8137;-74.47628
-337.6966;-73.24966
-337.2969;-74.07897
-336.9686;-73.88166
-336.3849;-74.09614
-336.2019;-73.53951
-336.0828;-75.72886
-335.7108;-75.25227
-335.2729;-75.29722
-334.9645;-75.52831
-334.7137;-73.96917
-333.6649;-74.16393
-331.7246;-74.24584
-331.4874;-74.95342
-330.3683;-74.55604
-329.5329;-75.12174
-328.9632;-73.81671
-327.8894;-74.94744
-327.5997;-72.99368
-325.6824;-74.34471
-325.437;-73.12413
-325.1661;-72.32877
-324.4236;-73.38425
-322.724;-73.43513
-320.3119;-75.06075
-319.3498;-74.25208
-318.0602;-74.42295
-317.1504;-72.09038
-314.6248;-72.65162
-314.1233;-73.8697
-314.0107;-73.1991
-312.9428;-73.18094
-312.3132;-72.59409
-311.1701;-72.6721
-311.1696;-73.38847
-310.5583;-73.90153
-310.0117;-74.04956
-307.0591;-72.7794
-306.5566;-72.98355
-306.5065;-72.82137
-306.3342;-72.40848
-306.298;-73.05116
-306.2505;-72.98264
-305.1492;-72.4995
-302.634;-72.32182
-302.5283;-73.61724
-299.7555;-73.37676
-299.2262;-73.26161
-298.5134;-72.93554
-298.4653;-72.09827
-298.16;-72.82295
-296.5641;-71.86654
-296.1521;-72.68743
-295.4832;-72.47472
-292.2982;-71.71126
-291.4142;-71.27522
-290.4602;-71.93657
-290.4332;-71.9408
-287.9799;-71.22888
-285.489;-71.24501
-283.2811;-71.79682
-281.7275;-71.09235
-279.7112;-71.23182
-276.5729;-69.68613
-274.5247;-70.82851
-274.5025;-70.41599
-273.0533;-70.40133
-271.1431;-70.92929
-271.0287;-70.89413
-268.3118;-70.14937
-261.9948;-69.73205
-261.3938;-69.25784
-257.7885;-69.23579
-256.9892;-68.50861
-255.5243;-68.88068
-253.6989;-68.78606
-253.6189;-68.80238
-252.7853;-68.05803
-252.7211;-68.44057
-246.0119;-67.85905
