K5P6.PV;K5PCV6I.PV;K5PC6CH.OP;K5P23.PV
1.653008;95.0153;62.29572;1.298635
1.680137;95.56659;63.50603;1.315201
1.681726;95.65205;64.08926;1.28583
1.680142;95.75198;63.97196;1.294286
1.680123;95.80904;64.30648;1.288446
1.478407;95.0667;58.85749;1.141577
1.500175;95.16622;59.39884;1.161212
1.450187;95.83095;59.27212;1.11054
1.418568;95.29553;57.69344;1.099144
1.404643;95.50468;58.16887;1.071853
1.326226;95.5734;56.43749;1.0207
1.346088;95.59053;54.88246;1.060635
1.254193;95.57275;54.65651;0.9667628
1.249673;95.76263;54.66002;0.9501896
1.307856;95.39085;56.00072;0.9944122
1.19807;95.65887;53.53995;0.9097413
1.155531;95.70911;52.11905;0.8917446
1.100152;95.72925;51.12699;0.847315
1.130473;95.55491;50.42628;0.88468
1.091813;95.16669;49.57811;0.8557959
1.128559;95.03735;51.34295;0.863307
1.150136;95.2175;52.00129;0.8873043
1.150148;95.26577;52.02194;0.8875773
1.05725;94.77954;49.13676;0.8248007
1.06843;95.5981;50.2333;0.825215
1.13007;95.22894;51.65934;0.85823
1.077578;94.87939;49.51871;0.8474337
1.069008;95.72417;50.60464;0.8067513
1.074108;95.62216;50.60442;0.8213568
1.109164;95.3046;51.08957;0.8531556
1.059581;95.54082;50.89086;0.7982657
1.035822;95.31504;50.01831;0.7813873
1.041015;95.67174;49.20881;0.8034658
1.039824;95.37441;49.37671;0.80587
1.036205;95.51985;49.64267;0.7923133
1.050136;95.5669;49.96714;0.7969338
1.019804;95.23051;49.34542;0.7715686
1.053364;95.70818;50.29133;0.7938148
1.000132;94.94534;48.56837;0.7834011
1.011472;95.633;48.5083;0.7769912
1.04826;95.25182;49.64475;0.804603
1.048349;95.08751;49.84254;0.7998515
1.060352;95.25393;49.75091;0.8052376
1.000128;95.2552;48.34172;0.7782946
1.00562;95.3251;48.53782;0.7690055
0.9966604;95.16729;48.23235;0.7571301
1.019807;94.94498;48.13171;0.7922001
1.062823;95.52275;50.16341;0.8099816
0.9968545;94.95628;47.99287;0.7632785
0.9952369;95.23244;47.80347;0.7593341
1.000138;95.61641;48.86652;0.7597278
1.000119;95.46078;48.83411;0.7593666
1.000151;95.49868;48.86574;0.7614523
0.9760652;95.06731;47.55611;0.7514307
1.011684;95.75416;49.72723;0.7595685
0.9933436;95.37554;48.67772;0.7523739
1.000126;95.49743;48.80198;0.7497378
0.9599777;94.89345;47.16803;0.747268
0.9599584;94.80202;47.24014;0.7438647
0.9590192;95.11803;46.98098;0.7459626
0.9751335;95.43513;48.14526;0.7428812
0.9370682;95.78455;46.71793;0.7229144
0.9501268;94.96503;46.81103;0.7317526
0.9398876;95.34601;46.51976;0.7282701
0.9599705;95.05975;47.56156;0.7325681
0.9255994;95.37217;46.76186;0.7069696
0.9501014;95.73611;47.33128;0.72651
0.961855;95.30343;47.4427;0.7262362
0.9501139;95.80535;47.63398;0.7189739
0.9039769;94.87467;46.03994;0.7063009
0.9456407;95.08073;46.89466;0.7165422
0.9501182;95.82516;47.76978;0.7131894
0.9251372;95.68483;46.50087;0.7024981
0.8980568;95.19625;45.98883;0.6835613
0.8975984;95.58728;45.49808;0.6963038
0.9378932;94.81712;46.53955;0.7221904
0.898572;95.02126;45.16146;0.6853449
0.8625768;95.37141;44.46053;0.6718405
0.9500905;95.12183;47.29741;0.717585
0.8898649;95.26511;45.77393;0.6783773
0.9145147;95.5994;46.29154;0.6878854
0.9001337;95.26556;45.78149;0.6821985
0.8898752;95.3206;45.85017;0.6769554
0.9001001;95.70071;45.86667;0.6801465
0.900129;95.62302;45.70878;0.6792167
0.8898735;95.37202;46.07376;0.6760803
0.8898709;95.40088;45.99469;0.6752848
0.8512664;94.96208;44.13393;0.6516719
0.871911;94.93235;44.92787;0.6764353
0.8817543;95.639;45.67082;0.6762037
0.8918725;95.43544;46.16918;0.6759943
0.8968694;95.01558;45.72509;0.6796317
0.8781226;95.38406;45.42057;0.6667501
0.8800293;95.03896;45.09465;0.6671581
0.8208157;95.35073;43.43182;0.6393856
0.8157939;94.91656;43.61284;0.6387002
0.8502773;95.13705;44.6694;0.6460157
0.8201611;95.19924;43.70599;0.6389875
0.8096289;95.1829;42.95026;0.6292046
0.8327436;95.39429;44.23922;0.6451115
0.8201925;95.38054;43.57859;0.6354004
0.7945205;95.34618;42.64561;0.6122535
0.820174;95.23555;43.60768;0.630074
0.8000886;95.27136;42.98117;0.6114886
0.8235604;95.31507;43.73206;0.6276761
0.850102;95.35741;44.49977;0.6449496
0.8201815;95.35973;43.4689;0.6229768
0.7976971;95.0918;42.86312;0.6127844
0.8126912;95.1294;43.29536;0.6180282
0.7593457;94.88129;41.11135;0.5927445
0.7649527;94.81519;41.43258;0.5898131
0.7672201;95.08117;41.9767;0.5778708
0.7266733;95.68557;41.4816;0.5544971
0.7256673;95.00652;41.04123;0.5523363
0.7503162;95.17951;40.93564;0.5826623
0.7466462;95.11748;41.67248;0.5697276
0.7300202;95.34074;41.35579;0.5638521
0.7000615;94.97018;40.18011;0.5316395
0.6807822;95.59487;39.49147;0.5199781
0.7132345;95.21268;40.98089;0.5514243
0.6875592;94.97952;39.68755;0.5195217
0.7146439;95.31052;41.04145;0.5514602
0.6772647;94.98383;39.43722;0.5123249
0.6701632;94.87875;39.15641;0.5074882
0.6701749;94.87848;39.18575;0.5079024
0.6724252;95.09186;39.24564;0.5052614
0.6461663;95.52306;38.45308;0.4930835
0.6617582;95.13222;39.51466;0.508799
0.6201627;95.53967;37.74855;0.47379
