K0P125.PV;K5PCV4I.PV;K5P4_1.PV
66.76884;47.51156;24.16245
66.68517;47.51182;24.15135
66.66483;47.51537;24.1137
66.68667;47.51005;24.10599
66.59383;47.50969;24.10219
66.5285;47.51609;24.05865
66.6725;47.32703;24.04375
66.58842;47.51078;24.0613
66.59875;47.51776;24.05844
66.49059;47.51239;24.0488
66.50967;47.51552;24.06557
66.46108;47.51812;24.04193
66.47508;47.51875;24.05089
66.52792;47.51526;24.03083
66.49883;47.51401;24.04255
66.50308;47.51146;24.02677
66.44625;47.50859;24.0113
66.39458;47.50974;23.9851
66.50083;47.51531;24.01724
66.36983;47.50901;23.99479
66.36075;47.51068;23.98661
66.34675;47.51245;24.01151
66.30458;47.50985;23.99073
66.35641;47.51677;23.99943
66.41142;47.51365;23.9837
66.35117;47.5149;23.97682
66.27242;47.50646;23.93271
66.26517;47.51339;23.93604
66.33717;47.51089;23.95286
66.29242;47.51219;23.92979
66.26925;47.51354;23.92797
66.22842;47.50849;23.92411
66.27467;47.51151;23.92917
66.65475;46.99906;23.85599
66.14208;47.51182;23.89323
66.61916;46.99979;23.8399
66.15542;47.50974;23.87833
66.59725;47.00636;23.82146
66.47258;47.00094;23.80474
66.48542;47.0001;23.77266
66.43808;47.00349;23.76536
66.36933;47.00505;23.74438
66.34766;46.8225;23.59802
66.179;46.87234;23.5887
66.29225;46.82146;23.58151
66.25367;46.8237;23.56302
67.50108;45.50531;23.30526
66.1855;46.82302;23.54516
67.40083;45.46146;23.27005
67.44733;45.45818;23.2651
67.29916;45.51203;23.26406
67.47283;45.35182;23.20646
67.22417;45.51005;23.22552
67.17325;45.49005;23.21292
67.21408;45.46521;23.20182
66.745;46.04349;23.37734
67.249;45.46625;23.19839
67.20634;45.50521;23.20359
67.44633;45.30412;23.19495
67.49275;45.24896;23.17344
67.25475;45.44734;23.18458
67.424;45.27063;23.14437
67.08942;45.47667;23.15193
67.42617;45.26062;23.14938
67.09016;45.49541;23.17432
67.298;45.25516;23.1025
67.37375;45.1313;23.12672
67.25217;45.26552;23.08891
67.25058;45.25599;23.09661
67.20092;45.26078;23.08672
67.42717;45.16766;23.07948
67.23341;45.25953;23.0751
67.00242;45.44922;23.08745
67.08234;45.32734;23.04938
67.15217;45.2476;23.04651
67.53217;45.11599;23.05078
67.57317;45.06401;23.04453
67.11642;45.25599;23.0224
67.50308;44.93927;23.00703
67.50484;45.06323;23.04089
67.35467;45.26266;23.17766
67.48742;45.05896;23.04068
66.85983;45.45073;23.03286
67.04925;45.25849;23.00292
67.46508;45.0689;23.00583
67.44875;44.94354;22.98453
67.46875;44.93177;22.98063
67.34834;45.07339;22.98339
67.44483;45.05583;22.99068
67.42783;44.92604;22.98094
67.48083;44.93609;22.97214
67.40033;44.93667;22.98901
67.421;45.07229;22.98005
67.46783;45.06141;22.98115
67.47867;44.94609;22.96984
67.4425;44.93943;22.95687
67.381;45.05193;22.96151
67.41433;44.93245;22.95844
67.35133;44.93146;22.94443
67.36467;45.04515;22.93917
67.30875;44.94833;22.94057
67.26133;45.05521;22.94828
67.30375;45.05245;22.94281
67.26325;44.95505;22.93375
66.81741;45.35125;22.95599
67.34067;45.05823;22.94776
67.22708;45.10948;22.93031
67.328;45.06089;22.92906
67.31258;44.92453;22.93349
67.29808;45.06552;22.9263
67.29559;45.06693;22.93635
67.1585;45.11495;22.91177
67.32442;44.93245;22.90698
67.28892;45.05661;22.91917
67.2695;44.94651;22.9176
67.21383;45.05989;22.91109
67.22958;44.94115;22.89245
67.21992;44.94453;22.90057
67.213;45.05984;22.9113
68.104;44.5913;23.04714
67.16917;44.93453;22.88714
67.20309;44.94625;22.8913
67.21259;44.93276;22.86875
67.55117;44.62182;22.86604
67.16583;45.06318;22.89338
67.21992;44.94286;22.87604
67.037;45.12011;22.86958
67.19542;45.06635;22.87979
67.141;45.06521;22.85781
67.1115;45.05656;22.86297
67.1155;45.06573;22.86646
67.12366;45.06021;22.85386
67.09267;44.94516;22.84255
67.08958;45.05745;22.84229
67.11417;44.93365;22.82906
67.07809;45.06125;22.84604
67.0765;44.92568;22.8237
67.42542;44.63224;22.8113
67.31758;44.61276;22.81432
66.90475;45.05614;22.78724
67.26683;44.63302;22.77583
67.41975;44.56859;22.72255
67.16067;44.63599;22.7038
66.56633;45.53859;22.91635
67.90575;43.90849;22.58922
67.80675;43.91261;22.52578
67.801;43.91943;22.54094
68.31075;43.89443;22.70328
67.78675;43.8886;22.5274
67.70959;43.91682;22.50719
67.63775;43.91787;22.47422
66.98309;44.44344;22.48948
66.96917;44.39391;22.45984
68.12067;43.55031;22.44193
66.66392;44.98427;22.65099
66.82784;44.44135;22.42036
66.45592;44.9025;22.5112
68.50992;43.35464;22.43422
67.96875;43.35563;22.23573
68.64233;42.68615;22.12807
66.45725;44.47276;22.24474
68.41008;42.6038;21.99115
66.62241;44.63578;22.47167
67.476;43.35656;22.04016
67.00025;43.50161;21.8787
67.42275;43.35938;22.01734
67.42767;43.35932;22.03526
67.36642;43.35599;22.02089
67.00259;44.12891;22.23781
66.99917;44.11698;22.24162
67.37292;43.36438;22.00625
66.94341;44.13224;22.22333
67.28108;43.3624;21.97417
67.22958;43.36359;21.94938
68.4875;42.33198;21.86807
66.92233;44.30333;22.33719
67.19859;43.20161;21.81823
66.7975;44.31552;22.34162
67.15175;43.36526;21.91734
67.07841;43.35896;21.91156
66.976;43.97464;22.13641
67.0345;43.93526;22.12484
66.45509;45.10938;22.43953
67.096;43.90979;22.14125
66.82333;43.99146;22.11995
67.0915;43.98635;22.2588
67.06167;43.885;22.1476
67.14017;43.89354;22.1713
67.04166;43.90213;22.10885
66.48392;44.93531;22.35458
67.09133;43.90047;22.15391
67.132;43.84677;22.1512
66.9525;44.07198;22.25698
66.94292;43.89672;22.07469
66.50275;44.72198;22.28521
66.92275;44.07047;22.24167
66.96317;43.89875;22.10495
66.51442;44.7401;22.28974
66.50442;44.77911;22.32151
66.8715;43.9049;22.0551
66.92975;43.89912;22.09599
66.88717;43.8875;22.07057
66.46225;44.74932;22.26823
66.53358;44.77094;22.30292
66.92142;43.89172;22.06365
67.11342;43.54964;22.00516
66.98717;43.95687;22.1763
66.41859;44.6939;22.23458
66.862;43.88547;22.05865
66.32191;44.74031;22.23713
66.74067;43.88698;21.98766
66.79025;43.89422;22.02323
66.7995;43.89339;22.05552
67.16742;43.45078;21.9613
67.00425;43.77625;22.06271
66.83933;43.76479;22.06672
67.1385;43.44984;21.96177
66.548;44.69625;22.22281
67.14684;43.44365;21.95417
66.97041;44.03656;22.14146
67.14425;43.72776;22.08302
66.75375;43.94771;22.10443
67.17934;43.71615;22.12651
66.79359;43.91214;22.11042
67.13025;43.72063;22.09521
67.06175;43.73838;22.10453
66.78;44.28432;22.16187
66.659;44.46391;22.21
66.51183;44.63729;22.23307
66.80275;43.41495;21.72651
66.81108;43.41047;21.7349
67.09225;43.44464;21.91833
67.07217;43.74307;22.10141
67.159;43.71854;22.10177
67.17208;43.48547;22.03693
67.09625;43.7362;22.09536
66.57658;44.77844;22.27761
67.0955;43.73615;22.0924
67.0755;43.44745;21.92302
67.01566;43.72557;22.07505
67.06;43.7238;22.08917
67.15975;43.48359;22.03219
66.974;43.44854;21.91292
67.0285;43.7213;22.06104
66.9575;43.72;22.05646
67.07975;43.72474;22.08781
66.5495;44.50323;22.18453
