K5PC5CH.OP;K5PC6CH.OP;K5F3.PV;K5P5_1.PV
55.23667;66.62437;3057.232;-47.07813
51.20797;62.5326;2933.963;-47.03672
54.09286;65.54526;3047.12;-47.03203
49.14302;60.71354;2861.507;-46.89766
55.51667;66.38338;3078.211;-46.33672
31.02516;42.52255;2067.849;-46.22266
52.57448;63.46901;3043.667;-46.18203
56.57375;67.76604;3090.063;-46.075
36.36974;47.76526;2281.53;-46.00234
48.83641;60.40255;2860.983;-45.87891
31.98385;44.19812;2087.749;-45.81328
44.37859;55.82203;2502.107;-45.69609
50.25651;61.57286;2957.42;-45.68203
48.59792;60.39854;2871.394;-45.63984
39.49036;51.63958;2433.953;-45.59922
48.99422;60.83698;2875.961;-45.57969
31.86646;44.08599;2090.16;-45.46875
31.79026;44.18469;2103.07;-45.37188
31.01917;43.21912;2117.63;-45.34766
28.87;41.35135;1972.478;-45.32891
48.85234;60.42776;2860.073;-45.30391
53.28224;64.05417;3095.574;-45.22031
31.95667;44.08062;2116.274;-45.17812
31.63141;43.66745;2134.915;-45.16797
31.54563;44.16854;2106.851;-45.15078
31.85031;44.2049;2082.875;-45.13594
36.29547;47.80099;2279.819;-45.08828
50.04031;61.68318;2924.479;-45.07969
50.90224;62.50203;2927.572;-45.07109
31.02073;43.18114;2104.877;-45.03516
32.08193;44.16109;2101.701;-44.97656
30.34063;42.42464;2045.014;-44.96875
25.9513;38.84151;1888.669;-44.95703
46.92912;58.85891;2783.421;-44.925
31.39479;44.11656;2102.52;-44.92109
57.56224;68.09594;3277.369;-44.84219
55.57031;66.39265;3072.122;-44.82969
42.3512;53.7599;2498.512;-44.81953
25.96354;38.74844;1962.16;-44.81328
41.10833;52.42974;2607.84;-44.80781
27.87109;39.90911;1939.891;-44.80781
30.56161;43.34953;2110.669;-44.78047
48.43198;59.8124;2743.38;-44.75547
47.40359;59.25974;2833.507;-44.74766
27.03177;39.62875;1956.971;-44.74766
54.41896;65.37427;3023.738;-44.73516
47.4499;58.94255;2753.7;-44.7125
29.37437;41.77901;2001.76;-44.70547
37.96906;49.21104;2350.879;-44.70156
29.59833;41.84057;2008.373;-44.70078
55.31766;66.27292;3055.772;-44.69765
54.1162;65.61568;3037.399;-44.69062
30.96417;42.48989;2071.017;-44.68281
50.28714;61.69698;2932.154;-44.67188
39.64719;51.5761;2425.726;-44.67109
51.07261;62.46031;2941.873;-44.61562
55.29802;66.37698;3081.683;-44.60156
50.29313;61.50781;2941.066;-44.49922
50.19563;61.76656;2924.677;-44.49453
53.48057;64.48021;2970.485;-44.48438
50.24391;61.66828;2920.962;-44.47813
25.54875;38.16037;1888.208;-44.45
29.59198;42.20599;2076.435;-44.43516
47.4851;59.30964;2837.738;-44.43047
31.68573;43.94;2121.853;-44.39766
26.14474;38.8924;1896.155;-44.39375
29.73172;42.19896;2078.213;-44.38984
20.18417;33.69854;1658.075;-44.36719
51.14614;62.46386;2942.92;-44.36485
51.57182;62.75672;2908.931;-44.36016
51.29208;62.4451;2932.376;-44.35938
51.92099;62.91286;2894.029;-44.35859
28.73859;41.27677;1966.071;-44.34297
24.66604;37.36515;1821.835;-44.34297
46.80156;58.80344;2774.928;-44.34063
47.51234;59.32594;2834.316;-44.32891
50.90813;62.49833;2930.701;-44.32656
51.40703;62.59422;2930.649;-44.32109
38.86786;49.80078;2448.53;-44.31953
48.54562;60.06292;2859.865;-44.31875
29.51776;41.8125;2003.524;-44.31562
52.47016;63.64734;2943.043;-44.30078
55.47458;66.38125;3087.701;-44.28984
55.42427;66.37943;3084.558;-44.28125
46.82151;57.8262;2764.043;-44.28047
51.28375;62.51922;2938.477;-44.27344
51.35995;62.66661;2926.139;-44.27344
31.85859;44.02417;2112.279;-44.25234
24.86568;37.36766;1827.164;-44.23985
51.03417;62.46031;2937.79;-44.20469
30.34677;42.40979;2048.029;-44.19844
31.80766;44.13594;2083.763;-44.19141
30.47344;43.30875;2096.627;-44.18906
25.27714;38.69635;1965.042;-44.18594
31.00896;42.4662;2081.181;-44.18359
36.76635;48.5912;2415.774;-44.175
55.51891;66.4087;3080.043;-44.16953
28.40302;41.28047;2009.509;-44.1664
47.47115;59.25297;2839.562;-44.15781
29.6763;42.20802;2068.023;-44.15313
48.82703;60.41265;2879.945;-44.14453
39.00052;49.93526;2458.864;-44.1375
36.53948;48.16615;2299.835;-44.11485
51.43771;62.72771;2914.846;-44.11094
51.39068;62.74203;2910.148;-44.10547
51.6374;62.7501;2926.748;-44.10078
52.7113;63.53917;3078.777;-44.09141
36.75281;48.49891;2308.979;-44.09141
39.40885;51.40886;2425.782;-44.08984
38.84276;49.895;2443.17;-44.0875
18.68266;32.69109;1663.147;-44.0836
48.80823;60.44635;2863.424;-44.08203
37.74156;49.19177;2348.69;-44.07265
29.13406;41.81458;1998.121;-44.07109
51.71432;62.96057;2923.4;-44.06797
48.45292;60.22083;2877.793;-44.06797
56.50875;67.69891;3104.449;-44.06719
28.71635;41.18875;1977.304;-44.04688
27.50438;39.52943;1978.107;-44.04531
57.00151;67.71901;3218.168;-44.04297
51.48563;62.68026;2926.726;-44.04297
50.14943;61.72719;2913.336;-44.0414
52.00667;62.9674;2901.539;-44.03672
49.93547;61.5112;2929.362;-44.03203
51.38974;62.68609;2923.068;-44.02031
51.55005;62.72792;2910.269;-44.01563
48.82255;60.71771;2855.669;-44.01094
44.87042;55.94167;2661.647;-44.01094
32.33453;44.89333;2101.148;-44.00781
32.03016;44.19386;2095.321;-44.00703
48.70713;60.42005;2867.667;-43.9875
50.06224;61.5574;2927.303;-43.98281
36.81886;48.44354;2310.459;-43.97734
49.01755;60.77719;2868.597;-43.96953
47.35641;59.2651;2823.756;-43.96641
31.82448;44.18927;2096.541;-43.96563
30.36401;42.42193;2054.873;-43.96484
17.99484;32.73401;1668.893;-43.95547
31.63859;44.13979;2103.514;-43.95469
32.11984;44.21333;2086.711;-43.95391
31.93479;44.20677;2099.362;-43.94531
38.08396;49.21714;2348.906;-43.94062
51.48849;62.62948;2923.339;-43.93828
30.89713;43.18521;2099.769;-43.93281
47.30927;59.30854;2829.66;-43.92578
23.17354;36.17469;1760.444;-43.91797
30.30313;43.21609;2108.748;-43.91016
30.15818;42.4551;2047.242;-43.91016
40.71599;52.25349;2485.941;-43.90703
55.3713;66.31734;3031.566;-43.90391
28.59396;41.25687;2001.047;-43.90313
37.06448;48.29099;2293.265;-43.89219
25.4838;38.18849;1879.505;-43.88828
49.55661;61.2925;2909.921;-43.88515
39.78563;51.73088;2437.866;-43.88359
25.40854;38.60891;1899.16;-43.88125
38.83823;49.81307;2450.266;-43.87656
31.5912;43.62052;2147.143;-43.87656
51.72604;62.84563;2934.313;-43.86485
27.97583;40.95636;1886.121;-43.86328
48.85;60.40641;2866.916;-43.86094
22.79229;36.14495;1734.449;-43.85859
28.39323;41.01662;1995.906;-43.85469
44.44838;55.85188;2542.264;-43.85156
31.73542;44.14052;2100.914;-43.85
50.18;61.68333;2925.64;-43.83984
51.18719;62.43219;2942.571;-43.83828
29.13557;41.8326;1997.137;-43.8375
29.05198;41.84375;1985.246;-43.83672
50.13354;61.73474;2928.74;-43.8336
33.36323;45.45839;2223.37;-43.8336
20.75047;32.74364;1607.867;-43.83125
55.59536;66.31953;3040.034;-43.82813
36.95422;48.52114;2307.901;-43.82813
25.83245;38.6799;1900.235;-43.82109
48.41656;60.21708;2883.421;-43.81953
26.20594;38.5875;1887.395;-43.81562
29.76661;42.25438;2083.22;-43.8125
30.18099;42.44792;2027.384;-43.80078
51.52974;62.7975;2919.919;-43.79609
53.495;64.49713;2943.007;-43.7914
18.68734;32.74177;1653.633;-43.78437
48.83656;60.38594;2854.167;-43.78359
51.76677;62.75349;2918.122;-43.78203
32.00901;44.43104;2162.911;-43.77813
47.31588;59.25156;2823.278;-43.77578
36.5275;48.13083;2312.506;-43.7711
31.16276;43.96833;2006.153;-43.76719
51.23135;62.40771;2935.541;-43.75781
47.32057;59.30719;2828.83;-43.75781
47.34526;58.9399;2751.279;-43.75547
31.41297;43.56974;2129.779;-43.75234
47.30495;59.35922;2833.127;-43.75
46.94922;58.88234;2761.789;-43.74141
35.37083;47.25943;2314.604;-43.74141
19.94662;32.74182;1657.109;-43.7375
46.20354;57.36568;2737.331;-43.73125
51.46938;62.76511;2916.188;-43.7289
31.27906;43.30109;2104.586;-43.72734
30.39354;42.39693;2047.28;-43.72656
48.26917;60.17339;2874.153;-43.72578
43.90896;54.86312;2617.22;-43.72422
51.945;62.87245;2886.822;-43.71875
20.35401;33.89714;1664.254;-43.7125
56.5338;67.80448;3089.305;-43.70937
29.16474;41.14229;1962.812;-43.70937
43.68703;54.68214;2637.124;-43.70781
52.78062;63.54187;3056.113;-43.70234
51.05302;62.45354;2931.756;-43.69609
51.35365;62.47068;2937.121;-43.69297
51.81219;62.91984;2905.478;-43.69219
30.32026;42.32448;2041.45;-43.69141
50.67349;62.33193;2813.088;-43.68828
30.64766;43.23849;2096.719;-43.68359
31.83438;44.02974;2117.271;-43.68125
18.64745;32.80005;1661.921;-43.67812
47.01823;58.37953;2677.857;-43.675
57.04187;67.71068;3211.027;-43.66719
55.3913;66.38333;3078.218;-43.66172
26.31365;39.03094;1830.302;-43.66094
31.77667;44.31703;2107.008;-43.65859
20.4388;32.78995;1640.68;-43.65781
31.67594;44.17865;2101.058;-43.65625
55.39198;66.30334;3038.348;-43.65547
25.7175;39.08776;1958.629;-43.65313
27.13703;39.62083;1951.016;-43.65078
51.75375;62.85458;2897.584;-43.63984
24.51354;38.54292;1964.491;-43.62969
31.11833;42.46755;2088.113;-43.62891
29.00651;41.29464;1985.386;-43.62656
43.81901;54.66021;2639.062;-43.61797
51.35682;62.54521;2935.104;-43.61562
44.78547;55.98859;2649.575;-43.61172
31.90693;44.24313;2097.895;-43.61172
50.90672;62.43745;2939.242;-43.61016
51.8475;62.94276;2908.267;-43.60703
31.20609;43.29958;2092.958;-43.60703
22.09396;35.85875;1790.363;-43.60547
47.91286;59.93307;2828.492;-43.60469
29.40943;42.04089;2034.432;-43.60313
29.35479;41.76552;2007.599;-43.60078
20.0801;32.75651;1668.514;-43.59844
55.36958;66.35687;3081.501;-43.59453
22.89641;36.15844;1764.292;-43.59453
47.4549;59.27245;2866.542;-43.59375
37.03406;48.52937;2307.02;-43.59141
25.76349;38.30953;1915.748;-43.59141
19.8738;32.73438;1653.864;-43.59063
55.49729;66.35213;3083.691;-43.58828
29.65313;41.8387;2008.564;-43.58437
46.93964;58.71125;2785.275;-43.58203
29.69052;42.2512;2075.23;-43.58125
39.48214;51.54662;2425.226;-43.57813
28.02698;39.92057;1934.097;-43.57813
55.45406;66.25015;3027.727;-43.57422
26.55239;38.93802;1857.419;-43.57344
48.3075;59.70698;2825.398;-43.56562
33.44401;45.49672;2253.243;-43.5625
48.37234;60.30818;2861.722;-43.56172
51.8474;62.97807;2893.276;-43.56094
36.94094;48.17057;2298.069;-43.55938
33.21594;45.45364;2221.616;-43.55859
47.21412;58.93938;2754.521;-43.55625
55.43698;66.23776;3050.557;-43.55235
56.95026;67.68557;3210.313;-43.54922
51.43318;62.63615;2925.638;-43.54766
29.64307;41.34146;2134.748;-43.54766
30.3237;42.26854;2058.537;-43.53594
33.39302;45.45464;2214.531;-43.53516
20.1226;32.77625;1626.792;-43.53516
32.86224;44.35875;2075.692;-43.53203
31.25292;43.38109;2109.828;-43.52969
47.39953;58.94537;2754.59;-43.51953
