K5PC5CH.OP;K5PC6CH.OP;K5F3.PV;K5P5_1.PV;K5P5_2.PV
57.78016;68.13906;3289.731;-41.47031;-41.10469
57.74542;68.12078;3287.468;-42.1875;-39.65391
57.60797;68.11443;3287.346;-40.92656;-39.16484
57.55307;68.07531;3285.413;-40.12344;-40.76484
57.42807;68.03229;3283.254;-39.0875;-39.10859
57.55724;68.1112;3282.482;-43.18047;-38.625
57.42198;68.08656;3282.096;-40.82578;-39.27031
57.29682;67.75349;3281.15;-40.03594;-39.69375
57.32094;67.77573;3280.899;-39.64453;-38.10938
57.50151;68.13375;3280.811;-37.15234;-40.17578
57.16651;67.73933;3280.327;-37.63281;-39.60859
57.57073;68.11333;3280.28;-39.69375;-39.58203
57.64448;68.12041;3280.024;-39.17891;-37.44375
57.72063;68.09797;3279.91;-40.72266;-42.06641
57.50667;68.08646;3279.369;-41.27969;-41.75234
57.29724;67.76781;3278.844;-41.53828;-39.25234
57.45208;68.12193;3278.719;-40.04297;-41.83203
57.43953;68.08427;3277.754;-40.29688;-41.08203
57.20469;67.7514;3277.587;-39.43359;-39.44531
57.56224;68.09594;3277.369;-44.84219;-39.19375
57.54391;68.10375;3276.491;-35.40313;-39.84141
57.49026;68.07677;3275.603;-39.64141;-39.24688
57.48375;68.12146;3275.215;-38.0211;-37.8875
57.0489;67.73375;3275.155;-38.22266;-41.92422
57.25698;67.75708;3274.782;-39.94141;-38.50547
57.11411;67.72104;3274.238;-38.46875;-36.1
57.46948;68.12109;3272.576;-40.74531;-41.5414
57.16885;67.75297;3271.916;-37.99609;-38.89453
57.19239;67.74734;3271.48;-41.54766;-38.42969
57.28802;67.7336;3271.175;-37.83984;-39.72187
57.2187;67.74604;3270.957;-42.68281;-42.09609
57.2813;67.74875;3270.609;-40.05312;-37.25156
57.20193;67.75974;3270.558;-39.92188;-40.24375
57.4949;68.13239;3267.133;-35.95469;-39.55
57.19188;67.73833;3266.552;-41.91563;-42.03437
56.89448;67.24792;3266.319;-42.98359;-41.68203
57.2338;67.74313;3266.018;-38.05469;-38.35234
57.51542;68.12859;3264.476;-40.68125;-41.61719
57.48505;68.14011;3262.997;-37.6664;-34.29688
57.55604;68.08646;3261.872;-39.73047;-39.78906
57.47073;68.11583;3260.366;-38.86719;-43.25938
57.51568;68.11614;3258.471;-37.10547;-40.45
57.00651;67.74099;3242.516;-40.7914;-41.00938
57.20542;67.70589;3242.482;-43.17109;-42.36094
56.87365;67.70099;3241.774;-40.36719;-40.36641
57.06016;67.73187;3241.362;-39.82656;-35.05938
57.23667;67.75026;3239.908;-38.05547;-38.18672
56.81166;67.41547;3239.676;-37.67656;-40.94688
57.22;67.71625;3238.012;-37.01172;-41.90234
57.13365;67.6837;3237.201;-40.61641;-39.88125
56.97521;67.73489;3234.407;-38.67266;-41.125
57.27266;67.72958;3233.133;-39.44844;-39.46094
57.0563;67.71172;3233.081;-40.73985;-42.03047
57.09229;67.70583;3231.55;-40.70937;-36.47031
57.10328;67.66776;3231.498;-40.69141;-40.60234
56.65698;67.25219;3231.47;-41.73985;-40.22422
57.21344;67.7011;3231.408;-40.98203;-41.6375
56.9789;67.72369;3231.383;-40.49297;-38.78281
56.92229;67.71291;3229.421;-42.51797;-37.26563
56.83844;67.8012;3229.249;-40.29297;-40.74531
57.25109;67.66396;3229.153;-38.30078;-40.41328
56.94969;67.7376;3228.313;-41.34297;-39.86485
57.04589;67.69245;3227.883;-39.65313;-38.70547
56.88323;67.7289;3227.605;-42.78203;-40.46563
57.11672;67.69568;3227.404;-39.01094;-41.21797
57.00427;67.70963;3225.636;-37.90859;-39.86719
57.06562;67.70104;3224.181;-37.63125;-41.51172
56.82615;67.80557;3223.061;-40.60156;-43.15391
56.80484;67.81469;3222.972;-41.28203;-37.77734
57.0088;67.74265;3222.499;-38.73281;-45.16328
56.86666;67.82708;3222.029;-36.01875;-36.98203
57.05437;67.72813;3221.829;-36.52031;-40.30391
57.1301;67.7149;3221.452;-41.15625;-38.06094
57.00828;67.69833;3220.778;-40.40313;-38.15703
57.07417;67.78484;3219.577;-35.9375;-42.28047
56.79641;67.8263;3218.666;-40.94531;-40.62578
57.18943;67.72588;3218.616;-39.77578;-39.52031
57.00151;67.71901;3218.168;-44.04297;-42.85
57.19026;67.65907;3216.899;-40.12969;-38.85781
57.00489;67.72865;3216.886;-39.57891;-37.67188
56.68417;67.2451;3216.77;-38.52813;-40.6461
57.01141;67.73479;3216.671;-41.73359;-37.10234
57.03125;67.70193;3216.468;-39.31484;-40.39531
57.0437;67.72943;3216.381;-38.24609;-38.5625
57.13432;67.76188;3216.294;-40.61953;-38.55703
57.23396;67.68495;3215.158;-39.99062;-43.18047
57.04713;67.69255;3214.784;-41.18203;-40.21719
57.22531;67.72599;3214.45;-38.77031;-41.58203
57.07573;67.74031;3214.295;-38.97344;-39.81094
57.0387;67.69771;3213.573;-40.53594;-40.52813
57.06083;67.63203;3213.357;-40.19062;-40.80469
57.06078;67.63776;3213.349;-39.26484;-39.74531
57.08807;67.73943;3213.3;-38.575;-37.70234
57.01906;67.77891;3213.207;-39.00391;-41.47734
57.13255;67.64896;3212.993;-38.94765;-39.48985
57.08839;67.69828;3212.827;-38.05781;-43.27031
57.11323;67.76791;3212.738;-41.95391;-38.21953
57.0238;67.70182;3211.902;-40.47344;-37.84375
56.98219;67.71422;3211.58;-43.29688;-40.91563
56.97338;67.77631;3211.118;-41.23438;-39.19609
57.04187;67.71068;3211.027;-43.66719;-38.32344
57.18469;67.71026;3211.014;-39.46094;-41.28437
57.06963;67.70464;3210.765;-38.88594;-37.93281
56.87255;67.70506;3210.749;-39.60938;-39.85703
57.12891;67.69901;3210.683;-37.98125;-39.47031
56.8062;67.79573;3210.674;-39.96094;-40.99922
56.87708;67.87213;3210.419;-43.15391;-39.49609
57.01776;67.74177;3210.417;-40.35703;-41.6875
56.95026;67.68557;3210.313;-43.54922;-40.05391
57.04448;67.80828;3209.405;-38.09531;-41.27266
57.02604;67.75256;3209.393;-42.56797;-40.02734
56.84609;67.84849;3209.005;-38.68828;-38.31094
57.08891;67.66552;3208.721;-37.11875;-38.22031
57.14526;67.80391;3208.693;-39.27891;-44.36328
57.07302;67.65614;3208.566;-38.95313;-40.81641
57.08287;67.75708;3208.142;-38.3375;-38.69609
56.90792;67.69334;3208.067;-38.47266;-38.74453
57.11693;67.67213;3207.594;-41.11172;-43.36875
57.04662;67.78198;3207.057;-41.45703;-38.39141
56.71667;67.25203;3206.922;-38.71641;-41.70234
57.03349;67.67078;3206.601;-42.71563;-40.10078
57.0388;67.70338;3206.247;-39.52891;-41.12891
57.13844;67.70036;3206.241;-42.17266;-39.76953
56.95318;67.71401;3206.195;-39.20937;-40.57734
56.99552;67.79516;3205.893;-39.90391;-41.86953
57.06786;67.6612;3205.839;-40.80078;-36.66328
56.94969;67.69791;3205.251;-41.48985;-40.17578
56.87156;67.7364;3205.25;-43.03203;-40.17891
57.12979;67.7599;3204.649;-39.33594;-43.50938
56.9164;67.72614;3204.122;-39.63672;-39.47422
57.02083;67.7914;3203.91;-42.21484;-40.1375
57.09099;67.77995;3203.719;-41.25703;-37.66094
57.14422;67.66682;3203.62;-39.31875;-38.61875
56.96932;67.75615;3203.167;-42.70078;-41.39297
57.00099;67.72094;3202.846;-39.39922;-39.18594
56.97427;67.745;3202.452;-40.53125;-39.55469
57.13844;67.66453;3202.383;-39.39844;-40.28594
56.95115;67.7138;3201.801;-36.85781;-38.24297
56.95005;67.7324;3201.529;-42.92578;-37.26172
56.96047;67.78578;3198.476;-38.36328;-36.45078
57.02875;67.7149;3197.509;-39.40703;-39.91016
56.83771;67.72688;3194.953;-42.04922;-42.43594
57.0351;67.69656;3193.756;-42.62578;-39.75781
56.46125;67.18562;3189.82;-41.22578;-38.9625
56.36;67.2912;3183.732;-36.30938;-36.825
56.37963;67.30266;3179.658;-39.81328;-41.74609
56.37932;67.29229;3179.504;-37.8336;-42.89531
56.51849;67.21729;3178.725;-43.20391;-39.97422
56.33698;67.33318;3178.542;-39.18594;-41.52187
56.28568;67.2875;3176.678;-38.30235;-41.72187
56.22896;67.3139;3175.859;-40.53594;-43.12891
57.0351;67.69734;3174.572;-42.99688;-41.71094
57.03307;67.65651;3172.836;-40.75781;-42.93516
56.12734;67.19443;3171.043;-35.74297;-40.37422
56.48964;67.18443;3169.793;-40.25391;-38.08828
57.01479;67.68073;3168.728;-40.0125;-39.12344
55.98208;66.73917;3159.176;-37.99688;-39.30703
56.49469;67.20156;3156.229;-41.65469;-41.17344
56.44255;67.24532;3140.479;-38.61719;-39.49453
55.74635;66.99297;3139.304;-37.01172;-41.18594
54.97573;65.92807;3138.477;-40.54219;-37.55781
56.00323;67.0263;3129.788;-40.32109;-40.53516
56.53912;67.71464;3127.123;-41.00234;-38.4875
56.47583;67.22938;3126.373;-38.77578;-39.71328
56.9351;67.7013;3125.155;-37.12422;-39.50234
56.13302;66.85833;3124.048;-40.58437;-42.31641
56.37979;67.21938;3123.594;-42.01563;-36.50469
56.48104;67.21276;3122.289;-40.17812;-37.06875
56.34609;67.58828;3122.114;-35.98906;-38.06406
56.37271;67.60219;3121.968;-40.29063;-41.50859
56.29662;67.21573;3121.699;-38.78437;-41.49844
56.3488;67.64323;3120.037;-40.24141;-40.875
56.44584;67.22734;3119.7;-41.98047;-35.88359
56.46042;67.22859;3117.866;-42.35859;-38.70703
55.90531;67.02901;3117.027;-40.66406;-38.49922
56.60927;67.81219;3116.706;-40.60859;-42.18672
56.60698;67.22906;3116.489;-40.10625;-40.90625
56.58906;67.84161;3116.099;-39.75625;-41.4125
56.55214;67.13755;3115.278;-41.175;-35.27578
56.30656;67.21344;3114.426;-36.6125;-42.01641
56.27229;67.59422;3113.107;-41.62422;-42.13828
56.30125;67.59052;3112.84;-39.67969;-43.07188
55.52666;66.35359;3112.217;-37.69922;-40.375
56.56224;67.68672;3111.748;-38.64531;-35.01563
56.36719;67.57578;3110.89;-35.82813;-39.97656
56.32203;67.71125;3110.157;-39.36094;-42.47266
56.62771;67.70745;3109.629;-35.95703;-40.95156
56.44011;67.67656;3109.629;-39.32188;-42.92109
56.47177;67.69334;3109.403;-37.825;-39.50156
55.45922;66.40609;3109.363;-40.66719;-39.38359
56.37672;67.69646;3108.243;-38.4375;-43.38515
56.39182;67.72;3107.834;-39.48125;-43.07734
56.48479;67.78875;3106.709;-40.90234;-40.7711
56.55198;67.69203;3106.634;-39.00625;-42.1125
55.64135;66.39594;3105.947;-41.36406;-39.58984
56.52964;67.80266;3105.649;-41.05703;-39.72031
56.39838;67.67969;3105.563;-40.09141;-40.08203
55.55969;66.42354;3105.5;-41.18828;-38.89375
55.15583;66.37531;3105.018;-42.71484;-38.53906
56.50875;67.69891;3104.449;-44.06719;-43.45313
56.42406;67.69865;3104.316;-38.89766;-39.37578
56.48604;67.71552;3103.953;-37.5125;-41.52344
55.70198;66.39677;3103.78;-41.51641;-41.0211
55.55823;66.37401;3103.512;-42.48594;-39.02891
56.42823;67.67042;3102.863;-38.47344;-40.25
56.16833;67.59349;3102.761;-42.42656;-40.26015
56.59187;67.83802;3102.271;-39.15156;-40.25547
55.56443;66.3875;3101.577;-39.45391;-37.375
56.33318;67.6976;3101.185;-40.02031;-41.17891
55.66646;66.40844;3100.632;-38.02734;-40.01953
56.21953;67.63448;3100.304;-41.01875;-39.04609
56.42906;67.70058;3100.268;-37.97422;-40.60938
56.47302;67.69807;3100.139;-38.24609;-38.04297
56.47203;67.62172;3099.532;-38.79922;-38.37109
56.44078;67.69135;3099.489;-40.19765;-38.49375
