K5PS14_1.PV;K5P8.PV
4.256081;4.09065
4.2552;4.088512
4.259063;4.087875
4.255013;4.086863
4.257581;4.086788
4.257994;4.085569
4.252088;4.084969
4.250513;4.084931
4.252969;4.083375
4.250869;4.082644
4.248431;4.082025
4.247906;4.079813
4.245206;4.078125
4.245188;4.077225
4.242656;4.076737
4.2408;4.073906
4.247044;4.073775
4.23825;4.073269
4.246238;4.07295
4.247419;4.072762
4.244381;4.071338
4.239806;4.071094
4.236431;4.069631
4.224056;4.069425
4.229737;4.06455
4.23225;4.064044
4.233057;4.062863
4.219556;4.0587
4.2183;4.0566
4.224375;4.056225
4.228125;4.055269
4.226644;4.054088
4.221469;4.053843
4.20885;4.050244
4.215525;4.046756
4.212131;4.045275
4.212788;4.043719
4.206375;4.043025
4.211644;4.0428
4.204762;4.039594
4.206488;4.039369
4.204688;4.038938
4.204575;4.038037
4.199963;4.03785
4.199512;4.037588
4.216106;4.037512
4.192744;4.03725
4.201538;4.037025
4.204782;4.037025
4.202381;4.036912
4.205269;4.036875
4.202063;4.0368
4.205756;4.036444
4.206581;4.036181
4.203413;4.036125
4.20315;4.036088
4.205025;4.035937
4.204256;4.035844
4.2075;4.035713
4.206975;4.035694
4.20165;4.035675
4.204875;4.035619
4.202644;4.0356
4.201125;4.035544
4.20375;4.035431
4.203394;4.035357
4.203131;4.035337
4.200825;4.035337
4.206356;4.0353
4.203863;4.035038
4.197675;4.035019
4.205438;4.034944
4.203356;4.034663
4.202269;4.034625
4.19895;4.034606
4.201912;4.034587
4.197712;4.03455
4.203506;4.034456
4.203863;4.034381
4.202662;4.034287
4.194319;4.034231
4.203056;4.033837
4.201331;4.033782
4.201331;4.033782
4.206038;4.033781
4.200731;4.033613
4.19955;4.033612
4.199213;4.033594
4.205419;4.033575
4.2006;4.033556
4.199812;4.033481
4.2039;4.033369
4.203244;4.033294
4.195594;4.033257
4.203675;4.033088
4.2024;4.033069
4.202569;4.032975
4.202868;4.032956
4.19985;4.032938
4.204875;4.032937
4.203319;4.032919
4.201838;4.032881
4.197863;4.032825
4.201838;4.032769
4.202869;4.03275
4.1988;4.032712
4.198987;4.032712
4.18815;4.032431
4.20465;4.032393
4.199287;4.032375
4.205944;4.032337
4.203919;4.0323
4.198256;4.032262
4.199944;4.032244
4.201556;4.032244
4.202775;4.032225
4.199062;4.032225
4.201219;4.032207
4.19925;4.032187
4.1949;4.032056
4.200788;4.032056
4.203544;4.032038
4.2;4.032038
4.193757;4.032019
4.195763;4.031962
4.192838;4.031925
4.197338;4.031907
4.20255;4.03185
4.200937;4.031812
4.193438;4.031794
4.200844;4.031719
4.200844;4.031719
4.2021;4.031719
4.2021;4.031662
4.201125;4.031644
4.200094;4.031625
4.2027;4.031625
4.201031;4.031569
4.199006;4.031494
4.203581;4.031475
4.203469;4.031456
4.202906;4.031419
4.204163;4.0314
4.202456;4.0314
4.205944;4.031381
4.203206;4.031363
4.201538;4.031344
4.205756;4.031306
4.198481;4.031288
4.202719;4.031231
4.198819;4.031194
4.199531;4.031175
4.199906;4.031175
4.192875;4.031157
4.19535;4.031137
4.195181;4.031025
4.198612;4.030987
4.19925;4.030969
4.196944;4.030969
4.198894;4.030969
4.198762;4.030969
4.206187;4.030913
4.19445;4.030894
4.195238;4.030894
4.193006;4.030894
4.202644;4.030875
4.198931;4.030875
4.204594;4.030875
4.202156;4.030781
4.204069;4.030744
4.201313;4.030687
4.198594;4.030519
4.195556;4.0305
4.200994;4.0305
4.200394;4.0305
4.189162;4.0305
4.200469;4.030481
4.197375;4.030463
4.200488;4.030462
4.199325;4.030275
4.194506;4.030275
4.195969;4.030256
4.198519;4.030256
4.193794;4.030219
4.202025;4.0302
4.183012;4.030181
4.197113;4.030163
4.19985;4.030162
4.201331;4.030144
4.203469;4.030125
4.193944;4.030125
4.201725;4.030106
4.202081;4.030106
4.19925;4.030106
4.197544;4.030087
4.200919;4.030031
4.196625;4.030031
4.202363;4.030013
4.1979;4.029994
4.1982;4.029994
4.186444;4.029994
4.193944;4.029937
4.201594;4.0299
4.199663;4.029881
4.195556;4.029862
4.2021;4.029844
4.201031;4.029844
4.193287;4.029788
4.19415;4.029769
4.197375;4.029769
4.202025;4.02975
4.195256;4.029694
4.203506;4.029675
4.193494;4.029675
4.1979;4.029675
4.203656;4.029656
4.195331;4.029582
4.197675;4.029562
4.193869;4.029562
4.197375;4.029469
4.1979;4.029469
4.197169;4.02945
4.199512;4.02945
4.198106;4.029413
4.198987;4.029394
4.198294;4.029319
4.201894;4.029319
4.201181;4.029319
4.198613;4.029319
4.200356;4.029243
4.19925;4.029188
4.202325;4.029187
4.196719;4.029187
4.199475;4.029169
4.201219;4.029169
4.186819;4.029094
4.201238;4.029075
4.199363;4.029075
4.195669;4.029075
4.204687;4.029056
4.19775;4.029019
4.201406;4.029
4.198613;4.029
4.20045;4.029
4.187906;4.029
4.196494;4.028869
4.200956;4.02885
4.197712;4.028831
4.194713;4.028812
4.200206;4.028812
4.196006;4.028812
4.197263;4.028794
4.200844;4.028794
4.195781;4.028794
4.202475;4.028775
4.19265;4.028756
4.195031;4.028738
4.204219;4.028719
4.199775;4.028719
4.182862;4.028719
4.197919;4.028718
4.198444;4.0287
4.198762;4.028681
4.201369;4.028681
4.201875;4.028625
4.199363;4.028606
4.201256;4.028587
4.194375;4.02855
4.202044;4.02855
4.19775;4.028531
4.197769;4.028512
4.196719;4.028512
4.19925;4.028438
4.202063;4.028438
4.194919;4.0284
4.201669;4.028381
4.203319;4.028363
4.201575;4.028344
4.20345;4.028344
4.203319;4.028344
4.203338;4.028325
4.196719;4.028306
4.202775;4.028306
4.197619;4.028287
4.195087;4.028287
4.200731;4.028269
4.198969;4.028231
4.1982;4.028213
4.196569;4.028193
4.204125;4.028175
4.192781;4.028175
4.185656;4.028156
4.197675;4.0281
4.202925;4.028081
4.198613;4.028081
4.200037;4.028044
4.189312;4.028044
4.191975;4.028025
4.201781;4.028007
4.202531;4.028006
