K5PC5CH.OP;K5PC6CH.OP;K5F3.PV
57.78016;68.13906;3289.731
57.74542;68.12078;3287.468
57.72063;68.09797;3279.91
57.64448;68.12041;3280.024
57.60797;68.11443;3287.346
57.57073;68.11333;3280.28
57.56224;68.09594;3277.369
57.55724;68.1112;3282.482
57.55604;68.08646;3261.872
57.55307;68.07531;3285.413
57.54391;68.10375;3276.491
57.51568;68.11614;3258.471
57.51542;68.12859;3264.476
57.50667;68.08646;3279.369
57.50151;68.13375;3280.811
57.4949;68.13239;3267.133
57.49026;68.07677;3275.603
57.48505;68.14011;3262.997
57.48375;68.12146;3275.215
57.47073;68.11583;3260.366
57.46948;68.12109;3272.576
57.45208;68.12193;3278.719
57.43953;68.08427;3277.754
57.42807;68.03229;3283.254
57.42198;68.08656;3282.096
57.32094;67.77573;3280.899
57.29724;67.76781;3278.844
57.29682;67.75349;3281.15
57.28802;67.7336;3271.175
57.2813;67.74875;3270.609
57.27266;67.72958;3233.133
57.25698;67.75708;3274.782
57.25109;67.66396;3229.153
57.23667;67.75026;3239.908
57.23396;67.68495;3215.158
57.2338;67.74313;3266.018
57.22531;67.72599;3214.45
57.22;67.71625;3238.012
57.2187;67.74604;3270.957
57.21344;67.7011;3231.408
57.20542;67.70589;3242.482
57.20469;67.7514;3277.587
57.20193;67.75974;3270.558
57.19239;67.74734;3271.48
57.19188;67.73833;3266.552
57.19026;67.65907;3216.899
57.18943;67.72588;3218.616
57.18469;67.71026;3211.014
57.16885;67.75297;3271.916
57.16651;67.73933;3280.327
57.14526;67.80391;3208.693
57.14422;67.66682;3203.62
57.13844;67.70036;3206.241
57.13844;67.66453;3202.383
57.13432;67.76188;3216.294
57.13365;67.6837;3237.201
57.13255;67.64896;3212.993
57.1301;67.7149;3221.452
57.12979;67.7599;3204.649
57.12891;67.69901;3210.683
57.11693;67.67213;3207.594
57.11672;67.69568;3227.404
57.11411;67.72104;3274.238
57.11323;67.76791;3212.738
57.10328;67.66776;3231.498
57.09229;67.70583;3231.55
57.09099;67.77995;3203.719
57.08891;67.66552;3208.721
57.08839;67.69828;3212.827
57.08807;67.73943;3213.3
57.08287;67.75708;3208.142
57.07573;67.74031;3214.295
57.07417;67.78484;3219.577
57.07302;67.65614;3208.566
57.06963;67.70464;3210.765
57.06786;67.6612;3205.839
57.06562;67.70104;3224.181
57.06083;67.63203;3213.357
57.06078;67.63776;3213.349
57.06016;67.73187;3241.362
57.0563;67.71172;3233.081
57.05437;67.72813;3221.829
57.0489;67.73375;3275.155
57.04713;67.69255;3214.784
57.04662;67.78198;3207.057
57.04589;67.69245;3227.883
57.04448;67.80828;3209.405
57.0437;67.72943;3216.381
57.04187;67.71068;3211.027
57.0388;67.70338;3206.247
57.0387;67.69771;3213.573
57.0351;67.69734;3174.572
57.0351;67.69656;3193.756
57.03349;67.67078;3206.601
57.03307;67.65651;3172.836
57.03125;67.70193;3216.468
57.02875;67.7149;3197.509
57.02604;67.75256;3209.393
57.0238;67.70182;3211.902
57.02083;67.7914;3203.91
57.01906;67.77891;3213.207
57.01776;67.74177;3210.417
57.01479;67.68073;3168.728
57.01141;67.73479;3216.671
57.0088;67.74265;3222.499
57.00828;67.69833;3220.778
57.00651;67.74099;3242.516
57.00489;67.72865;3216.886
57.00427;67.70963;3225.636
57.00151;67.71901;3218.168
57.00099;67.72094;3202.846
56.99552;67.79516;3205.893
56.98219;67.71422;3211.58
56.9789;67.72369;3231.383
56.97521;67.73489;3234.407
56.97427;67.745;3202.452
56.97338;67.77631;3211.118
56.96932;67.75615;3203.167
56.96047;67.78578;3198.476
56.95318;67.71401;3206.195
56.95115;67.7138;3201.801
56.95026;67.68557;3210.313
56.95005;67.7324;3201.529
56.94969;67.69791;3205.251
56.94969;67.7376;3228.313
56.9351;67.7013;3125.155
56.92229;67.71291;3229.421
56.9164;67.72614;3204.122
56.90792;67.69334;3208.067
56.89448;67.24792;3266.319
56.88323;67.7289;3227.605
56.87708;67.87213;3210.419
56.87365;67.70099;3241.774
56.87255;67.70506;3210.749
56.87156;67.7364;3205.25
56.86666;67.82708;3222.029
56.84609;67.84849;3209.005
56.83844;67.8012;3229.249
56.83771;67.72688;3194.953
56.82615;67.80557;3223.061
56.81166;67.41547;3239.676
56.8062;67.79573;3210.674
56.80484;67.81469;3222.972
56.79641;67.8263;3218.666
56.71667;67.25203;3206.922
56.69255;67.80698;3092.327
56.68417;67.2451;3216.77
56.66297;67.85828;3084.675
56.65698;67.25219;3231.47
56.65359;67.78167;3089.604
56.64161;67.77032;3085.682
56.62771;67.70745;3109.629
56.6237;67.79245;3086.117
56.61031;67.78995;3093.763
56.60927;67.81219;3116.706
56.60698;67.22906;3116.489
56.60307;67.78995;3088.559
56.59443;67.7612;3080.102
56.59187;67.83802;3102.271
56.58974;67.83719;3092.652
56.58906;67.84161;3116.099
56.58458;67.76708;3094.96
56.57833;67.82078;3082.684
56.57635;67.80729;3092.269
56.57599;67.79781;3084.646
56.57375;67.76604;3090.063
56.56651;67.81828;3097.188
56.56615;67.79594;3090.728
56.56354;67.81167;3094.577
56.56224;67.68672;3111.748
56.55959;67.76765;3092.184
56.55214;67.13755;3115.278
56.55198;67.69203;3106.634
56.54901;67.66229;3092.672
56.54698;67.77177;3086.194
56.54515;67.78864;3080.321
56.5412;67.77266;3089.031
56.54094;67.8287;3076.792
56.53912;67.71464;3127.123
56.53849;67.77974;3088.26
56.53667;67.81786;3090.941
56.53635;67.78323;3091.711
56.53432;67.8013;3095.712
56.5338;67.80448;3089.305
56.5337;67.82828;3091.22
56.53349;67.77808;3090.469
56.53323;67.84099;3088.084
56.52964;67.80266;3105.649
56.52734;67.81922;3097.781
56.52396;67.82307;3079.507
56.52151;67.78578;3083.994
56.52089;67.76521;3085.298
56.52047;67.79745;3087.701
56.51948;67.80677;3094.656
56.51849;67.21729;3178.725
56.51349;67.81443;3088.574
56.51234;67.75203;3095.749
56.5113;67.78047;3087.992
56.51011;67.73156;3086.181
56.50964;67.79583;3086.796
56.50875;67.69891;3104.449
56.50677;67.73766;3078.183
56.5064;67.79224;3083.801
56.50281;67.76214;3085.984
56.49771;67.81;3087.38
56.49682;67.73438;3087.686
56.49672;67.70896;3084.999
56.49656;67.7937;3086.536
56.49469;67.20156;3156.229
56.49437;67.73682;3089.16
56.49083;67.74245;3093.839
56.48964;67.18443;3169.793
56.48604;67.71552;3103.953
56.48479;67.78875;3106.709
56.48359;67.62135;3091.686
56.48297;67.86313;3082.382
56.48109;67.74073;3094.23
56.48104;67.21276;3122.289
56.47844;67.85088;3061.99
56.47823;67.76151;3080.491
56.47792;67.81594;3083.623
56.47583;67.22938;3126.373
56.47302;67.69807;3100.139
56.47203;67.62172;3099.532
56.47193;67.65146;3095.311
56.47177;67.69334;3109.403
56.47099;67.85396;3052.962
56.46604;67.81615;3086.093
56.46448;67.72942;3097.446
56.46125;67.18562;3189.82
56.46042;67.22859;3117.866
56.45531;67.7776;3084.138
56.45078;67.74083;3091.809
56.44761;67.75661;3088.494
56.44708;67.85943;3086.973
56.44584;67.22734;3119.7
56.44333;67.75667;3084.603
56.44302;67.81709;3096.859
56.44292;67.82224;3086.368
56.44255;67.24532;3140.479
56.44224;67.76614;3085.718
56.44078;67.69135;3099.489
56.44057;67.7711;3088.669
56.44021;67.79516;3091.756
56.44011;67.67656;3109.629
56.4363;67.72761;3090.847
56.43542;67.8026;3092.631
56.43495;67.70807;3099.365
56.43422;67.79369;3064.203
56.42906;67.70058;3100.268
56.42823;67.67042;3102.863
56.42719;67.73646;3090.764
56.42406;67.69865;3104.316
56.4238;67.7975;3089.76
56.42297;67.86912;3066.841
56.41521;67.74552;3093.671
56.41484;67.7687;3083.405
56.41245;67.70099;3090.552
56.41198;67.79641;3083.32
56.41146;67.81359;3095.221
56.40688;67.85276;3089.909
56.40292;67.80682;3092.619
56.40172;67.77771;3084.023
56.39849;67.79761;3073.653
56.39838;67.67969;3105.563
56.39505;67.79422;3081.652
56.3937;67.79833;3079.539
56.39182;67.72;3107.834
56.39078;67.67245;3089.193
56.38922;67.74073;3086.429
56.38911;67.71052;3082.73
56.38724;67.75562;3084.612
56.38656;67.76896;3089.967
56.38432;67.80089;3086.68
56.37979;67.21938;3123.594
56.37963;67.30266;3179.658
56.37943;67.8551;3080.575
56.37932;67.29229;3179.504
56.37823;67.7587;3094.731
56.37734;67.73599;3084.898
56.37672;67.69646;3108.243
56.37599;67.77812;3080.928
56.37547;67.80505;3070.075
56.37271;67.60219;3121.968
56.3726;67.72276;3081.534
56.36864;67.75739;3090.325
56.36719;67.57578;3110.89
56.36656;67.75703;3079.549
56.36599;67.69458;3086.147
56.36302;67.88422;3090.178
56.36255;67.7225;3080.416
56.36224;67.74271;3091.06
56.36;67.2912;3183.732
