K5PCV5I.PV;K5PCV6I.PV
97.97948;97.55187
97.97385;97.55067
97.97312;97.55151
97.97224;97.54916
97.9698;97.56031
97.96886;97.57328
97.9688;97.56844
97.96739;97.56683
97.96646;97.56906
97.96573;97.56865
97.96536;97.57083
97.96536;97.56521
97.96261;97.5676
97.96193;97.56136
97.96182;97.56865
97.95932;97.55214
97.95641;97.55823
97.95469;97.5524
97.9539;97.55708
97.94958;97.56427
97.9488;97.56683
97.94849;97.55828
97.94781;97.55417
97.94552;97.56615
97.94542;97.56219
97.94354;97.56088
97.94297;97.57011
97.9424;97.57125
97.94214;97.56167
97.94167;97.56719
97.93922;97.56661
97.93765;97.5587
97.93193;97.56245
97.93042;97.56084
97.93005;97.55547
97.92927;97.5512
97.92917;97.55959
97.92771;97.54896
97.92709;97.55067
97.92661;97.54854
97.92641;97.55089
97.92573;97.55531
97.92474;97.55703
97.92453;97.55125
97.92448;97.56052
97.92432;97.5489
97.92396;97.55833
97.92365;97.54583
97.92359;97.54755
97.92349;97.5538
97.92224;97.55854
97.92005;97.55193
97.91635;97.54828
97.91625;97.55828
97.91474;97.55672
97.91172;97.55151
97.91167;97.55443
97.91026;97.56422
97.90693;97.55854
97.905;97.54922
97.89672;97.54875
97.89542;97.54938
97.89287;97.55817
97.89281;97.55318
97.88349;97.54854
97.88349;97.55594
97.88167;97.54547
97.8763;97.53719
97.87067;97.54459
97.86922;97.54588
97.86781;97.54115
97.86662;97.54969
97.86166;97.5475
97.85703;97.5475
97.85349;97.54172
97.84839;97.55255
97.84401;97.54672
97.83688;97.5449
97.82542;97.54828
97.8251;97.55151
97.82318;97.54547
97.82224;97.55495
97.81604;97.54286
97.8088;97.54704
97.80177;97.54568
97.79833;97.5489
97.78635;97.55323
97.78474;97.54979
97.77917;97.54698
97.77141;97.55109
97.77052;97.54938
97.76526;97.5602
97.75661;97.55156
97.75542;97.55594
97.74521;97.54724
97.73708;97.55609
97.73578;97.55229
97.73244;97.56495
97.72958;97.55594
97.72942;97.55344
97.72807;97.56927
97.72682;97.56552
97.72604;97.55073
97.72536;97.56442
97.725;97.55354
97.72453;97.5649
97.72427;97.5564
97.72417;97.56182
97.72286;97.56084
97.72286;97.56589
97.72271;97.57271
97.7224;97.56292
97.72234;97.56344
97.72234;97.56167
97.72219;97.56703
97.72214;97.55344
97.72203;97.56151
97.72188;97.5563
97.72177;97.56281
97.72157;97.56828
97.7212;97.5601
97.72073;97.55807
97.72026;97.57256
97.72026;97.56797
97.72021;97.55542
97.71969;97.56464
97.71964;97.57829
97.71906;97.55307
97.71906;97.57698
97.71886;97.5686
97.71812;97.56406
97.71812;97.55937
97.71786;97.5612
97.71761;97.55537
97.71745;97.54948
97.71724;97.55865
97.71698;97.55833
97.71687;97.56625
97.71682;97.55651
97.71672;97.56718
97.71646;97.54359
97.71578;97.5639
97.71578;97.58198
97.71453;97.57407
97.71427;97.55417
97.71359;97.56974
97.71344;97.56114
97.71291;97.56005
97.71286;97.55854
97.71188;97.54849
97.71182;97.57302
97.71073;97.59328
97.71068;97.56995
97.71042;97.5936
97.70932;97.58192
97.70922;97.55156
97.70911;97.56406
97.70885;97.59526
97.70875;97.59969
97.70849;97.59703
97.70823;97.60406
97.70812;97.56292
97.70792;97.60297
97.70755;97.5699
97.70625;97.58516
97.70557;97.59438
97.70552;97.55666
97.70541;97.59552
97.70506;97.56953
97.70479;97.56891
97.70453;97.55235
97.70443;97.56198
97.70417;97.59692
97.70412;97.57651
97.70396;97.56474
97.7038;97.57542
97.7037;97.57542
97.70349;97.57526
97.70344;97.56875
97.70297;97.56328
97.70261;97.5487
97.7025;97.54583
97.7025;97.55729
97.70245;97.57354
97.70229;97.56812
97.70209;97.56625
97.70209;97.55885
97.70203;97.56359
97.70203;97.55458
97.70172;97.5637
97.70172;97.6039
97.70167;97.57
97.70141;97.59427
97.7011;97.56567
97.70084;97.57265
97.70073;97.57188
97.70062;97.57417
97.70047;97.56589
97.70042;97.56375
97.70042;97.58208
97.70036;97.57687
