K5PS14_2.PV;K5P10.PV
4.355078;4.388
4.353684;4.382864
4.35256;4.391641
4.350878;4.367823
4.347485;4.390359
4.346928;4.333
4.346906;4.388609
4.346831;4.384797
4.346575;4.385313
4.346409;4.350625
4.346112;4.368552
4.345728;4.387708
4.345319;4.379641
4.34479;4.387422
4.344403;4.381907
4.343697;4.382667
4.3429;4.381349
4.341572;4.391198
4.34094;4.377771
4.340862;4.414849
4.339884;4.367156
4.339528;4.350969
4.339435;4.376859
4.339315;4.364807
4.339085;4.373385
4.338775;4.335182
4.338628;4.375604
4.338538;4.411344
4.338369;4.331438
4.338253;4.371906
4.337828;4.348891
4.337641;4.340343
4.337206;4.372354
4.336925;4.362964
4.33639;4.367115
4.336284;4.40637
4.335894;4.34438
4.335863;4.369318
4.335419;4.408709
4.335403;4.361682
4.335297;4.36388
4.334966;4.379682
4.334966;4.364
4.334081;4.368797
4.333609;4.32951
4.333228;4.404641
4.333109;4.365328
4.332963;4.391568
4.332963;4.386078
4.332637;4.407682
4.332625;4.385516
4.332359;4.398042
4.331919;4.3225
4.331756;4.340698
4.331716;4.374583
4.331653;4.362448
4.331541;4.377521
4.33045;4.35626
4.330147;4.364
4.330128;4.39262
4.330112;4.353958
4.329787;4.396797
4.329384;4.36712
4.328725;4.376766
4.328522;4.36087
4.32766;4.380875
4.32765;4.330073
4.327475;4.349495
4.327472;4.359562
4.326997;4.345787
4.326925;4.354281
4.326356;4.395203
4.325909;4.345073
4.325637;4.358104
4.325434;4.355068
4.325409;4.325589
4.324784;4.345104
4.32415;4.363031
4.324112;4.329057
4.324069;4.351396
4.32376;4.360344
4.323034;4.380505
4.321844;4.355854
4.321725;4.389651
4.321219;4.39124
4.321194;4.319198
4.320785;4.3375
4.32045;4.355219
4.320256;4.361042
4.320172;4.339255
4.319816;4.34061
4.319788;4.359443
4.31949;4.341917
4.319044;4.353302
4.319006;4.356411
4.318897;4.339411
4.31811;4.330214
4.317728;4.354239
4.317616;4.345167
4.317025;4.340318
4.316622;4.330844
4.316522;4.338875
4.316491;4.355078
4.316403;4.318156
4.316194;4.333042
4.316181;4.340693
4.315919;4.334901
4.315791;4.350734
4.3155;4.386193
4.315388;4.335838
4.315234;4.331333
4.315022;4.333182
4.314813;4.325807
4.314687;4.324651
4.314584;4.34625
4.314575;4.337042
4.314472;4.324864
4.314356;4.325089
4.314322;4.33301
4.313919;4.343505
4.313862;4.327562
4.313622;4.310771
4.313413;4.347323
4.313391;4.310734
4.313266;4.346604
4.313169;4.310156
4.313134;4.345755
4.313078;4.336891
4.312713;4.311531
4.312353;4.347333
4.312228;4.329365
4.312166;4.32949
4.31186;4.321031
4.311828;4.342463
4.311803;4.322318
4.311707;4.336656
4.311572;4.325901
4.311528;4.321224
4.311331;4.322495
4.311309;4.320719
4.311225;4.330448
4.311112;4.325792
4.311047;4.324958
4.310966;4.314136
4.310935;4.301339
4.310825;4.322057
4.310675;4.331386
4.310644;4.3175
4.310359;4.367219
4.310159;4.321953
4.310131;4.318912
4.310112;4.32274
4.309475;4.334245
4.309403;4.315104
4.309369;4.343521
4.30936;4.323396
4.309309;4.332323
4.309257;4.331354
4.3092;4.375078
4.309175;4.327026
4.309153;4.327818
4.309056;4.307604
4.309022;4.330781
4.309019;4.31226
4.308791;4.330646
4.3087;4.308661
4.308563;4.32188
4.308415;4.352104
4.308406;4.323547
4.3084;4.343953
4.308384;4.326599
4.3083;4.329885
4.308297;4.321875
4.308038;4.299193
4.307975;4.313719
4.307862;4.331386
4.307825;4.321682
4.307753;4.328422
4.307653;4.305844
4.3076;4.320906
4.307569;4.32087
4.307366;4.338724
4.307331;4.324604
4.307288;4.332406
4.307219;4.319334
4.307131;4.333838
4.307072;4.336781
4.307047;4.319297
4.307031;4.336573
4.306962;4.339213
4.306828;4.333302
4.306797;4.356802
4.30661;4.322745
4.3065;4.306693
4.306435;4.320443
4.306265;4.322312
4.306219;4.331641
4.306216;4.330052
4.3062;4.336761
4.30619;4.323656
4.306166;4.310062
4.306156;4.331037
4.306106;4.315646
4.30609;4.329682
4.30605;4.328948
4.306019;4.317667
4.305844;4.331083
4.30584;4.303438
4.305722;4.337906
4.305691;4.331208
4.305669;4.333136
4.305634;4.308698
4.305603;4.323516
4.305581;4.319547
4.305506;4.305276
4.305481;4.319276
4.305416;4.331594
4.305184;4.308177
4.305059;4.325541
4.305031;4.328193
4.305019;4.312281
4.305019;4.370219
4.304997;4.330896
4.304887;4.321755
4.304881;4.312146
4.304816;4.312099
4.304738;4.318188
4.304712;4.321073
4.304694;4.313115
4.304659;4.33538
4.304644;4.329089
4.304615;4.320115
4.304556;4.33186
4.304534;4.337245
4.304506;4.31013
4.30434;4.314651
4.304325;4.312729
4.304325;4.32575
4.30415;4.333958
4.304078;4.319599
4.303875;4.309036
4.303772;4.324526
4.303684;4.340708
4.303662;4.325261
4.303659;4.316354
4.30365;4.326859
4.303609;4.323974
4.303559;4.310266
4.303491;4.333193
4.303481;4.34438
4.303394;4.334312
4.303309;4.318484
4.303278;4.334823
4.30325;4.328359
4.303225;4.316911
4.3032;4.327531
4.303187;4.309677
4.303169;4.318865
4.30301;4.327505
4.302966;4.330891
4.302931;4.315146
4.302859;4.321099
4.302847;4.318432
4.302837;4.318807
4.302744;4.321417
4.302725;4.326573
4.302612;4.330047
4.302444;4.316891
4.302431;4.333453
4.302409;4.31451
4.30235;4.325078
4.302238;4.329224
4.302166;4.312891
4.302135;4.319323
4.301969;4.320099
4.301878;4.335849
4.301875;4.314
4.301828;4.324234
4.301684;4.322458
4.301678;4.318985
4.301628;4.331104
4.301622;4.319063
4.301578;4.330151
4.301569;4.321729
4.3014;4.296463
4.3013;4.323854
4.301294;4.31263
4.301291;4.314516
4.301272;4.31574
4.301253;4.304563
4.301184;4.318245
4.301078;4.348344
4.301034;4.31461
4.301019;4.331875
4.300991;4.305286
4.300916;4.313302
4.300847;4.328828
4.300844;4.304292
4.300844;4.305984
4.300834;4.319797
4.300747;4.315042
4.300715;4.317521
4.300647;4.323724
4.3006;4.328526
4.300512;4.312901
4.300472;4.327464
4.300456;4.324344
4.300397;4.298682
4.300391;4.301583
4.300381;4.369714
4.300337;4.322766
4.300331;4.312739
4.300309;4.331589
4.300306;4.307333
4.300287;4.306453
4.300241;4.320573
4.300122;4.315276
4.300119;4.311042
4.300066;4.321469
4.300063;4.315734
4.300028;4.308917
4.300009;4.320234
4.299969;4.351583
4.299969;4.310396
4.299956;4.306552
4.299847;4.325781
4.299844;4.308781
4.299828;4.353568
4.299772;4.313323
4.299691;4.293599
4.299656;4.329807
4.299603;4.327505
4.299569;4.300495
4.299534;4.322005
4.299462;4.288151
4.299319;4.311427
4.299291;4.296255
4.299253;4.296964
4.299209;4.321099
4.2992;4.308239
4.299041;4.320984
4.298891;4.316505
4.298866;4.312245
4.298691;4.317292
4.298584;4.289515
4.298543;4.317661
4.298487;4.301823
4.298431;4.299104
4.298409;4.324776
4.298394;4.310812
4.298259;4.297943
4.298219;4.313552
4.298213;4.304005
4.298088;4.318802
4.298072;4.35312
4.298069;4.320635
4.298062;4.317729
4.298034;4.312849
4.298019;4.361567
4.298012;4.31112
4.297828;4.311219
4.297825;4.317417
4.297769;4.325531
4.29775;4.288448
4.297725;4.315312
4.297684;4.296073
4.297675;4.300953
4.297675;4.295693
4.29765;4.324604
4.2976;4.293422
4.297503;4.326474
4.297428;4.294547
4.297269;4.306656
4.297122;4.3025
4.297097;4.327562
4.29705;4.318464
4.29704;4.3085
4.296984;4.306323
4.296925;4.307917
4.296875;4.302588
4.29671;4.303005
4.296634;4.325719
4.296575;4.324323
4.296547;4.313526
4.296544;4.296177
4.29645;4.297193
4.2964;4.319401
4.296322;4.290891
4.296284;4.295755
4.296284;4.318099
4.296281;4.300209
4.296263;4.317057
4.296209;4.316208
4.296187;4.299057
4.296185;4.327537
4.296109;4.326063
4.296106;4.318391
4.296081;4.340531
4.295803;4.293042
4.295797;4.317307
4.295763;4.315786
4.29565;4.310073
4.295616;4.313401
4.295556;4.303864
4.295485;4.30662
4.295431;4.313963
4.295431;4.296177
4.295415;4.308391
4.295303;4.307505
4.295269;4.309916
4.295163;4.317438
4.295125;4.315917
4.295113;4.301641
4.295103;4.310172
4.295094;4.293417
4.295063;4.296609
4.295041;4.337875
4.295016;4.316474
4.295;4.328995
4.295;4.314359
4.294912;4.291328
4.2949;4.309182
4.294869;4.309156
4.294759;4.312672
4.294734;4.328109
4.294719;4.312516
4.294706;4.314031
4.294706;4.327542
4.294703;4.317573
4.294638;4.291864
4.294562;4.301578
4.294506;4.307828
4.294391;4.291162
4.294312;4.291552
4.2943;4.291026
4.294288;4.320401
4.29419;4.317333
4.294172;4.28663
4.294094;4.312099
4.294044;4.317771
4.294028;4.312198
4.293984;4.304411
4.293769;4.305995
4.293519;4.297099
4.293478;4.30313
4.293425;4.365136
4.293394;4.323255
4.293219;4.323297
4.293084;4.313818
4.293006;4.306823
4.292994;4.325432
4.292891;4.312323
4.292766;4.311458
4.292422;4.312906
4.292381;4.300859
4.292369;4.3025
4.292328;4.312568
4.292228;4.323771
4.292191;4.306787
4.292119;4.309172
4.292075;4.309594
4.292006;4.31525
4.291944;4.294995
4.291853;4.281063
4.291766;4.325776
4.291697;4.297636
4.291691;4.287719
4.291669;4.285062
4.291563;4.29986
4.291506;4.307271
4.291478;4.32374
4.291378;4.293495
4.291072;4.312276
4.291025;4.324812
4.290959;4.312739
4.290919;4.292745
4.2909;4.316693
4.290863;4.280604
4.290803;4.31087
4.29075;4.306104
4.290734;4.311797
4.290706;4.286339
4.2907;4.288771
4.290694;4.280531
4.290688;4.289292
4.290662;4.305438
4.2906;4.313208
4.290434;4.293417
4.290322;4.305917
4.290263;4.295979
4.290225;4.300641
4.290165;4.302969
4.290134;4.310615
4.290038;4.288286
4.289956;4.291974
4.289931;4.276859
4.289931;4.287662
4.289891;4.287161
4.289872;4.302922
4.289856;4.320333
4.289853;4.307938
4.28985;4.283932
4.289762;4.301578
4.289575;4.316
4.289531;4.281703
4.289497;4.300786
4.289447;4.281625
4.289384;4.298932
4.289338;4.302995
4.289278;4.276495
4.289263;4.300979
4.289172;4.311182
4.289128;4.276266
4.289103;4.281437
4.289084;4.296193
4.289022;4.300844
4.289016;4.295995
4.289006;4.285511
4.288997;4.314339
4.288978;4.313057
4.288922;4.301073
4.288897;4.322349
