K5P5_2.PV;K5BSB_2.PV;K5Q3.PV
-39.38672;55.89859;0.5635052
-39.71315;55.59271;0.5728125
-39.08529;56.29583;0.5835729
-39.61094;56.32755;0.5887761
-40.74375;56.96047;0.5927604
-40.57031;56.82391;0.5931094
-41.01537;57.50583;0.6058334
-41.01419;56.88182;0.6160677
-40.27201;55.85198;0.6198593
-40.09857;56.92922;0.6279167
-41.89779;56.44927;0.6330677
-40.42773;56.58208;0.6382969
-40.24128;56.82979;0.6420781
-41.44362;56.32042;0.6446458
-39.94779;57.4424;0.6481146
-40.1125;57.00349;0.6547031
-40.14414;56.3437;0.6548177
-40.46862;57.53016;0.6552083
-40.24401;57.04167;0.6559844
-40.24466;56.73542;0.6589687
-40.94323;56.62568;0.6617969
-39.828;56.62766;0.665
-40.92891;56.20203;0.6680781
-41.10976;56.91677;0.6761146
-40.43555;57.02021;0.6768229
-40.5487;56.34984;0.6780052
-39.12122;56.78479;0.6841146
-37.85703;56.41;0.6884271
-40.93451;57.30688;0.6891562
-39.90781;57.30109;0.6954479
-41.27864;56.6888;0.6956094
-40.52253;56.89531;0.6966718
-40.82148;57.25672;0.6981458
-41.62721;56.76167;0.6984062
-41.21211;56.80646;0.7044843
-40.30039;56.56141;0.7075469
-40.87409;56.29828;0.7156042
-40.92839;56.97302;0.7175521
-40.93958;56.60688;0.7195365
-40.51393;57.71526;0.7230104
-40.59427;56.3062;0.7263125
-40.87266;56.58583;0.7330416
-39.65599;55.92781;0.7356771
-39.53698;56.95937;0.7446458
-41.78594;56.52708;0.7531667
-39.61914;56.34698;0.754276
-40.53138;57.28333;0.7556614
-39.32578;56.84078;0.7589115
-41.2569;57.17333;0.762625
-38.43854;56.72672;0.7631198
-37.82109;56.61396;0.7638177
-39.19622;55.99573;0.765599
-40.56002;57.40099;0.7676875
-40.47813;56.75479;0.7713333
-40.63802;56.90464;0.7736354
-40.46224;56.96635;0.7805885
-39.02253;56.07661;0.7830104
-40.00117;57.01192;0.7838438
-39.71094;56.71594;0.7871094
-38.56289;56.87661;0.7885261
-40.6444;57.12359;0.7886354
-40.21693;57.14943;0.7887969
-40.14753;57.32823;0.7890885
-38.55703;56.54677;0.7907031
-39.69336;56.96386;0.7919427
-40.42956;55.87906;0.7919792
-38.85404;56.33953;0.7932864
-40.52513;56.96109;0.7959427
-38.84362;56.58875;0.796349
-41.02891;56.26344;0.798
-39.52291;56.85375;0.7991719
-40.69401;56.92213;0.7994271
-38.67474;56.82432;0.8006198
-37.79609;56.08162;0.8009791
-41.31498;57.20187;0.8011927
-40.54622;56.91755;0.8022604
-40.92487;57.38255;0.8022917
-40.21211;56.45724;0.8028542
-38.68255;56.5625;0.8042656
