K5PC5CH.OP;K5T4.PV;K5T18_2.PV;K5PC6CH.OP;K5T8_3.PV;K5T10_2.PV
39.45161;121.5807;81.40041;51.61005;111.5576;99.99656
37.89016;122.6998;79.65875;49.24104;112.953;99.99563
37.95698;122.5208;79.54542;49.1461;112.8869;99.99532
37.81328;122.631;79.64417;49.21224;112.9593;99.9951
39.63271;121.4729;81.32916;51.70964;111.7466;99.99406
39.54885;121.6097;81.63667;51.57146;111.5134;99.99375
38.06099;122.8321;79.41354;49.2564;113.3562;99.99239
37.84828;122.5152;79.3725;49.19182;113.0736;99.98989
39.33922;121.3596;81.31396;51.58735;111.578;99.98937
37.77281;122.6439;79.43896;49.17135;113.0068;99.98823
37.76953;122.9677;79.46584;49.1913;113.0101;99.98542
46.85031;125.7215;85.84542;58.29562;108.7671;99.985
39.50719;121.5355;81.85604;51.72411;111.1667;99.985
37.05761;122.3465;82.085;49.16787;115.0443;99.98344
39.25937;121.6312;81.26542;51.67844;111.5973;99.98323
39.54625;121.7515;81.55312;51.58906;111.4625;99.97958
37.91599;122.4978;79.4175;49.17125;112.9132;99.97855
37.8487;122.6324;79.47708;49.2174;113.0779;99.9749
39.64938;121.9398;81.09375;51.56745;111.4057;99.97334
37.9775;122.6675;79.29;49.15146;113.0527;99.97208
38.1412;122.9416;79.47375;49.17307;113.0051;99.97146
37.83505;123.0992;79.50042;49.16875;113.0768;99.96761
38.10885;122.7852;79.30667;49.22615;113.0623;99.96615
39.37698;121.4064;81.24854;51.58865;111.5786;99.96604
39.54896;121.5124;81.41312;51.56083;111.713;99.96584
39.49557;121.6854;81.29229;51.55896;111.4112;99.96083
38.05682;122.7279;79.30625;49.18094;113.036;99.95937
39.65792;121.7022;81.83187;51.64266;111.4596;99.95906
39.61896;121.6925;81.24687;51.58776;111.5305;99.95781
37.95807;122.854;79.4325;49.15635;113.3496;99.9574
37.92245;122.7775;79.54166;49.17531;113.017;99.95552
39.51339;121.5604;81.56604;51.62188;111.4383;99.95458
37.74906;122.6465;79.32917;49.11427;113.0708;99.95354
38.06187;122.5143;79.44688;49.18995;113.0692;99.95302
39.71297;121.5916;81.20625;51.59771;111.4331;99.95271
42.24125;122.6151;82.11813;54.17208;111.5189;99.95261
39.49927;121.5208;81.10854;51.645;111.6464;99.95062
35.36089;121.4234;78.35416;47.57865;116.1957;99.94917
35.28807;122.3075;79.04459;46.95255;115.4656;99.94823
37.71838;122.8447;79.24917;49.11292;113.0444;99.94719
39.53573;121.7028;81.48062;51.58375;111.503;99.94583
39.65213;121.776;81.0375;51.60042;111.6601;99.94531
37.9538;122.7245;79.2175;49.18599;113.0489;99.93916
37.08516;122.2083;81.7;49.18021;114.9785;99.93896
39.31839;121.6267;81.18958;51.5863;111.4504;99.93833
38.03735;122.6134;79.29104;49.1813;113.0675;99.93562
37.82703;123.0651;79.40604;49.14417;113.0143;99.93468
37.84141;122.4836;79.36312;49.14641;112.9381;99.9324
37.98401;122.5226;79.46938;49.16714;113.0542;99.92928
39.5424;121.4657;80.85333;51.59646;111.6459;99.9276
39.33255;121.6319;81.08791;51.56464;111.4344;99.92355
37.8738;122.8767;79.50021;49.1738;113.0918;99.92302
39.45636;121.8116;81.15479;51.57854;111.4044;99.92239
39.63;121.7684;81.10771;51.59729;111.4073;99.9199
37.94948;122.7865;79.68291;49.16896;112.96;99.91927
39.5749;121.5626;80.96396;51.60656;111.6567;99.91843
39.5687;121.4466;81.05042;51.55641;111.6966;99.91698
37.81964;122.7628;79.15688;49.19307;113.0466;99.91666
39.45443;121.7237;81.61271;51.65339;111.4407;99.91605
37.85109;122.6998;79.44209;49.19865;113.0153;99.91521
37.80255;122.8705;79.51167;49.1176;113.0961;99.91292
37.9425;122.5942;79.3577;49.14141;112.9471;99.9125
39.48016;121.7443;81.03125;51.61448;111.397;99.91219
39.38828;121.618;81.08208;51.59047;111.6655;99.9099
37.87135;122.7858;79.4623;49.1501;113.3288;99.905
37.80755;122.4501;79.66084;49.12344;112.593;99.89989
37.95745;122.4023;79.64729;49.19021;112.5753;99.89948
37.82109;122.6035;79.3975;49.22479;113.0124;99.89906
37.76531;122.8459;79.36396;49.13089;113.0085;99.89761
37.76703;122.8655;79.48666;49.17635;113;99.89709
37.78115;122.5756;79.2198;49.15958;113.0655;99.89667
37.79224;122.6114;79.48937;49.19411;113.0242;99.89573
37.83688;122.8952;79.4275;49.21021;113.033;99.89532
39.63302;121.6359;81.17688;51.62057;111.4448;99.89458
39.5626;121.6447;81.00896;51.55349;111.4198;99.89333
37.85125;122.6525;79.56792;49.18953;112.6673;99.89333
41.5414;122.4892;81.75375;53.48672;111.496;99.89083
37.92083;122.8741;79.66063;49.14896;112.9533;99.89011
37.98818;123.099;79.47063;49.19266;113.0786;99.88948
38.00391;122.5532;79.43521;49.18026;113.0485;99.88792
37.89437;122.6746;79.21083;49.17068;113.0566;99.88698
35.20724;122.2454;78.98542;46.91578;115.3618;99.88667
37.95885;122.5871;79.50729;49.15021;112.6896;99.88292
37.91781;122.7096;79.45333;49.16734;112.8105;99.88271
37.98271;122.7519;79.66583;49.2225;112.9652;99.88042
37.90932;122.4731;79.46771;49.12896;112.8444;99.88021
43.46943;125.5378;82.38771;54.51635;109.8624;99.87927
37.93521;122.3774;79.44312;49.18687;112.74;99.87813
37.90328;122.5278;79.53291;49.14734;113.0974;99.87729
37.91198;122.3539;79.54625;49.13927;112.751;99.87677
38.00797;122.3975;79.64521;49.1238;112.6293;99.87573
40.46761;122.0733;81.19292;52.58698;111.4825;99.87552
37.84583;122.832;79.44771;49.14896;113.0136;99.87354
37.97609;122.536;79.55083;49.18089;112.5615;99.87344
37.96255;122.5084;79.39625;49.15849;112.9502;99.8725
37.91849;122.54;79.34521;49.14839;112.9543;99.87188
40.67542;122.1237;81.41854;52.74766;111.4724;99.8699
37.82088;122.4489;79.38854;49.19271;113.0662;99.86792
37.9514;122.8557;80.07021;49.18604;113.0919;99.8675
48.06552;127.7239;82.40667;58.98891;110.8714;99.86459
37.80406;122.4651;79.4975;49.13703;112.7226;99.86198
39.79078;121.6799;81.20125;52.32349;111.4814;99.86
41.11057;122.3101;81.77354;53.1638;111.4773;99.85667
40.01932;121.9294;81.20792;52.31271;111.5074;99.85625
37.91505;122.8153;80.07083;49.15818;113.1237;99.85438
38.02063;122.8878;79.49563;49.16985;113.0692;99.85416
37.97474;122.8151;79.58208;49.16292;112.9429;99.85229
37.845;122.4893;79.50896;49.18964;112.7919;99.85125
39.38333;121.6582;81.04146;51.57182;111.6703;99.85052
41.17516;122.4257;81.62125;53.17115;111.4955;99.84979
38.13125;122.9119;80.07458;49.18781;113.1194;99.84386
37.98552;122.6727;80.07354;49.13172;113.0757;99.84354
37.80167;122.7524;79.39083;49.18344;112.9866;99.84021
37.93104;122.7594;79.37167;49.15641;113.0064;99.83844
37.79318;122.5459;79.49563;49.14589;112.9329;99.83604
37.96474;122.7724;79.50771;49.17922;112.9374;99.83458
37.97042;122.5414;79.42291;49.19073;113.0837;99.83448
39.66453;121.3539;81.95375;51.64552;111.0176;99.83406
39.5974;121.259;81.75792;51.63521;111.0446;99.83229
37.66677;122.5757;79.47979;49.08995;112.822;99.83031
38.0188;122.9116;79.4825;49.22203;113.0514;99.82667
37.95323;122.5681;79.57291;49.16745;112.9262;99.82094
37.88667;122.7493;80.04813;49.16167;113.148;99.81834
39.80359;121.7114;80.87458;51.60698;111.6521;99.81532
