K5PS14_1.PV;K5PS14_2.PV;K5T6.PV;K5P10.PV;K5F5.PV;K5T14.PV;K5F6X.PV
4.161675;4.280775;177.2575;4.301531;37.90186;368.4225;33.04527
4.1604;4.280606;177.1688;4.300469;37.7177;368.3344;32.93578
4.162931;4.281413;177.29;4.307625;38.18193;368.3269;32.96533
4.16325;4.281938;177.4075;4.3045;38.07147;368.3213;33.08983
4.161225;4.280756;177.4675;4.305906;38.04335;368.25;33.09511
4.168856;4.288069;177.1025;4.305594;37.81689;368.2331;32.65285
4.162612;4.28175;177.43;4.301594;38.10982;368.2238;33.02433
4.161243;4.280756;176.8425;4.299344;37.77546;368.205;32.91317
4.160887;4.279687;177.5813;4.307375;38.09741;368.205;32.92511
4.160344;4.278694;177;4.303125;37.63683;368.1919;32.64677
4.158675;4.277475;177.045;4.296875;37.64976;368.1862;32.81824
4.160456;4.280175;177.5925;4.300719;38.14246;368.1731;33.10381
4.102181;4.218469;177.3237;4.238688;37.69706;368.1694;32.94987
4.111931;4.229175;177.8475;4.246156;37.47175;368.1356;32.96188
4.168556;4.287356;177.0838;4.30725;37.789;368.1263;32.77162
4.1592;4.278506;177.0938;4.299469;37.66522;368.1244;32.88081
4.101375;4.2177;177.24;4.238344;37.06163;368.1094;32.91822
4.170844;4.287937;177.1563;4.311875;37.8344;368.1094;32.78028
4.107075;4.223269;177.6712;4.243563;37.59581;368.1;32.8921
4.101862;4.218488;177.445;4.2405;37.59814;368.0925;32.9051
4.094175;4.210519;176.725;4.229094;37.55051;368.0831;32.86071
4.158844;4.278094;176.6938;4.304313;38.60395;368.0663;32.81205
4.160887;4.2798;176.8763;4.295344;37.72152;368.0625;32.77446
4.092356;4.208006;176.6775;4.231125;37.50008;368.0531;32.83792
4.109663;4.226475;177.7813;4.245656;37.53444;368.0513;32.91928
4.0908;4.206994;176.5825;4.228156;37.51233;368.0494;32.79553
4.09935;4.215675;176.9837;4.236594;37.22202;368.0419;32.9341
4.100718;4.217006;177.1563;4.231656;36.66465;368.04;32.93428
4.114256;4.230506;177.955;4.249688;37.49138;368.0363;32.97034
4.0881;4.2033;176.37;4.223219;37.54353;368.0344;32.69895
4.161187;4.278862;176.9075;4.301469;37.64127;368.0325;32.80428
4.140319;4.256475;177.1525;4.284812;37.69901;368.0231;33.04866
4.104056;4.220943;177.5825;4.241375;37.63585;367.9969;32.81211
4.158769;4.277981;176.7287;4.301031;37.83071;367.995;32.65582
4.169681;4.286812;177.0188;4.307625;37.85111;367.9875;32.60389
4.162819;4.281638;176.775;4.303125;37.721;367.9781;32.89991
4.16145;4.282012;176.9375;4.304937;37.54276;367.9744;32.93307
4.170413;4.2888;177.21;4.309219;37.83363;367.9706;32.83598
4.144837;4.260862;177.5513;4.282907;37.70458;367.9575;33.1297
4.163906;4.283062;177.915;4.310187;38.55094;367.9556;33.25143
4.159669;4.278694;176.7137;4.300188;37.79516;367.9519;32.66377
4.096763;4.21305;176.8412;4.232563;37.37961;367.95;32.9074
4.161581;4.281113;177.6875;4.304469;38.09455;367.9444;33.08787
4.098375;4.214906;176.9413;4.242343;37.43837;367.9425;32.9886
4.08825;4.204331;176.4125;4.221125;37.48227;367.9388;32.70122
4.167975;4.286006;176.755;4.310656;37.94664;367.9388;32.69629
4.1703;4.288894;177.4337;4.308625;38.06192;367.9369;33.0469
4.090256;4.205812;176.5087;4.226844;37.53417;367.935;32.84853
4.168744;4.287375;176.8188;4.310562;37.85202;367.935;32.7706
4.158;4.276875;176.7575;4.296094;37.89338;367.935;32.64271
4.127606;4.244719;178.8725;4.263281;37.17845;367.9256;33.22453
4.161581;4.280156;176.7175;4.301969;37.76144;367.9256;32.86628
4.157981;4.277006;176.7375;4.297344;37.8933;367.92;32.77979
4.086356;4.203019;176.3425;4.217906;37.51484;367.9088;32.67649
4.169738;4.288463;176.9413;4.317656;37.84017;367.905;32.66705
4.170881;4.288837;177.2238;4.314125;37.91455;367.8994;32.82007
4.166062;4.284094;176.7375;4.308437;37.96011;367.8937;32.67322
4.171219;4.289775;177.385;4.311344;38.05559;367.8825;33.05714
4.114969;4.231969;178.1688;4.252187;37.40612;367.875;32.91235
4.138312;4.255106;177.0225;4.278219;37.72212;367.8525;32.96066
4.1628;4.282312;177.7825;4.305594;38.1269;367.8525;33.13774
4.166156;4.28505;177.6237;4.3055;37.9256;367.8337;32.94378
4.167075;4.283569;176.675;4.30625;37.97276;367.8319;32.55301
4.162894;4.281881;177.7438;4.304125;38.0451;367.8319;33.27962
4.115625;4.231856;178.2762;4.250125;37.45139;367.83;32.79837
4.166738;4.286906;176.8737;4.312875;38.32645;367.83;32.9876
4.168181;4.28655;177.5362;4.316844;38.78299;367.8262;32.83963
4.115175;4.230844;178.0175;4.249844;37.44667;367.8225;32.98132
4.165781;4.284;176.5275;4.307469;38.04795;367.8188;32.63416
4.158019;4.276388;177.85;4.307781;38.81787;367.815;32.76003
4.169588;4.288013;177.4688;4.314969;38.09704;367.815;32.87444
4.159631;4.280644;177.215;4.295969;37.53384;367.8131;32.9108
4.164;4.283513;177.8313;4.309813;38.38428;367.8112;33.22864
4.138688;4.255406;177.3188;4.277969;37.73333;367.8094;32.95743
4.140225;4.256569;177.0887;4.278219;37.74178;367.7981;32.9577
4.143919;4.2597;177.505;4.280687;37.72482;367.7981;33.21463
4.161694;4.282031;177.1225;4.298969;37.52104;367.7962;32.97078
4.140956;4.256906;177.365;4.277812;37.73062;367.7944;33.06873
4.128112;4.244587;178.9362;4.266969;37.18041;367.7944;33.20526
4.168331;4.286494;176.5137;4.312031;38.08714;367.7944;32.9131
4.164375;4.283869;177.8938;4.309719;38.2632;367.7944;33.17489
4.087088;4.203;176.35;4.222625;37.57452;367.7925;32.65281
4.170487;4.28925;176.865;4.314594;37.85166;367.7925;32.75341
4.141125;4.258031;177.4438;4.281406;37.71018;367.7906;33.12555
4.162087;4.279725;177.7088;4.306781;38.60404;367.7831;32.83498
4.164656;4.283344;176.6375;4.305938;37.99938;367.7813;32.61621
4.136906;4.254131;176.9725;4.275281;37.73968;367.7794;32.98748
4.117162;4.233488;178.3325;4.256094;37.36679;367.7794;32.89728
4.14345;4.260506;177.725;4.285187;37.73159;367.7644;33.12238
4.155713;4.275581;176.755;4.300781;37.71805;367.7625;32.65899
4.164787;4.283119;176.6438;4.306844;38.02025;367.7606;32.60754
4.159968;4.279593;176.685;4.311469;39.13906;367.7606;32.73508
4.160963;4.281169;176.9263;4.302032;37.56172;367.7588;33.01941
4.162162;4.282425;177.0213;4.301687;37.54082;367.7588;32.92615
4.126725;4.243444;178.8038;4.265969;37.18299;367.755;33.33403
4.1637;4.283044;177.9588;4.31225;38.65094;367.755;33.20919
4.170562;4.289981;177.31;4.312593;38.02613;367.7494;32.79329
4.15995;4.279162;176.845;4.310937;39.17694;367.7494;32.7179
4.160644;4.278038;177.8112;4.305562;38.57711;367.7475;32.63558
4.163231;4.283062;177.97;4.310719;38.62381;367.7475;33.28665
4.161937;4.281394;177.0663;4.296187;37.56562;367.7456;32.8995
4.139681;4.255819;177.26;4.276937;37.6816;367.7437;32.93744
4.127869;4.245056;179.0462;4.262813;37.29958;367.74;33.30819
4.164037;4.283194;177.63;4.315875;39.06186;367.7306;32.78952
4.161562;4.280663;176.7437;4.313594;39.1372;367.7306;32.75407
4.166213;4.284994;176.5663;4.310219;38.1379;367.7213;32.75031
4.166718;4.285894;176.9125;4.311719;38.27896;367.7175;32.96484
4.157794;4.278731;176.8375;4.301969;37.70518;367.7137;32.75566
4.167319;4.285612;176.5338;4.312375;38.07338;367.71;32.68143
4.160456;4.279912;177.4088;4.298063;37.56097;367.7081;33.05677
4.129331;4.245675;179.2487;4.262844;37.31846;367.7044;33.37266
4.164375;4.283419;176.9575;4.310062;38.26662;367.7044;32.97376
4.161525;4.282031;177.7238;4.302625;38.09636;367.7044;33.08657
4.143656;4.260169;177.9512;4.284875;37.68704;367.7025;33.23141
4.159462;4.277025;177.81;4.306437;38.66416;367.7025;32.70907
4.160869;4.280812;176.8225;4.314625;39.15448;367.7025;32.77703
4.164881;4.284244;176.84;4.308563;38.52955;367.7006;32.74554
4.160156;4.280138;176.8688;4.298438;37.58245;367.6988;32.94513
4.15905;4.276256;177.8513;4.308687;38.83718;367.695;32.83485
4.167131;4.285838;177.6987;4.325;39.74395;367.6875;32.94263
4.165481;4.28595;176.8675;4.311687;38.53126;367.6819;32.73856
4.158825;4.277569;176.8525;4.312312;39.5597;367.68;32.61569
4.167356;4.286925;176.6025;4.320563;39.00574;367.6781;32.90715
4.119;4.235682;178.4475;4.252531;37.23284;367.6762;32.92157
4.158375;4.278637;176.6575;4.301687;37.78012;367.6744;32.70623
4.125881;4.242581;178.67;4.261312;37.25276;367.6669;33.23347
4.161019;4.281731;177.8938;4.304219;38.32573;367.6669;32.84153
4.175475;4.296863;177.5887;4.3225;38.45736;367.665;32.70247
4.168031;4.286438;177.645;4.319906;39.20721;367.6631;32.91279
4.166944;4.285931;176.855;4.312656;38.4921;367.6613;32.90831
4.166306;4.286888;176.8288;4.316813;38.57296;367.6594;32.74439
4.1589;4.2786;176.6825;4.297438;37.80111;367.6594;32.63216
4.161075;4.281581;177.6325;4.297969;37.54604;367.6594;32.96036
4.165537;4.283906;177.6575;4.305532;38.08003;367.6556;32.7834
4.083281;4.199344;176.265;4.222969;37.50901;367.6519;32.78285
4.160531;4.277944;177.8512;4.311719;38.8327;367.65;32.87424
4.160007;4.277475;177.8062;4.30975;38.82219;367.6425;32.83783
4.167543;4.287169;177.675;4.319438;39.2604;367.6406;32.85077
4.157231;4.277231;176.7025;4.296781;37.76954;367.6387;32.60572
4.122862;4.239637;178.57;4.258344;37.28281;367.6331;33.11216
4.167919;4.287488;176.8375;4.312875;38.32396;367.6294;32.96434
4.166363;4.284937;177.5437;4.312125;38.52086;367.6237;32.86168
4.163831;4.283719;176.98;4.305532;37.69861;367.6237;33.05929
4.173563;4.294406;177.625;4.321719;38.55806;367.6219;32.55638
4.081444;4.197281;176.2737;4.230781;38.73969;367.62;32.55635
4.128412;4.244775;179.145;4.262938;37.29999;367.62;33.25378
4.170169;4.287956;176.57;4.314625;38.10832;367.62;32.8518
4.167956;4.28655;176.8412;4.312781;38.32911;367.6162;33.02061
4.085006;4.201387;176.3062;4.225344;37.46595;367.6125;32.79276
4.177612;4.298625;177.615;4.325969;38.43373;367.6087;32.90079
4.136344;4.25325;176.8938;4.274062;37.89011;367.6031;32.98406
4.167806;4.286775;176.6763;4.314938;39.08286;367.6031;32.81582
4.156275;4.276988;176.7475;4.300063;37.72056;367.6031;32.71789
4.168313;4.287019;176.6687;4.317937;39.03876;367.6013;32.71678
4.167844;4.286963;177.7325;4.320969;39.20271;367.6013;32.82355
4.163343;4.283175;176.9775;4.303531;37.61573;367.6013;33.03101
4.166719;4.2852;177.6162;4.32175;39.6591;367.5994;32.85032
4.162838;4.282087;176.955;4.300469;37.63663;367.5975;32.90944
4.163025;4.281994;178.0663;4.30725;38.57214;367.5919;33.25753
4.167525;4.286569;176.8663;4.314031;38.59632;367.5919;32.78298
4.160381;4.277587;177.7025;4.308063;38.65866;367.59;32.83063
4.164131;4.284225;177.1062;4.296781;37.64687;367.59;33.12321
4.15875;4.2783;176.655;4.301031;37.85163;367.59;32.59921
4.164487;4.284338;176.9825;4.307312;38.70547;367.5881;32.78876
4.160269;4.277831;177.8775;4.30775;38.87237;367.5769;32.87579
4.14375;4.260188;177.7875;4.285156;37.65322;367.575;33.04551
4.143431;4.260262;177.8737;4.27975;37.66455;367.575;33.10163
4.165237;4.284919;176.8913;4.314219;38.31675;367.575;33.03265
4.16895;4.287656;176.56;4.316563;38.44741;367.5731;32.75502
4.159612;4.280269;177.385;4.298063;37.57724;367.5731;32.9777
4.159781;4.279631;177.28;4.296344;37.52549;367.5619;32.94238
4.166981;4.285331;177.59;4.323094;39.55588;367.56;32.8181
4.174237;4.295063;177.5938;4.316969;38.53181;367.56;32.58411
4.167637;4.285838;177.705;4.321563;39.04693;367.5581;32.81399
4.156275;4.27605;176.6138;4.297719;38.30698;367.5563;32.61604
4.177312;4.298438;177.5688;4.321562;38.45221;367.5562;32.79615
4.165462;4.283906;177.4288;4.31175;38.67634;367.5506;32.89433
4.158262;4.277869;176.6425;4.297094;37.90739;367.5488;32.55925
4.161656;4.279313;177.7375;4.308594;38.54013;367.5469;32.95005
4.168987;4.286531;176.7775;4.318531;38.98618;367.545;32.79198
4.162706;4.281919;178.0762;4.308469;38.65884;367.5356;33.14244
4.129519;4.245994;179.285;4.267094;37.33937;367.5319;33.42455
4.159163;4.276706;177.8438;4.306625;38.75863;367.5319;32.81206
4.160269;4.279781;177.3825;4.299687;38.24547;367.5319;32.92847
4.173281;4.294387;177.5863;4.318656;38.60953;367.53;32.49462
4.161937;4.280138;177.76;4.308625;38.51088;367.5262;32.87144
4.167037;4.285256;177.5825;4.309968;38.48005;367.5262;32.92486
4.158581;4.277587;176.9238;4.311594;39.555;367.5262;32.69747
4.121813;4.237931;178.4787;4.256344;37.27206;367.5225;33.09893
4.159031;4.276106;177.89;4.30475;38.88436;367.5225;32.62244
4.164375;4.284225;177.1563;4.300594;37.76952;367.5225;33.08209
4.131169;4.246856;176.8725;4.276813;38.37956;367.5206;32.56463
4.165725;4.285744;176.8737;4.305969;38.57164;367.5187;32.73743
4.177406;4.297969;177.65;4.325469;38.45132;367.5187;32.79072
4.142625;4.259812;178.0387;4.289125;37.77031;367.5169;33.2178
4.164863;4.284338;177.455;4.310562;38.66069;367.5169;32.7937
4.143638;4.259775;178.0912;4.280969;37.74779;367.515;33.31911
4.174313;4.295344;177.6662;4.322437;38.41291;367.5131;32.68847
4.162031;4.279875;177.7063;4.307656;38.53636;367.5094;32.86982
4.165594;4.284731;176.8425;4.312313;38.5112;367.5075;32.74925
4.163062;4.282256;178.0537;4.30125;38.04662;367.5075;33.01905
4.186819;4.308075;177.4212;4.329594;38.58936;367.5075;32.65847
4.161263;4.281544;177.955;4.301875;38.08714;367.5038;32.95532
4.166062;4.283456;177.46;4.312656;38.74455;367.5019;32.88079
4.163475;4.282725;177.0475;4.308437;38.70115;367.5;32.64586
4.161862;4.2816;177.53;4.301875;37.59272;367.5;32.97952
4.174687;4.29525;177.6;4.319219;38.4343;367.5;32.60748
4.16715;4.285481;177.715;4.320063;39.15523;367.4962;32.86184
4.175306;4.296881;177.6263;4.319375;38.51994;367.4962;32.70267
4.174106;4.295419;177.62;4.320469;38.50615;367.4925;32.48171
4.158037;4.275056;177.875;4.298375;38.29683;367.4887;32.62173
4.157213;4.274269;177.8463;4.304313;38.84579;367.4887;32.69049
4.166138;4.284544;177.4538;4.315125;38.80044;367.4887;32.82228
4.166325;4.287169;176.9037;4.313594;38.58569;367.4887;32.78312
4.131131;4.247663;179.3825;4.270312;37.2824;367.4869;33.46072
4.159369;4.276744;177.7775;4.305844;38.56617;367.4869;32.7721
4.167337;4.285406;177.5825;4.321281;39.05721;367.485;32.79077
4.167356;4.28565;177.4775;4.312906;38.98915;367.485;32.94768
4.169962;4.290394;177.5238;4.318937;38.86902;367.485;32.46767
4.161562;4.2822;177.8112;4.309031;38.6029;367.4831;32.92731
4.162612;4.281694;177.4713;4.320656;39.84539;367.4813;32.68687
4.164544;4.283494;177.64;4.316375;39.06837;367.4756;32.7155
4.156031;4.275938;176.6125;4.308687;38.99195;367.4738;32.46238
4.173563;4.294463;177.5788;4.320969;38.6212;367.4719;32.48758
4.167525;4.284788;177.545;4.311718;38.68006;367.4681;32.90033
4.081219;4.196419;176.2675;4.229406;38.83696;367.4644;32.77502
4.168556;4.285931;177.6113;4.319531;39.03315;367.4644;32.89431
4.16685;4.284694;177.5087;4.310812;38.6509;367.4644;32.80491
4.081313;4.196569;176.2688;4.228781;38.88062;367.4625;32.56661
4.1634;4.28325;178.1188;4.312969;38.74634;367.4606;33.19415
4.161637;4.280775;177.5038;4.29925;37.56911;367.4606;33.10233
4.1667;4.285875;177.6275;4.309156;37.92274;367.4587;32.92375
4.161656;4.28175;177.3013;4.307469;38.10654;367.4587;33.04628
4.167037;4.285125;177.5488;4.318687;38.75702;367.455;32.94038
4.165781;4.284094;177.6563;4.315;39.02683;367.4531;32.76662
