K5F5.PV;K5F6X.PV;K5T16.PV;K5T15.PV;K5T17.PV
37.19043;30.75149;97.12937;123;133.0387
37.27847;30.76881;97.09813;122.9863;133.0087
37.25746;30.89588;97.1425;122.9588;133.1756
37.33546;30.77374;97.1775;122.955;133.2988
37.33597;30.86159;97.13125;122.95;133.1531
37.39602;30.87046;97.1875;122.9475;133.3231
37.16654;30.80309;97.115;122.9475;133.065
37.16693;30.82212;97.08125;122.94;132.9306
37.226;30.87122;97.09688;122.9362;132.995
37.28868;30.91151;97.145;122.9212;133.2294
37.14855;30.85716;97.07188;122.9175;132.9175
37.3576;30.76514;97.13812;122.9163;133.245
37.11133;30.84143;97.04875;122.9113;132.8575
37.18668;30.80475;97.13438;122.9063;132.9837
37.54296;30.94117;97.16938;122.905;133.3825
37.12872;30.84373;97.09688;122.9013;132.8913
37.19448;31.00829;97.05;122.9;132.8325
37.27342;30.84167;97.10625;122.8988;133.1163
37.49835;30.89063;97.17375;122.8975;133.4612
37.63889;31.03624;97.18875;122.8712;133.2131
37.08878;30.93371;97.04688;122.8688;132.86
37.17596;31.02365;97.03938;122.8688;132.8169
37.52612;31.11527;97.17875;122.865;133.535
37.57182;31.02226;97.19813;122.865;133.4962
36.60509;31.14923;97.325;122.865;133.3369
37.09974;30.90885;97.03313;122.8625;132.7563
37.61303;30.98699;97.20875;122.8587;133.6013
37.69184;31.08859;97.15875;122.8575;133.0156
36.75404;31.17496;97.2375;122.855;133.275
36.58564;31.13644;97.30187;122.8538;133.3381
37.57562;31.24069;97.21125;122.85;133.2094
37.58266;31.02877;97.19188;122.8412;133.5619
37.55245;30.94026;97.1825;122.8363;133.4287
36.1454;31.21455;97.35;122.8337;133.3325
37.00679;30.98936;97.2225;122.8313;133.59
37.70015;30.97789;97.15688;122.8313;133.0438
36.07408;31.2753;97.38313;122.8312;133.3544
37.13597;31.06418;97.01812;122.83;132.7875
36.14801;31.18524;97.33875;122.8288;133.3388
37.55149;31.03207;97.05437;122.8237;132.8106
36.58184;31.24467;97.255;122.82;133.3225
37.68817;31.06109;97.09312;122.82;132.9656
37.59621;31.03278;97.2;122.8187;133.5737
37.66153;30.99989;97.07625;122.8175;132.9263
36.75615;31.20054;97.22875;122.8163;133.2538
36.14741;31.20131;97.3775;122.815;133.3269
37.62154;30.90461;97.03625;122.8125;132.7875
36.54884;31.0523;97.26437;122.8112;133.3294
37.62328;30.81428;97.03125;122.8087;132.7144
36.39728;31.0787;97.19125;122.8037;133.55
37.62812;30.95231;97.15813;122.8037;133.1488
37.01086;31.08084;96.99375;122.8012;132.7244
37.11211;31.18858;96.995;122.8;132.7331
36.60348;31.28154;97.2425;122.7988;133.3069
36.61943;31.01604;97.275;122.795;133.3262
