K0P102_1.PV;K5T16.PV
4.055912;93.19927
4.053165;93.20729
4.059309;93.22021
4.046163;93.23073
4.061491;93.24989
4.066362;93.28083
4.039975;93.29573
4.070219;93.35125
4.033953;93.365
4.030531;93.47031
4.073906;93.51063
4.0303;93.53354
4.029825;93.58573
4.031044;93.59906
4.031703;93.60406
4.038194;93.61406
4.045372;93.62156
4.054031;93.65698
4.061565;93.68063
4.014738;93.73511
4.011316;93.7376
4.067316;93.74229
4.011769;93.74854
4.014128;93.77073
4.070775;93.79427
4.015491;93.79656
4.011994;93.81062
4.024244;93.81364
4.079841;93.81573
4.025234;93.82708
4.0252;93.82958
4.075831;93.83365
4.016891;93.83385
4.023631;93.84531
4.021566;93.84729
4.017387;93.86667
4.021444;93.86687
4.020659;93.8776
4.01385;93.88416
4.021703;93.89281
4.08174;93.90073
4.020165;93.90489
4.022197;93.91458
4.021856;93.92094
4.020662;93.94
4.014544;93.94625
4.020813;93.94635
4.018806;93.95563
4.020988;93.9649
3.997234;93.97063
3.996522;93.97906
4.087931;93.98115
4.02284;93.98417
4.003084;93.98646
4.023691;93.9875
4.027619;93.98979
4.016309;93.9925
3.992766;93.99261
4.014022;93.99709
4.026041;93.99958
4.023862;94.00323
4.027444;94.00656
3.99755;94.01323
4.012622;94.01791
4.000863;94.01875
4.02505;94.01885
3.990697;94.02
3.997881;94.02198
4.030622;94.02396
3.991338;94.02458
4.011459;94.03062
4.012722;94.03146
4.005131;94.03188
3.985819;94.03188
4.028306;94.03854
4.023997;94.03989
3.995978;94.04
4.021237;94.04011
3.98395;94.04271
4.093947;94.0499
4.000219;94.05458
3.995125;94.06094
3.995025;94.06718
3.98215;94.06781
4.030347;94.06865
4.028734;94.07166
4.029232;94.07208
4.024525;94.07396
4.010365;94.07771
4.030681;94.08188
4.027994;94.08198
4.01005;94.085
3.990416;94.08844
4.024737;94.09583
4.01045;94.09657
4.026978;94.10042
4.02395;94.10156
3.994737;94.10281
4.022125;94.10365
4.083731;94.10448
3.997256;94.1049
3.998091;94.10812
4.000747;94.11052
3.986844;94.11083
4.012672;94.11125
4.019206;94.11948
3.999272;94.1225
4.02215;94.13125
4.099006;94.13396
4.000109;94.13417
4.010037;94.13427
3.994297;94.13448
4.000191;94.13906
4.027819;94.13917
3.995075;94.14198
4.023828;94.14344
3.998753;94.14365
4.034213;94.14521
3.994212;94.14531
3.997972;94.14573
4.002003;94.14698
3.992791;94.14739
4.028806;94.15115
4.020928;94.15844
4.020966;94.15916
3.99455;94.15927
3.998153;94.16
4.004056;94.16198
4.024406;94.16333
4.023528;94.16458
3.988822;94.16656
4.010572;94.1674
4.001438;94.16854
4.000969;94.16896
3.989481;94.1699
4.018831;94.17125
3.998706;94.1751
4.013144;94.17886
4.034756;94.17896
4.0173;94.17917
3.996044;94.18073
4.004094;94.1824
3.994863;94.18365
4.031975;94.18667
4.007997;94.18885
4.023053;94.18886
3.994647;94.19083
3.999397;94.19167
3.990106;94.19292
4.024825;94.19469
4.028222;94.19614
4.041172;94.19833
4.007837;94.20156
4.020428;94.20333
3.988875;94.20375
3.999716;94.20541
4.004284;94.20677
4.030781;94.21136
4.013369;94.21188
4.046362;94.21521
3.996272;94.21781
3.995159;94.21906
4.10466;94.21938
4.026722;94.22031
4.023669;94.22073
4.002512;94.22104
4.03645;94.225
4.027128;94.22625
4.004694;94.22625
4.019837;94.22813
4.010441;94.22823
4.026297;94.23073
3.998338;94.23219
4.015044;94.23281
3.996409;94.23292
4.021306;94.23438
4.017365;94.23594
4.021656;94.23605
4.024334;94.23833
3.99715;94.23844
4.027259;94.24125
3.998147;94.24521
4.021481;94.24562
4.005797;94.24604
4.019094;94.24834
3.993156;94.25011
4.018519;94.25083
4.011497;94.25166
4.019175;94.25302
4.103787;94.25531
3.988978;94.25781
4.028641;94.25906
4.015294;94.25916
4.025591;94.26187
3.995069;94.26375
4.047347;94.26406
4.019778;94.26406
4.030594;94.26469
3.9998;94.26479
4.10285;94.26583
4.026041;94.26677
4.010588;94.26708
3.998309;94.26719
4.024113;94.27208
4.026609;94.27312
4.000147;94.27427
4.103209;94.27521
4.030181;94.27531
4.021322;94.27834
4.106122;94.27917
4.022144;94.28407
3.991166;94.28615
4.030015;94.28625
4.015128;94.28719
4.110163;94.29041
4.002872;94.29063
4.024028;94.29094
4.098509;94.29115
4.008456;94.29125
4.040594;94.29166
4.023516;94.29302
4.034263;94.29427
4.013191;94.29688
4.043997;94.29719
4.113684;94.29854
4.039475;94.29885
4.025231;94.29938
4.026566;94.30115
4.117828;94.30229
4.027125;94.30542
4.016497;94.30594
4.001116;94.30625
4.085972;94.30968
4.015294;94.31208
3.997447;94.31479
4.105469;94.3149
4.110806;94.3151
4.0205;94.31969
3.995781;94.32219
4.000437;94.32281
4.024753;94.32302
3.996794;94.32302
4.026816;94.32344
4.120469;94.32594
4.129638;94.32739
4.027341;94.32771
4.023266;94.32822
3.993731;94.32844
3.991425;94.3301
4.094409;94.3301
4.016013;94.3327
4.033634;94.33312
4.125328;94.33312
4.013853;94.33334
4.045922;94.33385
4.014613;94.33417
4.000378;94.33594
3.989606;94.33666
4.106831;94.33948
4.114075;94.34052
4.040494;94.34187
4.023544;94.34292
4.049659;94.34312
4.108912;94.34333
4.016247;94.34364
4.007847;94.34552
4.014491;94.34573
4.120687;94.34729
4.025256;94.3475
4.107184;94.34823
4.013853;94.34843
4.030931;94.35156
4.106784;94.35291
4.01306;94.35365
4.014963;94.35406
4.028194;94.35542
4.015359;94.35573
4.002344;94.35646
4.015972;94.35719
4.093159;94.35729
4.024684;94.35854
3.997013;94.35896
4.122022;94.35989
4.134162;94.36042
4.121356;94.36052
4.032353;94.36115
4.021944;94.36208
4.022216;94.36292
3.997322;94.36459
4.109744;94.36531
4.034325;94.36594
4.012806;94.36625
4.020072;94.36854
4.030534;94.36864
4.020194;94.36938
4.118688;94.37
4.011;94.37156
4.030641;94.37312
4.012034;94.37365
3.998753;94.37386
4.014487;94.37604
4.045741;94.37927
4.097113;94.37959
4.006994;94.38031
4.103675;94.3825
4.100697;94.38261
4.067522;94.38291
4.023297;94.38375
4.065553;94.38385
3.991378;94.38698
4.110347;94.3875
4.029469;94.38844
4.025278;94.38854
4.139362;94.39146
3.995116;94.39208
4.025819;94.39271
4.027012;94.39323
4.042363;94.39594
4.010259;94.39615
4.106103;94.39792
4.01439;94.39833
4.066872;94.39854
4.014928;94.39886
4.019778;94.40104
4.03225;94.40166
4.102156;94.40166
4.01509;94.40323
4.103431;94.40396
4.008778;94.40511
4.011288;94.4052
4.117166;94.40573
4.067056;94.40594
4.019172;94.40646
4.024719;94.40677
4.016647;94.4101
4.02535;94.41021
4.085331;94.41052
4.077719;94.41209
4.014519;94.41209
4.102497;94.41209
4.029516;94.41239
4.077316;94.4125
4.102262;94.41281
4.004359;94.41333
4.009778;94.41448
4.013997;94.41552
4.10221;94.41708
4.02671;94.4174
3.990512;94.41782
4.009906;94.41823
4.023572;94.41885
4.063181;94.41959
4.017897;94.4202
3.991522;94.42385
4.0335;94.42531
4.026097;94.42667
4.018387;94.42719
4.00204;94.42823
4.083025;94.43083
4.021719;94.43125
4.018715;94.43146
4.066241;94.43198
4.07635;94.43313
4.08641;94.43521
4.029353;94.43531
4.020778;94.43573
4.002397;94.43584
4.002812;94.43636
4.089528;94.43667
4.024472;94.43708
4.10265;94.43781
4.113994;94.43823
3.995072;94.43833
4.047537;94.43854
4.029653;94.43927
4.080481;94.4401
4.01585;94.44032
4.087434;94.44125
4.108656;94.44135
4.033456;94.4424
4.143403;94.4426
4.032581;94.44344
4.014447;94.44375
4.001281;94.44469
4.013456;94.4475
4.019653;94.44896
4.044519;94.45042
4.023747;94.45062
4.018181;94.45156
4.080322;94.45333
4.036566;94.45354
4.014563;94.45417
4.020338;94.45469
4.000885;94.455
4.020362;94.45552
4.079834;94.45563
4.002816;94.45802
4.064231;94.45875
4.0518;94.45927
4.044162;94.46
4.078638;94.46198
4.004594;94.46291
4.013819;94.46302
4.05336;94.46354
4.097494;94.46416
4.012931;94.46448
4.014047;94.46479
4.032216;94.46562
4.030491;94.46677
4.065428;94.46719
4.025753;94.46729
4.016763;94.4675
4.019372;94.4675
3.999716;94.4677
4.017637;94.46948
4.005015;94.4698
4.015222;94.4698
4.022615;94.4701
3.989828;94.47406
4.017763;94.47542
4.026891;94.47761
4.021203;94.47761
4.064688;94.47823
4.10004;94.47896
4.016884;94.47916
4.009731;94.48125
4.098569;94.48135
4.041934;94.4827
4.013228;94.48396
4.081981;94.48427
4.000172;94.48427
4.050681;94.48438
4.028838;94.48438
3.989662;94.48541
3.989375;94.48541
4.009553;94.48583
4.072875;94.48666
4.142753;94.48719
4.015669;94.48813
4.008272;94.48906
4.098166;94.48917
4.045322;94.48959
4.022716;94.4899
4.01901;94.49052
4.037531;94.49094
4.0397;94.49208
4.026834;94.49208
4.012047;94.49239
4.079544;94.49271
4.017634;94.49385
3.990313;94.49667
4.025881;94.49718
4.080587;94.4975
4.107106;94.49792
4.114294;94.49937
4.026428;94.49948
4.083606;94.50105
4.010422;94.50114
4.027716;94.50282
4.0658;94.50313
4.101263;94.505
4.096328;94.50521
4.072216;94.50687
3.989572;94.50708
4.017944;94.50792
4.028472;94.50813
4.003947;94.50833
4.066206;94.50844
4.047006;94.50916
4.02244;94.51073
4.078847;94.51104
4.013328;94.51104
4.063119;94.51115
4.003341;94.51146
4.064184;94.51292
4.012666;94.51323
4.076219;94.51334
4.065509;94.51344
4.073172;94.51417
4.024844;94.51427
4.025378;94.51479
4.020837;94.51511
4.063828;94.51625
4.016294;94.51688
4.029575;94.51698
4.013622;94.51698
4.02181;94.51885
4.080534;94.51896
3.996072;94.51896
4.014322;94.51927
4.007935;94.51958
4.081553;94.52021
4.014537;94.52261
3.996003;94.52302
4.009812;94.52312
4.022644;94.52323
4.05025;94.52344
4.023866;94.52396
4.096634;94.52406
4.033653;94.52594
4.011844;94.52604
4.043466;94.52604
4.024156;94.52688
4.034147;94.5274
4.056072;94.5275
4.027647;94.52792
4.032822;94.52854
4.022328;94.52875
4.0409;94.5299
4.031006;94.53031
4.017347;94.53146
4.045797;94.53261
4.030744;94.53333
4.045219;94.53333
4.024194;94.53354
4.016453;94.53365
4.069422;94.53448
4.081378;94.53687
4.055347;94.53709
4.083919;94.53771
4.110569;94.53854
4.014725;94.54104
4.023781;94.54156
4.075172;94.5425
4.002731;94.54354
4.009891;94.54396
4.0805;94.54396
4.027456;94.54469
4.063238;94.5449
4.07999;94.54552
4.002816;94.54636
4.012747;94.54739
4.096787;94.54813
4.063978;94.54833
4.083706;94.54906
4.023075;94.55083
4.018047;94.55104
4.039094;94.55229
4.063888;94.55312
4.0961;94.55365
4.009597;94.55521
4.059647;94.55542
4.142516;94.55563
4.013566;94.55646
4.018647;94.55656
4.019941;94.55666
4.01054;94.55698
4.014215;94.5576
4.014525;94.55771
4.028428;94.55791
4.037472;94.55833
4.003447;94.55844
4.024516;94.56094
4.058103;94.56239
4.019947;94.56563
4.031528;94.56698
4.105072;94.56718
4.048494;94.56729
4.080922;94.56781
4.016387;94.56886
4.022297;94.56896
4.094322;94.56959
3.993319;94.57
4.067147;94.57094
4.0949;94.57188
4.009912;94.57198
4.062847;94.57313
4.077991;94.57323
4.06025;94.57438
4.045019;94.5749
4.026656;94.5749
4.067;94.57531
4.030816;94.57594
4.016665;94.57625
3.992775;94.57656
4.064819;94.57667
4.022981;94.5774
4.097022;94.57844
4.065547;94.57854
4.067069;94.57854
4.066541;94.57916
4.083128;94.57927
4.016056;94.5798
4.006784;94.58052
4.008275;94.58083
4.029981;94.58167
4.042169;94.58188
4.101685;94.58188
4.103872;94.58312
4.028525;94.58334
4.105472;94.58344
4.081488;94.58448
4.068094;94.58479
3.996622;94.5849
3.989963;94.58542
4.0483;94.58594
4.049794;94.58594
4.071712;94.58667
4.079919;94.58698
4.014441;94.58698
4.060347;94.58719
4.024747;94.5875
4.007638;94.58844
4.022772;94.58865
4.013672;94.58907
4.104841;94.58938
4.009434;94.58958
4.108434;94.58979
4.018506;94.59021
4.073731;94.59062
4.054915;94.59062
4.007394;94.59093
4.071516;94.59261
4.011584;94.59302
4.017572;94.59344
4.092372;94.59427
4.025163;94.59594
