K5PS14_2.PV;K5T6.PV;K5P10.PV;K5LCV1I.PV;K5F5.PV;K5T14.PV;K5TCV2I.PV;K5F6X.PV;K5T15.PV;K5P8.PV;K5T17.PV
4.259794;178.5675;4.289844;54.09594;38.90475;367.2056;41.66125;33.30684;121.7162;3.980438;134.5094
4.258856;178.6512;4.294219;54.1025;38.99438;367.1006;41.67375;33.40962;121.7838;3.977006;134.5038
4.260787;178.4837;4.294188;55.11031;38.85345;367.2863;41.69344;33.34519;121.7487;3.977644;134.5006
4.257375;178.6438;4.289531;54.12688;38.9774;367.0031;41.69344;33.3611;121.8438;3.971625;134.5006
4.25685;178.7125;4.292813;54.12656;38.98859;366.96;41.70844;33.26166;121.8675;3.979706;134.495
4.261894;178.4325;4.289813;54.60094;38.54652;367.2225;41.6825;33.46593;121.64;3.9834;134.4944
4.257843;178.7087;4.290688;54.12875;38.95929;366.8756;41.68469;33.30221;121.885;3.988163;134.4694
4.262006;178.3788;4.291687;54.88094;38.46552;367.365;41.67219;33.36617;121.645;3.981188;134.4688
4.257881;178.6775;4.292;54.35719;38.972;366.8194;41.675;33.31991;121.92;3.9843;134.4312
4.260975;178.2563;4.289281;53.1775;37.76012;367.3631;41.67469;33.4368;121.5275;3.983419;134.4294
4.250006;179.665;4.276844;55.0175;38.63551;367.2638;41.67688;33.50348;122.34;3.972094;134.4206
4.259419;178.765;4.293468;55.03;38.91258;366.93;41.67406;33.37241;122.0338;3.973313;134.4075
4.259831;178.1913;4.282781;53.09;37.73333;367.2731;41.68156;33.36966;121.49;3.977175;134.4037
4.247663;179.3825;4.270312;52.75156;37.2824;367.4869;41.68312;33.46072;122.2675;3.974756;134.3894
4.250325;179.6113;4.278594;55.01937;38.65429;367.1963;41.66562;33.54231;122.345;3.969956;134.3862
4.2492;179.6925;4.278;55.02781;38.66031;367.1306;41.70156;33.61092;122.3812;3.967256;134.3794
4.248994;179.4688;4.273906;53.67656;37.88896;367.4006;41.68282;33.52673;122.355;3.968156;134.3781
4.259306;178.8;4.2975;55.02;38.86845;366.7313;41.69594;33.48543;122.0075;3.976856;134.3756
4.245994;179.285;4.267094;52.74562;37.33937;367.5319;41.66438;33.42455;122.2412;3.966975;134.375
4.258219;178.7787;4.298718;55.93375;39.16758;366.7219;41.6825;33.30902;122;3.983531;134.3669
4.259775;178.0912;4.280969;53.02375;37.74779;367.515;41.69094;33.31911;121.4975;3.9798;134.3563
4.245675;179.2487;4.262844;52.74219;37.31846;367.7044;41.70406;33.37266;122.2275;3.961969;134.3475
4.248113;179.7462;4.278156;55.02094;38.70736;366.99;41.6725;33.51841;122.4463;3.967088;134.3375
4.259812;178.0387;4.289125;52.70938;37.77031;367.5169;41.69156;33.2178;121.4538;3.979462;134.3237
4.244775;179.145;4.262938;52.74375;37.29999;367.62;41.7;33.25378;122.1375;3.962156;134.3156
4.2477;179.8087;4.273594;55.01281;38.70963;366.8644;41.68813;33.47045;122.4375;3.969431;134.3044
4.257206;178.8038;4.300031;56.23125;39.43198;366.5063;41.67406;33.27135;122.105;3.982781;134.3019
4.260169;177.9512;4.284875;52.71062;37.68704;367.7025;41.68094;33.23141;121.4;3.9792;134.2875
4.256137;178.8325;4.296938;56.22156;39.34974;366.4688;41.68;33.23983;122.0813;3.971775;134.2706
4.245056;179.0462;4.262813;52.75219;37.29958;367.74;41.68219;33.30819;122.09;3.972563;134.2688
4.244587;178.9362;4.266969;51.88438;37.18041;367.7944;41.67969;33.20526;122.1612;3.962063;134.2644
4.244719;178.8725;4.263281;51.39219;37.17845;367.9256;41.67625;33.22453;122.1738;3.9603;134.2619
4.2483;179.8663;4.274531;55.01156;38.69848;366.9244;41.69906;33.36482;122.5537;3.968794;134.2569
4.256212;178.7888;4.288844;56.22625;39.43528;366.4819;41.69156;33.19364;122.1963;3.975713;134.2369
4.260262;177.8737;4.27975;52.70281;37.66455;367.575;41.69125;33.10163;121.3913;3.976162;134.2325
4.243444;178.8038;4.265969;51.40125;37.18299;367.755;41.66938;33.33403;122.1588;3.960544;134.2188
4.248713;179.9;4.276937;55.01688;38.65882;366.9169;41.67094;33.33149;122.5438;3.96765;134.2031
4.242581;178.67;4.261312;51.40313;37.25276;367.6669;41.68281;33.23347;122.1038;3.967163;134.1969
4.260188;177.7875;4.285156;52.68344;37.65322;367.575;41.68656;33.04551;121.3812;3.979031;134.1719
4.255125;178.8175;4.289937;56.23812;39.40041;366.57;41.68687;33.1473;122.1775;3.977269;134.1681
4.239637;178.57;4.258344;51.39219;37.28281;367.6331;41.68281;33.11216;122.055;3.961519;134.1563
4.250268;179.9263;4.282938;55.0225;38.6682;367.1119;41.67844;33.47631;122.5113;3.969694;134.1525
4.256137;178.7913;4.295344;56.23438;39.4024;366.5719;41.69781;33.30017;122.1762;3.980081;134.1456
4.260506;177.725;4.285187;52.68282;37.73159;367.7644;41.67562;33.12238;121.375;3.979988;134.1156
4.237931;178.4787;4.256344;51.39812;37.27206;367.5225;41.67844;33.09893;122.0725;3.966788;134.1119
4.250869;179.935;4.280031;55.02125;38.63737;366.6225;41.66;33.35751;122.6025;3.966094;134.0981
4.235682;178.4475;4.252531;51.39781;37.23284;367.6762;41.66469;32.92157;122.0537;3.960975;134.0838
4.2576;178.7775;4.294469;56.235;39.50862;366.495;41.66625;33.16343;122.21;3.976144;134.0669
4.233488;178.3325;4.256094;51.39844;37.36679;367.7794;41.66906;32.89728;122.0188;3.952106;134.0612
4.260862;177.5513;4.282907;52.68344;37.70458;367.9575;41.67937;33.1297;121.355;3.978075;134.0556
4.258875;178.705;4.293906;56.22031;39.54132;366.4012;41.67656;33.23791;122.14;3.980569;134.0444
4.251506;179.945;4.282;55.45781;38.82552;366.6131;41.68469;33.15158;122.6263;3.972337;134.0287
4.231856;178.2762;4.250125;51.405;37.45139;367.83;41.69875;32.79837;121.9163;3.955538;133.9919
4.2597;177.505;4.280687;53.13594;37.72482;367.7981;41.68093;33.21463;121.3325;3.979556;133.9913
4.258388;178.7213;4.296844;56.22781;39.43658;366.3656;41.69031;33.17501;122.19;3.975487;133.9756
4.252162;179.9575;4.290031;56.16531;39.50022;366.6506;41.69094;33.23575;122.65;3.966375;133.9694
4.231969;178.1688;4.252187;51.40062;37.40612;367.875;41.68125;32.91235;121.9125;3.94725;133.965
4.258031;177.4438;4.281406;52.50406;37.71018;367.7906;41.67812;33.12555;121.35;3.982031;133.9469
4.252987;179.935;4.296719;56.23094;40.22277;366.6113;41.67125;33.30917;122.6438;3.976162;133.9388
4.2558;178.6788;4.293406;56.23219;39.47142;366.3319;41.685;33.32858;122.2588;3.97515;133.9238
4.230844;178.0175;4.249844;51.39656;37.44667;367.8225;41.71531;32.98132;121.9275;3.945244;133.9156
