K5PC5CH.OP;K5T5_2.PV;K5T18_1.PV;K5F3.PV
56.94969;766.2672;256.5502;3205.251
57.08807;769.3875;256.51;3213.3
57.12979;766.5328;256.3875;3204.649
57.0563;766.9677;256.3658;3233.081
57.02604;767.4068;256.3188;3209.393
57.13844;768.2864;256.316;3202.383
56.97521;768.6339;256.2883;3234.407
57.08839;766.874;256.2781;3212.827
56.9789;768.1516;256.2679;3231.383
57.29682;776.7443;256.2235;3281.15
57.13844;767.0682;256.1994;3206.241
57.13432;767.6625;256.1964;3216.294
57.01776;768.2432;256.1913;3210.417
57.0437;767.7;256.1871;3216.381
56.88323;767.1385;256.1752;3227.605
57.18469;768.5948;256.1704;3211.014
57.05437;768.4547;256.1642;3221.829
57.08287;767.501;256.1471;3208.142
57.0351;764.4542;256.1412;3174.572
57.0088;769.0989;256.1231;3222.499
56.94969;767.2193;256.1112;3228.313
57.04713;770.9318;256.1083;3214.784
56.97427;762.7537;256.1069;3202.452
57.00489;768.7136;256.0994;3216.886
57.11672;773.2537;256.0992;3227.404
56.51849;764.6177;256.0979;3178.725
57.14422;771.8557;256.096;3203.62
57.13255;767.9479;256.0844;3212.993
57.06786;765.1083;256.0821;3205.839
57.23396;770.9443;256.0794;3215.158
57.00099;765.2682;256.0758;3202.846
57.0238;768.5703;256.0754;3211.902
56.90792;768.3536;256.0623;3208.067
57.00427;769.0333;256.0537;3225.636
56.95005;769.8182;256.0431;3201.529
56.83771;764.6396;256.0429;3194.953
56.49469;760.1474;256.0233;3156.229
57.00151;769.5104;256.0006;3218.168
57.02875;765.5125;255.9992;3197.509
57.11693;769.0505;255.9965;3207.594
57.01141;765.9266;255.9952;3216.671
57.29724;772.7719;255.9937;3278.844
57.01906;770.7089;255.9931;3213.207
57.27266;770.4922;255.9877;3233.133
57.04589;768.1547;255.9829;3227.883
56.95318;768.6365;255.9827;3206.195
57.18943;768.9474;255.975;3218.616
57.0388;767.4328;255.9735;3206.247
56.98219;769.7818;255.969;3211.58
56.96047;765.6885;255.96;3198.476
57.23667;771.4948;255.9435;3239.908
57.16885;773.0318;255.9369;3271.916
57.03307;759.5328;255.9369;3172.836
57.01479;765.4531;255.9131;3168.728
57.22;771.988;255.9021;3238.012
56.37932;765.5547;255.9021;3179.504
