K5P6.PV;K5PC5CH.OP;K5T18_2.PV;K5T10_1.PV;K5T10_2.PV;K5P23.PV;K5P24.PV;K5P20.PV;K5T5_1.PV;K5T5_2.PV;K5T8_4.PV;K5T8_5.PV;K5T8_6.PV
1.653008;50.47416;98.88358;91.09779;103.6079;1.298635;1.424265;-724.3501;614.5725;748.4112;104.8376;113.1416;164.9
1.680137;52.43256;96.20809;47.29745;104.4599;1.315201;1.443824;-724.7084;610.7068;741.5828;107.3554;115.3896;166.7137
1.680123;53.06498;95.04833;52.59531;104.6744;1.288446;1.443438;-725.4376;606.9885;735.4639;110.6853;118.2074;167.9377
1.680142;52.99632;92.75892;21.58577;104.7029;1.294286;1.443027;-725.3129;607.7937;737.0858;109.8913;117.5873;167.744
1.681726;53.25539;92.28172;61.15227;102.4935;1.28583;1.444966;-725.3846;607.5529;737.7582;109.3481;117.1371;167.3322
1.450187;48.37173;91.97198;70.08797;102.0315;1.11054;1.244328;-750.1495;603.2587;730.4785;107.443;114.3497;162.7682
1.077578;36.85258;90.5033;70.75868;97.14286;0.8474337;0.9259838;-787.5515;587.3024;702.0958;97.90383;104.466;153.2236
1.346088;42.90452;90.16762;79.73933;99.6443;1.060635;1.159544;-759.7844;599.4517;719.4431;102.5734;109.9054;159.7413
1.326226;45.20169;90.14834;56.02581;99.87626;1.0207;1.136713;-764.1017;597.4421;723.0702;104.308;111.0371;159.6044
1.500175;47.80204;90.1197;92.0877;101.4007;1.161212;1.290856;-742.8526;605.3478;733.6957;106.0387;113.42;163.5674
1.478407;47.11663;89.96778;87.7432;100.9112;1.141577;1.270534;-745.1625;606.0927;733.9661;105.7454;112.9801;162.5846
1.05725;36.1285;89.49908;78.64793;95.17949;0.8248007;0.9081611;-790.2327;590.6537;704.5164;96.54318;102.8173;151.599
1.418568;46.26105;89.31502;93.52634;100.4519;1.099144;1.218998;-751.856;600.2525;726.696;104.8785;111.9558;162.0488
1.000132;35.88268;89.20448;76.45231;96.93317;0.7834011;0.8577213;-798.8347;587.0068;696.6699;97.73759;103.5581;150.3202
1.404643;47.17307;89.06949;77.51721;100.6086;1.071853;1.204608;-754.9962;599.4615;725.5964;106.3069;113.303;161.7437
1.249673;43.66445;88.77179;62.46776;98.43298;0.9501896;1.071973;-770.8814;595.1594;715.2402;104.2902;110.0291;157.2463
1.254193;43.48853;88.30469;65.20161;98.26917;0.9667628;1.073742;-771.0084;595.6254;719.2953;102.1948;108.8362;157.1005
1.019807;35.27369;88.15159;69.16283;94.38756;0.7922001;0.8747745;-795.2327;582.0524;693.2328;96.58276;102.855;151.341
1.19807;42.59916;87.94794;61.80501;97.69738;0.9097413;1.027023;-776.421;591.8496;710.7166;103.3751;108.894;155.8943
1.130473;38.15836;86.68684;71.71204;95.24959;0.88468;0.9738365;-783.7244;592.5671;703.6173;97.84831;103.7297;151.092
1.307856;45.07667;86.42978;67.96628;97.65414;0.9944122;1.121415;-766.2159;590.5095;712.7353;104.1135;110.5589;159.4677
1.128559;38.96835;86.39276;85.40832;97.39355;0.863307;0.9660742;-784.413;587.9185;704.5169;102.2725;107.9089;155.768
1.091813;37.31076;85.73611;64.55011;95.05842;0.8557959;0.9384281;-785.4112;593.5137;708.8804;96.616;103.2625;151.9617
1.050136;38.70781;85.6236;44.95024;96.24987;0.7969338;0.89856;-794.3612;582.4839;694.4846;101.3812;106.2842;152.8444
1.019804;37.7322;85.4298;55.20759;96.8218;0.7715686;0.873088;-797.0468;584.7006;694.7331;101.8662;106.6781;152.8027
1.100152;39.97833;85.35666;70.10346;96.45912;0.847315;0.9413428;-787.2715;590.0394;706.5898;100.1273;106.1444;153.3183
1.053364;39.18129;85.34171;56.93621;97.01694;0.7938148;0.9016559;-793.3522;581.1969;693.3649;102.741;107.5524;153.7993
1.069008;39.56374;85.14568;58.15538;96.58402;0.8067513;0.9153481;-791.0542;584.1838;697.9837;102.3935;107.3082;153.7161
1.06843;38.8069;85.07615;63.68466;94.96601;0.825215;0.9151977;-791.9146;587.3591;701.3203;98.35891;104.422;151.4369
0.9760652;35.38226;84.9436;39.17282;93.37101;0.7514307;0.8363534;-801.4638;585.4839;690.7155;97.35426;102.3315;149.1686
1.000128;36.22343;84.8729;73.00182;93.57274;0.7782946;0.8568913;-799.5569;585.5215;694.6959;96.60659;102.5452;149.6136
1.00562;36.88359;84.84446;39.58965;94.24794;0.7690055;0.8616209;-798.7379;585.4523;693.0939;98.84589;103.7511;150.2944
1.011684;38.22289;84.75747;66.48905;96.43643;0.7595685;0.8653567;-800.3823;576.239;686.825;102.9776;107.5155;153.1533
1.035822;38.589;84.68575;56.14299;97.00533;0.7813873;0.8866871;-795.3931;584.1301;696.1315;102.3042;107.0704;153.0864
1.048349;37.92285;84.608;71.86251;95.64438;0.7998515;0.897141;-794.7546;581.2401;693.297;100.0307;106.0687;153.3998
0.9039769;33.09315;84.56463;72.9974;93.30994;0.7063009;0.7758755;-810.1451;583.9914;685.3218;95.22826;100.5239;146.6463
1.039824;37.67001;84.54155;71.35365;93.80874;0.80587;0.8897852;-795.0353;585.9274;697.7172;96.87464;102.9765;150.1257
1.150148;40.4725;84.51565;89.20171;96.88072;0.8875773;0.9872918;-781.9124;584.2496;701.8101;100.7485;106.3997;154.9796
1.155531;40.27494;84.44536;72.43599;97.2056;0.8917446;0.9933531;-781.3564;591.4104;705.2923;100.8256;106.7524;155.0162
1.109164;39.46613;84.17503;90.71941;96.25858;0.8531556;0.950074;-786.2726;582.1628;697.5102;100.4585;105.8863;154.1338
1.150136;40.32197;84.13151;88.68904;96.70931;0.8873043;0.986045;-781.8191;584.3914;702.2123;100.5706;106.2509;154.9481
0.9590192;34.5291;83.86367;47.39054;93.36624;0.7459626;0.8231614;-803.8911;585.1797;689.7621;96.29356;102.1335;149.0901
0.9378932;34.19679;83.7934;42.05631;92.4031;0.7221904;0.8040743;-806.233;580.357;682.7188;96.39789;101.5055;148.4539
1.04826;37.84644;83.75545;91.22231;95.46607;0.804603;0.8987727;-793.4133;581.7911;693.4183;99.9009;105.0413;152.7117
0.9599777;34.63472;83.58611;47.51976;93.73205;0.747268;0.8248605;-803.3775;585.145;690.3813;96.20813;102.0852;149.1346
1.062823;38.71823;83.57394;64.14617;96.00853;0.8099816;0.9097052;-793.429;579.2371;689.6631;101.6891;106.7777;153.5572
1.011472;37.00447;83.51245;43.57221;94.28467;0.7769912;0.8672438;-798.0953;588.434;696.2855;98.25981;104.1173;150.4068
0.9501139;35.85681;83.19077;74.05736;94.54416;0.7189739;0.8130657;-806.3354;577.2811;682.467;99.2003;104.4542;149.8617
0.9599584;34.75961;83.16307;59.72303;92.65924;0.7438647;0.8242662;-803.7803;583.8773;689.5408;95.70532;101.6473;148.7954
0.9398876;34.3339;83.15954;48.48192;93.19459;0.7282701;0.8064384;-806.904;584.7463;687.868;96.47181;102.1833;148.9266
0.9370682;34.59324;83.11144;78.611;93.07278;0.7229144;0.8059146;-806.4493;585.1682;688.5678;96.42132;101.817;148.091
1.059581;39.57156;82.89586;61.99448;97.5037;0.7982657;0.906135;-793.663;581.7244;695.2565;103.2845;107.97;153.8212
0.9966604;36.82307;82.8649;40.62644;93.4544;0.7571301;0.8522204;-798.8889;584.3345;693.0048;98.40453;103.5987;150.5607
0.8975984;32.91343;82.68428;78.47627;92.2709;0.6963038;0.7732988;-811.0739;582.1085;682.7997;95.22089;100.5505;146.9561
0.9501014;35.6139;82.66502;77.88777;93.69609;0.72651;0.8139245;-805.5347;580.7367;685.2949;97.46637;102.8485;148.8245
0.9501182;36.05956;82.41154;76.76127;95.0139;0.7131894;0.8133811;-806.4006;576.1167;681.0222;100.354;105.4821;150.5033
0.9251372;34.68679;82.09911;43.2294;93.9367;0.7024981;0.7916188;-809.0443;582.2584;682.5069;98.53073;103.713;149.0373
0.9968545;36.42595;82.04697;51.23798;92.11316;0.7632785;0.8533058;-799.8397;584.7068;692.3345;96.85291;102.2424;149.4466
1.074108;39.40107;82.01437;90.8318;96.24824;0.8213568;0.9197563;-791.1064;584.857;698.5901;101.0615;106.135;152.9261
1.041015;37.0233;81.91438;71.05275;94.62981;0.8034658;0.8944435;-793.8561;587.181;694.4102;97.4267;102.6866;148.8049
0.8625768;31.50435;81.83503;76.48598;91.16395;0.6718405;0.7432709;-815.0524;581.8292;680.3489;93.76206;98.95304;145.1544
0.9599705;35.59554;81.8271;64.47109;93.40629;0.7325681;0.8220077;-804.7969;579.46;685.8892;97.62517;103.3725;150.0146
0.9001001;33.80516;81.75993;47.75001;93.72823;0.6801465;0.7706398;-811.6475;581.1814;679.56;98.72416;103.6573;148.6692
0.8208157;30.27296;81.49049;68.3828;90.74348;0.6393856;0.7064599;-819.9294;576.7737;671.7205;93.39013;97.90876;143.7918
0.9501268;34.82315;81.11062;73.18319;91.84342;0.7317526;0.8146427;-804.0622;584.0978;688.5229;95.21812;101.0047;147.8861
1.13007;40.97502;81.09863;48.77014;93.06995;0.85823;0.9672771;-784.9843;582.4279;699.4631;98.27553;104.3739;152.7498
1.036205;38.35403;81.00182;91.55956;95.16459;0.7923133;0.887919;-794.6814;583.9727;695.4329;99.75983;104.6857;151.4504
0.9952369;35.75674;80.94609;82.01917;93.42611;0.7593341;0.8539572;-799.6718;583.9886;688.8809;98.03481;103.1698;149.0631
