K5F3.PV;K0P125.PV;K5Q2_2.PV;K5FCV4_2I.PV;K5P6.PV;K5PCV6I.PV;K5PCV17_1I.PV;K5P17_1.PV;K5PCV17_2I.PV;K5P17_2.PV;K5T20.PV;K5P110.PV;K5PCV4I.PV;K5T12.PV;K5P13.PV;K5HCV60I.PV;K5P16_1.PV;K5GKAL.PV;K5HCV61I.PV;K5P16_2.PV;K5FCV4_1I.PV;K5Q2_1.PV;K5P4_1.PV;K5PC5CH.OP;K5PCV5I.PV;K5T4.PV;K5P21.PV;K5T18_2.PV;K5T7.PV;K5P19_2.PV;K5P19_1.PV;K5PC6CH.OP;K5HCV63I.PV;K5T9_1.PV;K5T9_2.PV;K5T8_1.PV;K5T8_2.PV;K5T8_3.PV;K5PCV6I.PV;K5T10_1.PV;K5T10_2.PV;K5P18_1.PV;K5P18_2.PV;K5P23.PV;K5P24.PV;K5P20.PV;K5T5_1.PV;K5T5_2.PV;K5T18_1.PV;K5T8_4.PV;K5T8_5.PV;K5T8_6.PV
2977.827;67.44596;494.0474;9.330159;1.653008;95.0153;70.45521;10.31721;98.21707;10.09668;-20.78302;63.71249;39.37015;169.4834;4.064949;98.99425;1.11733;21.16503;98.13794;1.242958;10.39307;519.8514;19.37961;50.47416;95.58419;131.3306;-508.8642;98.88358;40.1608;-212.6788;-272.8607;62.29572;95.62699;22.90881;24.77688;53.33409;65.86002;113.483;95.0153;91.09779;103.6079;-75.02075;-84.34444;1.298635;1.424265;-724.3501;614.5725;748.4112;248.8402;104.8376;113.1416;164.9
2927.134;66.87718;506.2909;9.489755;1.680137;95.56659;70.7484;10.31665;98.50018;10.09504;-9.83599;63.07931;39.77588;171.2062;4.067364;99.05492;1.13907;20.65832;98.14281;1.260067;10.45501;533.2946;19.49968;52.43256;96.24587;132.6989;-508.6351;96.20809;41.97145;-215.9105;-276.2386;63.50603;96.87322;23.10803;23.27638;57.01526;68.00761;115.3624;95.56659;47.29745;104.4599;-75.24079;-83.30565;1.315201;1.443824;-724.7084;610.7068;741.5828;248.9852;107.3554;115.3896;166.7137
2900.535;66.75259;1034.681;6.94269;1.681726;95.65205;71.29128;10.3963;98.71431;10.15954;-3.040106;63.60427;39.65128;171.6657;4.042192;97.6129;1.155494;20.28954;97.99042;1.260738;12.06088;1063.586;19.66605;53.25539;96.82864;132.8387;-499.6873;92.28172;44.41206;-223.1017;-281.6704;64.08926;97.47414;22.85881;21.81877;60.26996;69.64595;115.9206;95.65205;61.15227;102.4935;-76.50516;-80.85193;1.28583;1.444966;-725.3846;607.5529;737.7582;248.1174;109.3481;117.1371;167.3322
2890.979;66.65165;1634.318;9.949176;1.680142;95.75198;71.19357;10.28254;98.86819;10.05653;-3.08771;63.17867;39.66401;172.1443;4.047513;99.06699;1.15033;20.36385;98.0851;1.259224;10.5422;1775.587;19.49556;52.99632;96.77605;133.9702;-501.2698;92.75892;45.53771;-221.418;-280.9921;63.97196;97.48583;24.60325;25.38022;61.09479;70.9757;117.1209;95.75198;21.58577;104.7029;-75.59874;-81.47894;1.294286;1.443027;-725.3129;607.7937;737.0858;248.4443;109.8913;117.5873;167.744
2885.439;66.53733;3242.385;6.283673;1.680123;95.80904;71.31487;10.29115;98.72354;10.05957;-2.884316;63.2279;39.64339;172.3372;4.043319;97.74495;1.155856;20.17139;98.01198;1.259922;12.7437;3434.64;19.49788;53.06498;96.77106;134.4359;-498.994;95.04833;46.67839;-222.977;-281.8707;64.30648;97.51136;25.64506;24.20627;61.54677;71.58602;117.6767;95.80904;52.59531;104.6744;-75.98601;-80.22286;1.288446;1.443438;-725.4376;606.9885;735.4639;247.8035;110.6853;118.2074;167.9377
2809.635;66.58926;478.805;5.479288;1.478407;95.0667;70.92219;9.554727;98.42439;9.327216;-9.575091;62.9627;38.14972;167.2295;4.071414;97.92341;1.000311;19.89875;97.91879;1.110009;10.36884;486.2339;17.9824;47.11663;95.8811;130.9191;-458.2403;89.96778;43.34533;-229.3889;-286.7434;58.85749;96.66589;23.58215;21.51561;56.96706;66.87045;112.8108;95.0667;87.7432;100.9112;-75.2973;-80.37226;1.141577;1.270534;-745.1625;606.0927;733.9661;241.858;105.7454;112.9801;162.5846
2804.816;66.68513;481.4266;5.381079;1.500175;95.16622;70.90586;9.530596;98.38058;9.303347;-9.273567;62.94697;38.08671;167.9433;4.073233;97.91505;1.015738;19.84652;97.9244;1.126549;10.55823;484.0471;17.99344;47.80204;95.89194;132.1942;-463.5777;90.1197;42.91093;-227.5404;-285.217;59.39884;96.72745;23.04704;21.76439;56.83126;66.70698;113.0207;95.16622;92.0877;101.4007;-75.20317;-80.55037;1.161212;1.290856;-742.8526;605.3478;733.6957;243.298;106.0387;113.42;163.5674
2777.173;67.64766;574.9938;10.73334;1.450187;95.83095;71.1648;9.538129;98.84068;9.310891;-3.677051;64.61774;37.26514;167.1984;4.041081;98.96268;0.986608;19.73975;98.03384;1.086922;10.45993;611.7266;17.99426;48.37173;96.8401;130.5039;-450.3575;91.97198;45.95111;-233.9917;-290.7882;59.27212;97.49612;25.50388;22.47165;59.7047;69.27193;114.484;95.83095;70.08797;102.0315;-74.44878;-78.98567;1.11054;1.244328;-750.1495;603.2587;730.4785;239.443;107.443;114.3497;162.7682
2730.778;66.89584;458.5277;5.345215;1.418568;95.29553;70.8951;9.114283;98.32969;8.892303;-8.851314;63.24626;37.11661;166.2809;4.072107;97.89784;0.9565729;19.31243;97.93996;1.065566;10.61029;463.9162;17.13515;46.26105;95.87956;129.8725;-443.9597;89.31502;41.97807;-231.5619;-288.3802;57.69344;96.79214;22.39144;22.07509;55.81584;65.41809;111.9486;95.29553;93.52634;100.4519;-73.63496;-79.72553;1.099144;1.218998;-751.856;600.2525;726.696;240.3419;104.8785;111.9558;162.0488
2719.188;67.62436;566.7065;10.3939;1.404643;95.50468;71.20603;9.194566;98.88606;8.9655;-3.523817;64.70038;36.6687;165.6033;4.033158;98.86124;0.9553136;19.34192;98.01639;1.053683;10.47215;608.4828;17.29322;47.17307;96.87836;129.2928;-438.9225;89.06949;44.9296;-237.7465;-293.3191;58.16887;97.286;23.8235;22.57331;58.91977;69.04855;113.5092;95.50468;77.51721;100.6086;-74.00901;-78.12349;1.071853;1.204608;-754.9962;599.4615;725.5964;237.9873;106.3069;113.303;161.7437
