K5PCV17_1I.PV;K5T20.PV
70.88206;-9.95318
70.7484;-9.83599
70.82812;-9.74611
70.92219;-9.575091
70.69577;-9.479601
70.6988;-9.312399
70.90586;-9.273567
70.74362;-9.25415
70.77719;-9.231652
70.9207;-9.187984
70.95991;-9.041708
70.926;-9.02742
71.06522;-9.00075
70.8951;-8.851314
70.74131;-8.803988
70.96821;-8.773726
70.81142;-8.607488
70.81817;-8.570292
71.05513;-8.564935
70.85853;-8.563046
70.86111;-8.533557
71.01438;-8.402257
71.05348;-8.376101
70.86585;-8.3748
70.87531;-8.357993
70.84628;-8.304173
70.88232;-8.298718
70.76968;-8.289595
70.88052;-8.123925
70.8765;-8.01119
70.90281;-7.964261
70.87602;-7.855327
70.85079;-7.771653
70.86299;-7.771561
71.13429;-7.3011
70.99339;-7.202257
70.90344;-7.1166
70.93031;-6.985637
70.89096;-6.954506
70.92657;-6.950165
70.8801;-6.901071
70.85274;-6.87068
70.90154;-6.815261
70.96069;-6.632894
70.88328;-6.385444
70.90416;-6.349307
70.90739;-6.238107
70.82893;-6.216889
70.98629;-6.147578
70.91728;-6.144787
71.01646;-5.977488
70.98639;-5.922369
70.92381;-5.852318
70.91532;-5.822679
71.08379;-5.52173
70.9577;-5.498569
71.07241;-5.447195
71.13469;-5.356497
70.9594;-5.33865
70.93951;-5.308295
70.90926;-5.181957
71.09787;-5.178923
70.95225;-5.061725
70.98338;-5.054928
70.9166;-4.957895
71.15894;-4.747329
70.92918;-4.726399
70.96803;-4.67093
71.18072;-4.482169
71.02741;-4.376863
71.08994;-4.282274
70.96461;-3.936188
71.20908;-3.914325
71.06239;-3.842012
71.1648;-3.677051
71.24651;-3.572482
71.20603;-3.523817
71.28684;-3.427789
70.99129;-3.399406
71.11063;-3.200328
71.19357;-3.08771
71.22369;-3.041667
71.29128;-3.040106
70.38052;-21.67128
70.45521;-20.78302
71.31487;-2.884316
71.18415;-2.813454
71.19069;-2.772859
71.24049;-2.604693
70.3991;-18.87108
70.43317;-18.25444
70.36035;-17.18285
70.37735;-16.81716
70.40954;-16.76563
70.53088;-15.65885
70.42438;-15.42185
70.55342;-15.20852
70.50857;-15.10893
70.60609;-14.83889
70.5337;-14.66594
70.53325;-14.45294
70.52554;-13.91023
70.47898;-13.90745
70.55723;-13.78649
70.56416;-13.76664
70.56581;-13.68769
70.50323;-13.58537
70.52776;-13.57022
70.65179;-13.37411
70.64285;-13.0504
70.5694;-12.79549
70.52843;-12.70884
70.57683;-12.67291
70.61234;-12.50683
70.7719;-12.34442
70.78584;-12.13757
70.60859;-12.10326
70.65331;-11.88509
70.5721;-11.87307
70.5126;-11.56298
70.63421;-11.4765
70.65488;-11.37438
70.63009;-11.23928
70.69131;-11.17966
70.65926;-10.90143
70.66379;-10.43557
70.70729;-10.42922
70.91377;-10.27465
71.25147;-1.954662
