K5PC5CH.OP;K5PCV5I.PV;K5T4.PV;K5T18_2.PV;K5PC6CH.OP;K5T9_2.PV;K5PCV6I.PV;K5T10_1.PV;K5T10_2.PV
22.28703;94.12891;99.99969;69.60479;35.57161;22.08792;94.54896;80.76656;85.83719
17.5163;94.25026;99.99906;66.31646;32.84552;26.51104;94.25724;71.85198;86.4901
17.41463;94.27849;99.99729;64.91959;32.73193;24.8224;94.29844;69.28344;86.14938
25.78625;94.02911;99.99656;66.43875;39.07667;15.77396;94.22411;79.76396;83.08135
17.52547;94.28761;99.99313;65.40104;32.74406;25.10885;94.29682;69.31541;86.12959
22.32547;94.12589;99.99229;69.56687;35.57859;20.92594;94.54865;80.69302;85.82094
18.8225;94.49156;99.99136;65.98396;32.70417;24.21417;94.74416;68.09135;85.28407
17.97052;94.46411;99.98782;65.79354;32.74708;25.30552;94.5449;68.9625;86.18333
17.98828;94.49656;99.9874;66.37312;32.18245;20.44094;94.75521;68.51385;85.90948
29.31823;94.15343;99.98708;68.56834;41.33443;14.96219;94.32818;78.91979;83.60823
17.86823;94.45329;99.98333;66.42771;32.7275;24.99292;94.55255;68.94958;86.3076
18.44411;94.48219;99.98198;66.33458;32.75234;25.0074;94.65885;68.89219;86.32417
18.22849;94.50443;99.98042;66.04833;32.25489;20.09646;94.74062;68.1549;85.3649
17.19552;94.2301;99.97979;65.4975;32.72307;24.88323;94.25844;70.53886;86.17458
18.09391;94.45932;99.97854;66.41833;32.74526;24.28021;94.5461;68.93177;86.28
18.66323;94.49448;99.97562;65.97021;32.69333;24.13563;94.74589;68.04885;85.25687
18.29688;94.49468;99.97448;66.22667;32.19708;20.16771;94.74333;68.41563;85.76719
17.74682;94.37698;99.97427;66.26188;32.79672;26.25042;94.33141;69.38052;86.71906
22.275;94.12354;99.97365;69.65459;35.5836;19.65562;94.53484;79.90375;85.87281
17.55167;94.25474;99.97334;66.34812;32.76411;26.21865;94.24906;71.76375;86.49416
17.92255;94.51714;99.97271;66.055;32.28328;23.43604;94.54282;67.8651;85.33031
17.42104;94.23547;99.97271;65.36667;32.73177;24.75;94.26474;70.58177;86.16635
17.55891;94.24651;99.97208;65.27312;32.73745;24.73229;94.25031;71.07354;86.17969
23.32646;94.13078;99.97166;70.10188;36.1938;17.07708;94.52094;81.32479;85.08041
17.68875;94.26448;99.97104;66.6175;32.78109;26.57396;94.27323;72.36333;86.64771
28.1824;94.15214;99.97073;68.29916;41.21568;13.51635;94.3614;79.40542;83.79802
22.41672;94.13427;99.97021;69.39687;35.57672;21.25323;94.53458;80.79489;85.71677
18.7301;94.49276;99.96709;66.155;32.69609;24.17115;94.75729;68.15448;85.33844
17.3924;94.24703;99.96646;65.16417;32.76677;25.17708;94.2664;69.61354;86.17948
18.74438;94.48042;99.96302;66.95937;32.75703;25.01573;94.78906;68.63781;85.83302
17.9551;94.25641;99.96114;67.08334;32.80396;26.52927;94.28521;72.52219;86.74615
25.54901;94.06567;99.96062;66.40417;38.96286;10.12448;94.21422;79.53114;82.84531
17.72078;94.33495;99.95854;66.18958;32.79875;25.79938;94.30042;69.46365;86.91177
17.30547;94.23406;99.95844;65.18104;32.73109;25.2149;94.25667;71.45417;86.08885
17.6849;94.25318;99.95802;67.42562;32.80677;26.82385;94.29083;72.7925;86.89042
17.74391;94.34453;99.95792;65.52167;32.73812;25.19781;94.33594;69.10406;86.21083
17.52318;94.33015;99.95698;65.21646;32.73016;25.23708;94.33432;69.07417;86.19656
19.68833;94.57453;99.95375;66.10291;33.55734;21.01927;94.55063;67.50031;84.61198
17.71396;94.33161;99.95364;66.69083;32.77984;25.88615;94.27354;69.39104;86.73334
17.36885;94.24651;99.95344;65.10687;32.73323;25.4375;94.26714;69.66;86.17625
18.07177;94.49505;99.9525;66.44437;32.36234;24.59708;94.70672;68.80229;86.12312
17.27016;94.23312;99.94948;65.56375;32.75958;25.42844;94.25349;71.51052;86.15948
18.84823;94.48463;99.94906;65.96313;32.6887;24.15833;94.74287;68.07094;85.29677
18.56755;94.49057;99.94489;67.00313;32.74896;24.64917;94.78167;68.55323;85.95698
17.77266;94.3811;99.94375;66.28062;32.81047;26.1951;94.3362;69.35438;86.78292
17.43255;94.23823;99.94229;65.65083;32.73536;25.27177;94.25708;71.33781;86.29969
17.43891;94.28073;99.94125;65.11916;32.72115;24.86031;94.30609;69.29823;86.17177
18.02505;94.45786;99.94073;66.29708;32.73432;24.2399;94.55573;68.76646;86.17928
27.09286;94.0461;99.9399;66.30605;39.21146;13.71281;94.22771;79.25886;82.77979
17.94599;94.4;99.93813;66.24583;32.81635;25.67667;94.34917;69.35886;86.72302
17.37172;94.24911;99.93708;65.51542;32.74443;25.66948;94.2476;71.60844;86.30396
17.98859;94.45119;99.93417;65.93396;32.76401;25.27333;94.4325;69.17062;86.5024
26.06109;94.04766;99.93354;66.155;39.05557;11.23885;94.22286;79.26156;82.68396
17.54536;94.29562;99.93313;65.49896;32.75089;25.26687;94.2962;69.33813;86.33177
22.06656;94.1274;99.93146;69.26646;35.49531;21.4125;94.55042;81.44781;85.55448
18.12792;94.49411;99.93135;67.27333;32.38896;24.88823;94.72761;68.82708;86.25208
18.10016;94.51927;99.93063;65.81396;32.25776;21.83802;94.64396;68.49895;85.94854
27.80495;94.15286;99.9274;68.2252;41.175;13.39594;94.36912;79.61375;83.82011
18.5551;94.47511;99.92552;65.83896;32.79229;25.45344;94.85625;68.82219;86.27666
22.31042;94.13042;99.92521;68.96396;35.57818;21.07021;94.54375;81.41052;85.62323
18.29297;94.46854;99.92396;66.47417;32.75505;25.30948;94.72875;68.67073;86.14906
17.72385;94.26672;99.92313;66.84708;32.72886;26.33427;94.27745;72.40885;86.64969
18.8874;94.49156;99.92208;65.9698;32.6799;24.2149;94.76427;68.12187;85.33708
22.2751;94.12505;99.92115;69.56104;35.59432;21.8624;94.5461;80.78208;85.82021
22.14974;94.13521;99.92031;69.07166;35.50161;21.05021;94.5501;81.43333;85.59792
17.17813;94.25291;99.91937;65.05104;32.72886;25.23625;94.26865;69.67656;86.13333
17.71745;94.3539;99.91896;66.3725;32.7626;25.51833;94.27292;69.47208;86.77364
18.00797;94.34375;99.91896;66.0948;32.73787;25.3699;94.31718;69.27917;86.39407
17.41641;94.2549;99.91875;65.12791;32.73443;25.2375;94.2774;69.6425;86.16594
18.12193;94.46641;99.91719;67.0575;32.7637;25.60312;94.52526;68.9974;86.47885
17.83505;94.36287;99.91625;66.78917;32.76771;25.61875;94.26083;69.39219;86.82604
18.51594;94.4875;99.91396;66.63771;32.77489;25.51708;94.80625;68.80104;86.50792
17.81635;94.41656;99.91364;66.12041;32.78838;25.99885;94.39516;69.13552;86.50083
20.63948;94.56458;99.91354;66.61063;34.07156;17.8024;94.53084;67.9501;85.27084
22.28417;94.12797;99.91104;69.36105;35.54922;21.50917;94.54459;80.77406;85.84302
18.31708;94.4825;99.91062;66.68708;32.72136;24.78333;94.78724;68.62552;85.91531
18.46052;94.47;99.90792;66.83125;32.78745;25.21615;94.5714;68.96979;86.36729
17.72911;94.51526;99.90771;66.03062;32.31052;23.24073;94.55062;67.84323;85.29208
22.43234;94.13062;99.90417;69.1175;35.57583;21.28125;94.52958;81.39229;85.29583
18.8038;94.50838;99.90323;65.9752;32.69786;23.82208;94.75182;68.23604;85.38541
22.25729;94.1325;99.90031;69.82979;35.60844;22.2051;94.54573;80.76781;85.83177
22.31484;94.1376;99.89938;68.99021;35.3912;20.23698;94.49854;81.07021;85.02229
17.4363;94.23349;99.89917;65.44479;32.73677;25.13979;94.25645;71.37875;86.10573
22.19766;94.1324;99.89823;68.75687;35.50463;20.02583;94.54516;81.39073;85.62032
17.90401;94.35188;99.89719;66.66521;32.75172;25.795;94.28661;69.43094;86.62032
23.32755;94.13464;99.89687;69.67167;36.27969;17.48302;94.5113;81.44271;85.06031
17.22156;94.23454;99.89427;65.13729;32.72297;24.94198;94.25339;70.54052;86.15105
22.41813;94.13276;99.89333;69.48312;35.59854;20.38073;94.54625;80.83157;85.79344
18.11786;94.50422;99.89281;65.95271;32.20474;20.89896;94.73474;67.85302;85.24187
18.58661;94.48833;99.8925;66.12833;32.79276;24.9101;94.81375;68.87073;86.34812
17.87057;94.34906;99.8925;66.10396;32.74703;25.73927;94.29042;69.40094;86.5976
17.32833;94.23187;99.89146;65.5302;32.71302;24.74979;94.25745;70.50813;86.1573
18.49802;94.48651;99.89125;66.30396;32.8224;25.46833;94.8001;68.84281;86.41854
17.59469;94.25297;99.88823;65.01;32.74141;25.33833;94.30515;69.4925;86.10844
17.7887;94.27026;99.88531;66.67146;32.7449;26.11792;94.26411;72.05125;86.59781
17.36693;94.25495;99.88479;64.81646;32.74115;25.34271;94.30933;69.46385;86.0525
17.32943;94.22875;99.88458;65.34937;32.71859;24.88302;94.25885;70.54719;86.12833
17.3212;94.24036;99.88417;64.9875;32.74495;24.89521;94.24755;70.52698;86.10083
17.63307;94.42229;99.88271;65.97979;32.80463;25.9599;94.38209;69.1926;86.51604
17.84641;94.45563;99.88167;65.84834;32.80807;25.13167;94.44323;69.01844;86.42167
17.73875;94.46432;99.88073;65.88125;32.75995;24.97167;94.54688;68.87386;86.15041
18.08385;94.50266;99.87948;66.35062;32.33104;24.20875;94.63396;68.26417;85.56729
17.90557;94.3987;99.87937;66.23708;32.77969;25.82698;94.34328;69.32281;86.70604
18.25537;94.49073;99.87854;66.87542;32.34552;24.30094;94.69984;68.75979;86.09229
17.90937;94.45683;99.87813;65.90166;32.73115;24.31125;94.52318;68.82156;86.05219
17.55943;94.34849;99.87802;66.41062;32.80271;25.8424;94.2962;69.48573;86.87052
17.88406;94.45474;99.8776;65.82584;32.73776;24.5174;94.52307;68.85229;86.08364
18.18682;94.49833;99.87688;66.81042;32.35088;23.36542;94.67646;68.62281;86.03094
18.3374;94.5038;99.87646;66.27271;32.31073;22.71792;94.63187;68.19875;85.56292
25.9688;94.06229;99.87625;66.00271;39.04219;10.25125;94.2224;79.4726;82.8
19.70682;94.54916;99.875;65.52375;33.42609;18.41177;94.56541;66.88469;84.42864
20.88927;94.56818;99.8726;66.78917;34.16578;18.99281;94.55391;67.41187;84.84718
17.27062;94.24104;99.87187;65.38959;32.74609;25.2474;94.26057;71.45667;86.11833
18.53453;94.48323;99.87041;66.41708;32.77359;25.36469;94.81104;68.85094;86.50323
17.10391;94.23828;99.8701;65.40021;32.73479;25.06604;94.26255;71.46615;86.10709
18.43292;94.48901;99.86896;66.32396;32.75943;25.18958;94.80666;68.88479;86.365
17.52297;94.24464;99.86864;65.25146;32.74771;25.56094;94.29927;69.66458;86.14407
18.79651;94.49834;99.86708;66.06812;32.71969;23.55302;94.75437;68.16281;85.43542
17.33193;94.22911;99.86698;65.35416;32.73406;24.68375;94.2537;70.39969;86.14333
17.74078;94.26026;99.86677;64.84084;32.7463;25.2675;94.30349;69.51489;86.09698
17.44448;94.27859;99.86281;65.01146;32.71792;24.92604;94.30662;69.25042;86.12531
26.40646;94.19677;99.85792;66.44334;39.09234;14.22698;94.23026;79.77865;83.0601
17.23776;94.22948;99.85771;65.30854;32.71974;24.98677;94.24917;70.48156;86.17625
