K5PC5CH.OP;K5PCV5I.PV;K5T4.PV;K5P21.PV;K5T18_2.PV;K5T7.PV;K5P19_2.PV;K5P19_1.PV;K5PC6CH.OP;K5HCV63I.PV;K5HCV62I.PV;K5T9_1.PV;K5T9_2.PV;K5T8_1.PV;K5T8_2.PV;K5T8_3.PV;K5PCV6I.PV;K5T10_1.PV;K5T10_2.PV;K5P18_1.PV;K5P18_2.PV;K5P23.PV;K5P24.PV;K5P20.PV;K5T5_1.PV;K5T5_2.PV;K5T18_1.PV;K5T8_4.PV;K5T8_5.PV;K5T8_6.PV
28.43256;96.80196;107.4449;-274.5025;76.77946;41.84182;-274.6382;-322.591;41.4816;97.29976;0;23.78062;24.07831;50.24517;60.8057;101.6112;95.68557;59.77333;90.33453;-64.05509;-70.41599;0.5544971;0.6234499;-831.0353;567.9844;657.2806;203.5855;93.15239;97.01862;140.6675
37.0233;96.78888;116.0183;-355.9825;81.91438;41.4965;-253.3734;-306.2327;49.20881;97.32501;0;22.55076;22.97996;52.67821;62.42295;105.0635;95.67174;71.05275;94.62981;-69.54796;-75.83286;0.8034658;0.8944435;-793.8561;587.181;694.4102;219.8285;97.4267;102.6866;148.8049
40.27494;96.86331;120.499;-383.8112;84.44536;42.03291;-247.2132;-301.2046;52.11905;97.40008;0;21.99088;21.95745;54.44944;64.16695;108.5089;95.70911;72.43599;97.2056;-71.48503;-77.27142;0.8917446;0.9933531;-781.3564;591.4104;705.2923;227.0702;100.8256;106.7524;155.0162
33.39332;96.85043;111.913;-314.1233;79.10992;40.66955;-264.0493;-313.9809;45.67082;97.36178;0;21.82398;21.60457;51.08363;60.87175;103.0717;95.639;68.05637;91.99626;-67.95197;-73.8697;0.6762037;0.7582414;-812.5995;579.0649;677.1272;213.1518;95.36046;99.94947;145.7436
31.39035;96.77234;109.087;-302.5283;78.44747;37.86535;-265.3562;-314.7856;44.23922;96.9895;0;19.94676;19.60295;47.8261;57.91248;101.0094;95.39429;64.59758;90.2277;-66.15006;-73.61724;0.6451115;0.7154977;-818.542;574.535;669.7603;211.3369;92.83288;97.44041;143.6423
27.50843;96.71776;105.6746;-271.1431;77.68006;38.07016;-274.5045;-321.4969;41.04145;96.90092;0;20.85693;19.73843;46.50022;57.59764;99.73357;95.31052;65.85112;88.604;-63.24423;-70.92929;0.5514602;0.6135198;-833.5392;562.713;651.7389;204.8457;91.35164;95.19745;140.3663
25.25122;96.6185;104.0862;-257.7885;76.5554;38.47497;-278.7301;-325.0063;39.51466;96.6713;0;21.45306;21.43865;45.96319;58.25529;99.44934;95.13222;66.35464;88.05206;-61.70712;-69.23579;0.508799;0.5693261;-839.2973;557.9197;644.5317;201.3916;90.42651;93.93913;138.3448
27.29122;96.51358;105.3824;-271.0287;77.67409;38.18448;-274.3583;-321.5146;40.98089;96.74829;0;20.9036;19.97057;46.55001;57.69835;99.4186;95.21268;67.59645;88.52178;-63.23243;-70.89413;0.5514243;0.6130996;-833.2618;563.7247;652.8766;204.4326;91.1241;94.86008;139.7607
27.52429;96.42625;105.8053;-274.5247;78.28339;37.58356;-273.8398;-321.0334;41.35579;96.73724;0;20.38322;20.1339;45.71489;57.57377;99.5451;95.34074;62.64949;88.42663;-63.39825;-70.82851;0.5638521;0.6282012;-831.3499;565.0979;655.3196;205.7758;91.42061;95.40755;140.6138
30.24927;96.23548;108.3758;-299.2262;80.49529;36.9749;-265.7083;-314.7929;43.61284;96.32012;0;20.55966;21.77401;45.81232;58.17948;100.7338;94.91656;67.98415;90.50634;-64.52203;-73.26161;0.6387002;0.702172;-819.8497;575.9326;671.4623;210.6817;91.89983;96.42628;142.6755
30.81606;96.1637;109.2162;-299.7555;80.57363;38.09083;-266.2287;-315.1484;43.70599;96.68806;0;21.35323;22.36362;47.28051;59.4882;101.748;95.19924;70.15643;91.20943;-64.63155;-73.37676;0.6389875;0.7056422;-819.4164;575.5281;670.5251;210.923;92.90253;97.49499;143.5022
30.65722;96.18584;109.3515;-298.16;80.56977;38.51794;-267.5219;-316.1548;43.57859;96.87002;0;21.42123;21.4476;47.47499;59.72676;101.8796;95.38054;68.12777;90.82298;-64.67348;-72.82295;0.6354004;0.7046791;-819.8909;575.1644;670.0099;211.0633;93.49619;98.01254;143.8106
30.27296;96.28835;109.214;-298.5134;81.49049;38.29659;-266.3538;-314.93;43.43182;96.62163;0;21.3584;22.15012;46.81438;59.17637;101.2832;95.35073;68.3828;90.74348;-64.85281;-72.93554;0.6393856;0.7064599;-819.9294;576.7737;671.7205;211.0809;93.39013;97.90876;143.7918
