K5PC5CH.OP;K5T5_2.PV;K5F3.PV
56.89448;777.4432;3266.319
57.29682;776.7443;3281.15
57.54391;776.5755;3276.491
57.57073;776.0021;3280.28
56.65698;775.9969;3231.47
57.64448;775.649;3280.024
57.42198;775.4786;3282.096
57.55307;774.6464;3285.413
57.2813;773.7719;3270.609
57.74542;773.5323;3287.468
57.11672;773.2537;3227.404
57.56224;773.0932;3277.369
57.20193;773.0359;3270.558
57.16885;773.0318;3271.916
57.55724;772.9719;3282.482
57.72063;772.9656;3279.91
57.45208;772.9443;3278.719
57.19188;772.925;3266.552
57.20542;772.8;3242.482
57.50151;772.7807;3280.811
57.29724;772.7719;3278.844
57.19239;772.6609;3271.48
57.28802;772.6448;3271.175
57.48375;772.6099;3275.215
57.25698;772.5927;3274.782
57.55604;772.5604;3261.872
57.10328;772.4464;3231.498
57.2338;772.3943;3266.018
57.78016;772.3797;3289.731
57.22;771.988;3238.012
57.60797;771.9708;3287.346
57.2187;771.9583;3270.957
57.14422;771.8557;3203.62
56.71667;771.7474;3206.922
57.4949;771.6713;3267.133
57.42807;771.6172;3283.254
57.13365;771.5547;3237.201
57.51568;771.5354;3258.471
57.23667;771.4948;3239.908
57.16651;771.4125;3280.327
57.47073;771.3635;3260.366
57.11411;771.3323;3274.238
57.50667;771.2136;3279.369
57.46948;771.1854;3272.576
56.81166;770.9537;3239.676
57.23396;770.9443;3215.158
57.04713;770.9318;3214.784
57.07302;770.8635;3208.566
56.68417;770.7703;3216.77
57.01906;770.7089;3213.207
57.0489;770.662;3275.155
57.49026;770.6583;3275.603
57.20469;770.5411;3277.587
57.27266;770.4922;3233.133
57.00651;770.3031;3242.516
57.51542;769.9661;3264.476
57.43953;769.9391;3277.754
57.06078;769.8255;3213.349
56.95005;769.8182;3201.529
56.98219;769.7818;3211.58
57.48505;769.6453;3262.997
57.06016;769.5193;3241.362
57.00151;769.5104;3218.168
57.22531;769.3984;3214.45
57.08807;769.3875;3213.3
57.0088;769.0989;3222.499
57.11693;769.0505;3207.594
57.07417;769.0474;3219.577
57.00427;769.0333;3225.636
57.18943;768.9474;3218.616
57.09099;768.8635;3203.719
57.19026;768.7833;3216.899
57.14526;768.7224;3208.693
