K5T6.PV;K5F5.PV;K5F6X.PV;K5T17.PV
179.9625;40.30084;33.31388;133.8431
179.9575;39.50022;33.23575;133.9694
179.945;38.82552;33.15158;134.0287
179.935;38.63737;33.35751;134.0981
179.935;40.22277;33.30917;133.9388
179.9337;40.30984;33.21245;133.7781
179.9263;38.6682;33.47631;134.1525
179.9;38.65882;33.33149;134.2031
179.8862;40.29521;33.18293;133.6888
179.8663;38.69848;33.36482;134.2569
179.8575;40.36305;33.12911;133.5838
179.8087;38.70963;33.47045;134.3044
179.7962;40.29321;33.17854;133.4906
179.7462;38.70736;33.51841;134.3375
179.7063;40.34882;33.04671;133.4094
179.6925;38.66031;33.61092;134.3794
179.665;38.63551;33.50348;134.4206
179.6113;38.65429;33.54231;134.3862
179.5988;40.38825;33.15414;133.3106
179.57;40.24881;33.0356;133.1913
179.4812;40.28151;33.06673;133.09
179.4688;37.88896;33.52673;134.3781
179.3825;37.2824;33.46072;134.3894
179.3463;40.25839;32.86132;132.9975
179.285;37.33937;33.42455;134.375
179.2587;40.28945;32.97735;132.9563
179.2487;37.31846;33.37266;134.3475
179.1537;40.27611;32.98159;132.8325
179.145;37.29999;33.25378;134.3156
179.0988;40.26021;32.93587;132.7794
179.0462;37.29958;33.30819;134.2688
178.95;40.20393;32.94899;132.6731
178.9362;37.18041;33.20526;134.2644
178.8725;37.17845;33.22453;134.2619
178.87;40.10616;33.07654;132.6019
178.8325;39.34974;33.23983;134.2706
178.8175;39.40041;33.1473;134.1681
178.8038;39.43198;33.27135;134.3019
178.8038;37.18299;33.33403;134.2188
178.8025;40.08345;32.99539;132.5594
178.8;38.86845;33.48543;134.3756
178.7913;39.4024;33.30017;134.1456
178.7888;39.43528;33.19364;134.2369
178.7787;39.16758;33.30902;134.3669
178.7775;39.50862;33.16343;134.0669
178.765;38.91258;33.37241;134.4075
178.7213;39.43658;33.17501;133.9756
178.7125;38.98859;33.26166;134.495
178.7087;38.95929;33.30221;134.4694
178.705;39.54132;33.23791;134.0444
178.6788;39.47142;33.32858;133.9238
178.6775;38.972;33.31991;134.4312
178.67;37.25276;33.23347;134.1969
178.6637;40.09162;32.94998;132.49
178.6512;38.99438;33.40962;134.5038
178.6438;38.9774;33.3611;134.5006
178.64;39.43105;33.57445;133.9069
178.6113;39.45132;33.74028;133.85
178.5788;39.52297;33.96164;133.7781
178.5788;39.53858;34.2928;133.7506
178.57;37.28281;33.11216;134.1563
178.5675;38.90475;33.30684;134.5094
178.5625;40.08836;32.82743;132.4112
178.5525;39.62739;34.5942;133.6469
178.5375;39.62203;34.37781;133.6913
178.52;40.05972;32.7963;132.3475
178.4837;38.85345;33.34519;134.5006
178.4787;37.27206;33.09893;134.1119
178.4763;39.69434;34.52615;133.5894
178.465;39.6173;34.44974;133.5638
178.4475;37.23284;32.92157;134.0838
178.4325;38.54652;33.46593;134.4944
178.4088;40.04643;32.83442;132.2688
178.4075;39.49619;34.28684;133.5163
178.3813;39.7327;33.10028;132.0625
178.3788;38.46552;33.36617;134.4688
178.3737;39.359;34.08244;133.4762
178.37;39.40503;33.03798;132.0281
178.3663;40.34089;33.74514;133.4244
178.365;39.94897;33.13691;132.0838
178.3625;39.55031;33.11088;132.1037
178.36;39.43936;33.93541;133.4569
178.3562;38.64435;33.22535;132.1469
178.3475;38.70395;33.3324;132.1288
178.3325;37.36679;32.89728;134.0612
178.3213;39.39634;33.18241;131.9275
178.3212;38.69985;33.17643;132.1906
178.3163;38.65508;33.18806;132.1419
178.3163;39.38527;33.13838;131.9781
178.3087;40.88482;33.72438;133.3913
178.2988;38.57294;33.25056;132.2188
178.2762;37.45139;32.79837;133.9919
178.275;39.08308;32.73129;132.3375
178.2712;39.92749;32.76511;132.2056
178.27;39.12939;32.82685;132.3513
178.2625;40.92678;33.63444;133.3625
178.2625;39.35716;33.20368;131.8919
178.2563;37.76012;33.4368;134.4294
178.2475;39.39008;33.29004;131.8687
178.2413;38.5505;33.18492;132.2131
178.2375;40.92182;33.53069;133.3194
178.2375;39.02869;32.80908;132.2962
178.2363;39.01267;32.60979;132.3069
178.2263;39.08216;32.93747;132.3406
178.2213;38.49345;33.28083;132.2175
178.22;38.62702;33.12714;132.2119
178.215;39.06717;32.97693;132.3188
178.2113;38.31253;32.85616;132.1706
178.2088;39.06834;33.01242;132.3294
178.1913;37.73333;33.36966;134.4037
178.185;39.48411;32.98886;131.8294
178.1788;39.53457;33.12473;132.1456
178.1738;38.45095;33.28238;132.2462
178.1688;37.40612;32.91235;133.965
178.1637;39.42546;33.22374;132.2025
178.1563;39.42064;33.01946;132.0975
178.1537;40.54757;33.61982;133.2931
178.1537;39.04934;32.79874;132.2844
178.1475;38.49801;32.21708;132.2169
178.1463;38.22002;32.84575;132.1094
178.1462;39.42239;33.30602;132.2406
178.145;38.47647;33.18219;132.2688
178.145;39.57687;33.00821;132.07
178.145;38.28957;32.92643;132.3025
178.1425;39.06796;32.94337;132.2769
178.1275;40.22857;33.54945;133.2056
178.125;39.06594;32.94561;132.2894
178.1225;39.40724;33.26724;132.2519
178.12;40.11516;32.97469;131.7975
178.12;39.34657;33.37684;132.2469
178.1188;38.74634;33.19415;132.2981
178.115;38.56164;32.66921;132.2606
178.1125;40.2047;32.78381;131.79
178.1125;39.06294;32.12654;132.2044
178.1113;39.55941;32.77897;132.2506
178.1087;39.55886;33.03618;132.0531
178.1075;38.52898;32.48804;132.2375
178.1025;37.94191;33.1152;132.2669
178.1013;38.01143;33.05459;132.2619
178.0988;38.46699;33.20113;132.2688
178.0975;39.46791;33.0257;131.9769
178.0963;40.20325;32.7971;131.7531
178.0912;37.74779;33.31911;134.3563
178.0887;39.48795;32.74047;132.2681
178.0788;38.99162;32.23048;132.2088
178.0775;38.4623;33.27505;132.275
178.0762;38.65884;33.14244;132.2975
178.0712;38.17619;32.86293;132.0819
178.0712;38.49557;32.69469;132.3269
178.0688;38.48516;32.40129;132.2494
178.0663;38.57214;33.25753;132.2931
178.065;38.44981;32.70118;132.2625
178.0625;38.44772;32.53539;132.2863
178.0575;39.40005;32.92805;131.945
178.0537;38.04662;33.01905;132.2444
178.05;38.40722;32.65477;132.3544
178.0462;38.49536;33.15064;132.2794
178.0437;38.07165;33.00404;132.2937
178.0412;40.42391;33.41694;133.1725
178.0387;37.77031;33.2178;134.3237
178.0313;39.98099;32.82783;131.8581
178.0225;39.03652;32.14553;132.17
178.0175;37.44667;32.98132;133.9156
178.0175;38.22592;32.75882;132.0519
178.0125;39.21481;32.70846;132.2288
178.0112;39.70647;32.84855;131.9081
178.0087;38.4;33.10723;132.2906
178.0038;39.01881;32.05647;132.1938
177.9787;39.05925;32.1672;132.1387
177.9775;38.07149;32.69032;132.3288
177.9763;38.86262;33.12199;132.8631
177.975;40.18118;32.68385;131.7275
177.9738;39.05812;32.3181;132.1212
177.97;38.62381;33.28665;132.34
177.9675;39.21797;32.78597;132.2225
177.9588;38.65094;33.20919;132.3288
