K5T7.PV;K5T8_1.PV
54.6251;65.66583
54.62208;65.55666
54.59698;65.70667
54.59417;65.47823
54.58094;65.6075
54.55312;65.77344
54.55292;66.07615
54.53552;65.43375
54.53458;66.15552
54.53031;66.01917
54.52656;65.95104
54.51979;66.18771
54.51844;65.85344
54.51011;66.2524
54.48917;66.31937
54.48833;66.4625
54.48542;65.38865
54.4776;66.42709
54.46833;66.5125
54.45906;66.4925
54.45167;66.41167
54.44656;66.56364
54.44292;65.33927
54.44062;66.37511
54.43552;66.62511
54.41604;66.70448
54.39125;65.34531
54.36125;65.31375
54.35542;65.33791
54.355;65.26333
54.34896;66.76031
54.34469;66.95615
54.32479;65.22094
54.32188;66.89916
54.31125;66.78969
54.31052;66.83656
54.30219;67.05521
54.29937;66.85385
54.29479;66.80292
54.29042;66.87448
54.28563;66.83177
54.25187;67.10709
54.22854;65.22157
54.22292;65.00906
54.2225;65.13438
54.20615;67.13229
54.20479;65.07771
54.20438;67.13302
54.2026;64.93521
54.1975;65.18844
54.19313;65.12885
54.18979;64.85114
54.18615;67.23281
54.18594;67.14396
54.17552;67.15094
54.16677;65.21875
54.1549;64.78188
54.14792;65.23688
54.14219;64.73209
54.12448;67.27657
54.06739;64.7225
54.00729;64.49364
53.99625;67.32188
53.9901;64.59135
53.98386;64.725
53.97562;64.39854
53.97385;64.69041
53.96854;64.67677
53.96115;64.35
53.89969;64.13219
53.89563;67.36219
53.89344;64.1926
53.89208;64.11542
53.89052;64.30688
53.88771;64.23813
53.86583;64.18114
53.83604;64.10198
53.81646;67.3427
53.81334;67.33489
53.81031;64.09354
53.80969;67.45583
53.80427;67.46584
53.79177;67.41354
53.78875;67.375
53.7825;67.35
53.77677;67.46906
53.77594;67.37896
53.77063;67.39333
53.76771;67.46917
53.76771;67.46344
53.76698;67.44572
53.76531;67.48396
53.76469;67.32969
53.76208;67.39114
53.75135;64.11927
53.74937;67.385
53.74062;67.30115
53.73271;67.44666
53.7301;67.45479
53.72511;67.31479
53.70438;67.4475
53.66625;64.11896
53.63063;67.37937
53.60365;64.10416
53.60125;67.36896
53.58167;64.09812
53.56875;64.0775
53.55125;64.05406
53.52896;67.34771
53.51219;64.02302
53.51021;64.94281
53.50604;64.91156
53.50552;63.68604
53.48885;64.89136
53.48615;67.31792
53.48396;63.65521
53.48063;64.02156
53.47709;67.33708
53.47156;63.74302
53.4674;64.87312
53.46604;64.98573
53.44458;63.81062
53.43219;63.91042
53.42865;63.98125
53.41208;63.63771
53.40906;63.88531
53.40135;64.895
53.38438;65.01135
53.37219;63.43771
53.36937;65.02031
53.36552;63.29208
53.36104;63.51271
53.35885;63.37198
53.35729;65.10886
53.35698;63.35552
53.35688;67.38771
53.35542;63.27
53.35437;65.26385
53.35354;63.25667
53.3525;63.63083
53.3499;65.21886
53.34771;63.35958
53.34469;65.23364
53.34396;65.2626
53.34354;65.2776
53.33979;63.58146
53.33573;65.21854
53.33167;65.21833
53.32708;65.20302
53.32573;63.59594
53.31937;65.24625
53.31698;65.18636
53.30365;65.12156
53.29052;65.14761
53.29;65.19229
53.28771;65.18041
53.27823;65.18459
53.27813;65.16885
53.26573;65.12625
53.26146;63.30719
53.25135;65.23688
53.25073;63.30188
53.24542;65.10479
53.23989;67.38198
53.23906;65.17188
53.23802;65.21875
53.23427;63.31698
53.23167;65.24385
53.2301;65.20219
53.21979;64.75
53.21323;65.25916
53.21177;63.32333
53.21031;65.19281
53.2074;65.07781
53.20021;64.72302
53.19781;65.07375
53.19354;65.07114
53.19052;67.40302
53.19031;67.39458
53.18542;64.70885
53.1826;65.08896
53.17729;64.79459
53.17708;64.79636
53.17667;64.77959
53.17583;64.76636
53.17448;64.70687
53.17292;63.30646
53.17292;65.26948
53.17219;65.10542
53.16323;67.39521
53.16052;65.12552
53.16021;64.76511
53.15313;65.04094
53.14989;67.37625
53.14021;64.79156
53.13656;65.1552
53.13625;64.70823
53.13365;65.28823
53.11604;65.18198
53.115;65.06458
53.11385;64.76395
53.11156;65.06355
53.10386;65.04177
53.10333;67.37708
53.1026;65.26427
53.10136;64.9948
53.10094;63.34229
53.10021;65.19708
53.09542;64.76875
53.09354;62.52427
53.09354;65.19125
53.09;65.23552
53.08948;65.03156
53.08646;64.70052
53.08615;65.06656
53.08073;64.60646
53.07906;64.725
53.07844;65.09375
53.07469;64.5199
53.07365;67.35365
53.07323;67.38031
53.07094;62.50562
53.06344;62.43781
53.0601;63.35667
53.05989;65.14667
53.05708;64.67062
53.05437;62.42646
53.05365;62.53635
53.05344;65.09906
53.05104;64.61375
53.05042;65.05885
53.04844;62.46792
53.04667;65.12323
53.04448;64.48802
53.04177;64.88635
53.04104;64.44656
53.03885;64.78167
53.03625;64.23583
53.03177;64.71552
53.03083;64.52042
53.02948;64.65614
53.02771;67.34167
53.02615;65.02458
53.02458;64.60291
53.02312;64.74729
53.02292;64.77417
53.01948;62.55573
53.01719;64.56895
53.01469;64.82438
53.01156;62.46635
53.01135;64.68468
53.01062;64.24042
53.01021;63.38052
53.00865;64.8074
53.00458;64.82969
53.00417;64.98531
53.00385;64.77927
53.00333;62.44948
53.00167;62.63438
53.00135;64.73198
53.00042;67.32281
52.99896;64.69052
52.99635;64.78281
52.99354;67.32833
52.99344;62.49281
52.99271;64.22365
52.99115;64.81541
52.98938;62.50167
52.98917;62.62854
52.98583;62.62469
52.98469;64.68771
52.97823;64.89771
52.97719;62.64313
52.97625;62.62521
52.97562;64.2376
52.97531;64.70292
52.9749;62.54552
52.97302;64.90698
52.97156;63.41927
52.96812;64.88646
52.96333;64.89323
52.96188;62.47865
52.95864;62.54656
52.95698;64.21239
52.95656;64.53625
52.95552;64.77364
52.95135;64.23104
52.94948;62.6651
52.94677;63.44177
52.94573;64.85136
52.94521;62.6
52.94469;64.27177
52.94292;62.42437
52.94135;62.69177
52.94115;64.27104
52.94104;62.6701
52.94094;62.64698
52.9375;67.27271
52.93636;62.55375
52.93573;62.69844
52.93531;62.58354
52.93135;64.28875
52.93;64.15625
52.92969;62.69437
52.9275;64.82365
52.92739;62.63573
52.92604;63.42167
52.92323;62.4875
52.92323;64.79771
52.92271;62.37417
52.92229;62.70302
52.92229;64.11969
52.92167;64.89448
52.91719;62.75114
52.91677;62.47031
52.91323;64.89896
52.91104;62.50469
52.91042;64.31854
52.90802;64.55635
52.90729;64.13385
52.90552;64.9049
52.90511;64.0901
52.905;64.15938
52.90448;62.6625
52.90354;64.16635
52.9024;62.50813
52.90198;64.82844
52.90187;64.81906
52.90052;62.70864
52.89885;64.06219
52.89865;64.15135
52.89771;63.4299
52.8975;64.87459
52.89719;64.75031
52.89542;64.14437
52.89469;64.79667
52.89437;64.82677
52.89052;64.76229
52.88896;62.73021
52.88896;64.19104
52.885;64.16458
52.88271;62.72667
52.87875;64.85479
52.8775;64.78313
52.87635;62.40802
52.87594;64.3975
52.87469;64.66302
52.87375;62.55104
52.87146;64.78083
52.87125;64.81896
52.87052;62.71833
52.86844;64.82094
52.8674;62.76115
52.86646;62.76511
52.86604;64.79781
52.86521;62.68385
52.8625;62.37792
52.86229;64.50219
52.86;64.37917
52.85812;62.53292
52.85656;62.73021
52.85614;64.82844
52.85531;62.69271
52.85448;67.22813
52.85375;64.81854
52.85167;64.84093
52.85073;62.7151
52.8499;64.80271
52.84958;64.58406
52.84927;64.79542
52.84875;64.7774
52.84698;64.15667
52.84344;62.695
52.84281;62.69479
52.84146;62.57761
52.83688;63.44802
52.83688;64.88344
52.83656;62.55469
52.83625;64.07584
52.83604;62.56886
52.83271;62.66177
52.83094;62.71365
52.8301;64.08104
52.82771;62.68708
52.8275;64.15833
52.82417;62.70573
52.82261;62.57677
52.82219;64.15396
52.82188;62.70771
52.82052;62.48302
52.81875;64.17687
52.81677;62.69989
52.81625;62.73906
52.81479;64.48115
52.81438;62.73281
52.81167;62.53635
52.81031;62.40562
52.81021;64.8326
52.80875;67.20844
52.80833;64.81313
52.80375;64.55833
52.80302;62.66302
