K5PC5CH.OP;K5T4.PV;K5T7.PV;K5PC6CH.OP;K5T9_2.PV;K5T8_1.PV
55.48906;138.1857;52.30479;66.49412;27.38531;68.02344
55.72313;138.4121;52.22448;66.46948;27.70927;68.02042
55.63448;138.2167;52.28614;66.48933;27.84917;68.01041
55.51609;138.232;52.37437;66.46609;27.85375;68.00729
55.50167;138.5081;52.21719;66.45557;27.55229;67.99458
55.33755;138.1123;52.34958;66.43984;27.84344;67.99458
55.79703;138.495;52.25021;66.45724;27.68479;67.97531
55.54047;138.1605;52.37698;66.47859;27.77417;67.97437
55.51474;138.3673;52.25719;66.46906;27.82781;67.97229
55.55995;137.6799;52.19781;66.40911;28.0249;67.91531
55.46401;137.789;52.1725;66.41146;28.17719;67.90938
55.64526;138.2666;52.22854;66.44662;27.6325;67.90229
55.53005;137.6359;52.20333;66.40208;27.95469;67.89562
55.59005;137.9551;52.10594;66.39417;26.60875;67.88812
55.53125;137.7594;52.11323;66.41151;27.60854;67.88552
55.54688;138.2435;52.21031;66.47;27.50771;67.8851
55.71011;137.7203;52.11031;66.43958;27.5774;67.885
55.43292;137.6603;52.19344;66.42552;27.87792;67.88302
55.6912;138.0293;52.09104;66.40938;26.215;67.8799
55.44693;138.4084;52.1225;66.44515;27.63479;67.87823
55.57755;137.8397;52.09521;66.3951;26.19729;67.87625
55.62464;138.2997;52.13354;66.43156;27.62458;67.87552
55.20969;138.147;51.84469;66.32281;25.5826;67.87437
55.5825;137.6377;52.17479;66.41698;27.8999;67.87115
55.44224;137.783;52.11489;66.44677;27.91927;67.8701
55.50865;137.8476;52.14427;66.41239;27.72104;67.86802
55.39682;138.0193;52.08802;66.425;26.07698;67.86781
55.67719;138.0856;51.91344;66.40833;25.98313;67.86594
55.73938;138.2642;52.1876;66.46047;27.69312;67.86459
55.55969;137.7888;52.14625;66.39417;27.62823;67.86344
55.55198;138.0605;51.88833;66.39031;26.61948;67.85906
55.6375;137.8611;52.0924;66.40948;26.78229;67.85833
55.46542;137.7503;52.08146;66.4151;27.14031;67.8575
55.57677;138.6004;52.21563;66.45583;26.61646;67.85656
55.50198;138.3225;52.09438;66.47573;27.32844;67.85375
55.59557;138.5005;52.29271;66.43271;26.77396;67.85073
55.6;137.7713;52.06802;66.42146;27.7599;67.85021
55.52;137.9503;52.03146;66.42411;25.87917;67.85
55.4663;138.2033;51.80844;66.37589;25.6174;67.84469
55.60386;137.8248;52.13823;66.40995;27.625;67.84281
55.4588;138.3844;52.25;66.46052;26.97448;67.84073
55.49177;138.0426;51.86573;66.3888;26.3825;67.84052
55.56229;137.8044;52.15865;66.39313;27.80854;67.83948
55.64932;138.4021;52.12188;66.4599;27.36146;67.83927
55.59464;138.5507;52.22125;66.49818;26.88042;67.83916
55.34787;138.2759;52.20063;66.45417;26.06479;67.83666
55.57125;138.4895;52.26521;66.48058;26.55417;67.83646
55.55214;138.1872;52.17906;66.46438;26.38688;67.81948
55.55734;138.3056;52.14844;66.45865;27.14854;67.81698
55.50672;138.2663;52.17865;66.46484;27.18375;67.81635
55.5901;138.1269;51.96198;66.37573;27.09594;67.81458
55.54401;138.2534;52.19167;66.48427;27.7099;67.81178
55.50964;138.5041;52.23;66.4525;27.20469;67.80989
55.62047;138.3231;52.07875;66.51557;26.91115;67.8074
55.52375;138.2049;52.15344;66.4575;27.37417;67.80396
55.5175;138.2561;51.96167;66.35042;26.8424;67.80375
55.58151;138.3341;52.23438;66.47385;27.45198;67.80281
55.43495;137.817;52.00104;66.43156;27.69885;67.80073
55.40536;137.8072;52.01062;66.40765;27.62437;67.80073
55.12365;138.0223;51.79521;66.365;26.89833;67.79855
55.79109;137.669;51.79979;66.37474;26.74323;67.7951
55.5837;137.6516;51.89104;66.36109;27.0151;67.79333
55.5299;138.1703;52.15927;66.45922;27.49042;67.7925
55.24505;138.1283;51.76385;66.39505;26.2924;67.79115
55.4164;137.8179;51.99823;66.42146;27.85802;67.78177
55.52245;138.0165;51.86979;66.39354;26.80781;67.78073
55.17641;137.759;51.92302;66.3687;26.77865;67.77969
55.38562;137.6812;51.78083;66.38427;27.44563;67.77885
55.33167;138.0316;51.76208;66.3975;26.75635;67.7774
55.35495;137.6534;51.92125;66.37948;27.0549;67.77604
55.36656;137.725;52.02469;66.38318;27.54531;67.77364
55.65818;138.1234;51.81823;66.38167;26.69271;67.77354
55.6163;137.5997;51.92708;66.38229;28.00948;67.77042
55.57833;138.6855;52.05333;66.44244;26.38729;67.77021
55.5913;137.7685;51.83021;66.38255;26.48792;67.76875
55.755;137.5697;51.91823;66.40797;27.54219;67.76698
55.46917;137.8769;51.95052;66.42151;27.80187;67.76511
55.1186;138.2421;51.95969;66.40135;26.42802;67.76354
55.64099;137.808;51.81427;66.40818;27.13969;67.76292
55.50807;137.867;51.99969;66.37646;26.52448;67.76281
55.24672;138.0825;51.99677;66.42599;26.78042;67.76052
55.50547;137.6802;51.99688;66.39615;27.2549;67.75938
55.21792;139.2197;52.08125;66.42219;25.83667;67.75313
55.3913;137.8606;51.83719;66.38333;26.76458;67.75302
55.06052;138.2206;51.98604;66.4237;26.80365;67.75271
55.13906;137.9222;51.9901;66.44933;26.67698;67.7526
55.48115;137.7228;51.82281;66.41255;26.94094;67.7525
55.57031;137.5503;51.95448;66.39265;28.18813;67.74281
55.33974;137.982;51.93521;66.37599;27.81625;67.74031
55.52964;137.9282;51.78886;66.41911;25.83646;67.73927
55.52167;137.6045;51.99073;66.36969;27.46427;67.73729
55.44917;137.9804;52.05177;66.40697;26.92917;67.73489
55.52271;137.6866;51.97896;66.39656;26.52312;67.73479
55.57057;137.7223;52.12594;66.3937;26.28021;67.73458
55.58042;137.8065;51.79562;66.40625;27.28302;67.72875
55.70026;137.8726;51.88094;66.3938;27.21615;67.72646
55.58302;137.6967;52.10844;66.36797;26.62313;67.72614
55.46526;137.9811;52.05062;66.3649;26.01073;67.72573
55.68943;138.0806;51.85708;66.37448;26.89187;67.72385
55.10729;137.7225;51.84104;66.39172;26.81323;67.72354
55.93177;137.9222;51.92979;66.42359;27.585;67.72334
55.4439;137.6484;51.88833;66.40396;27.5849;67.72073
55.28495;137.494;51.93261;66.34297;27.65261;67.71938
55.54521;137.7441;51.8299;66.38261;27.49875;67.71927
55.38515;137.5714;51.86521;66.42667;27.71;67.71917
55.27146;137.632;51.92208;66.42328;27.97594;67.71781
55.4924;137.4834;51.91177;66.36828;27.36854;67.71719
55.37135;137.5406;51.97698;66.37714;27.3226;67.71635
55.37318;137.7088;51.8676;66.38786;26.99854;67.71573
55.61021;137.7054;51.95896;66.41318;28.12687;67.71532
55.7599;137.5607;52.03021;66.40599;27.15469;67.71011
55.53765;137.6834;51.89052;66.37;27.25937;67.70563
55.14672;137.6941;52.1426;66.40021;26.69146;67.70302
55.61625;137.6293;52.06115;66.39162;26.39031;67.7001
55.58505;137.8435;51.77031;66.37062;25.00656;67.69927
55.30099;137.8632;52.06896;66.42401;26.64917;67.69927
55.48302;137.7088;51.86854;66.3839;26.97552;67.69875
55.79708;137.8755;51.86125;66.39313;27.46313;67.69813
55.43443;138.0843;52.07687;66.39906;25.40698;67.69813
55.63443;137.4325;51.94604;66.39484;27.56271;67.69791
55.7249;137.8111;51.75792;66.37432;25.19365;67.69719
55.35729;137.7352;51.85386;66.35031;26.76031;67.69666
55.49229;137.7292;51.93208;66.36219;26.65802;67.69375
55.41026;138.0796;51.86719;66.37756;27.01333;67.69281
55.42136;137.6999;51.88396;66.38443;27.00198;67.69187
55.56739;138.3401;52.11333;66.46344;25.47531;67.69167
55.60812;137.6823;52.1;66.37927;26.44885;67.68636
55.39104;137.7142;51.91636;66.3676;27.39021;67.68552
55.63307;137.8467;51.7901;66.38536;25.91094;67.68114
55.30927;137.7478;52.11896;66.38187;26.765;67.68083
55.53896;137.7795;51.98979;66.37984;26.61583;67.68063
55.74703;137.7683;51.96333;66.37865;26.93417;67.67979
55.37959;137.8161;51.90635;66.34906;26.99292;67.67687
55.43932;137.841;51.85209;66.40729;27.4876;67.67615
55.51208;137.8746;51.9099;66.38635;27.15073;67.67198
55.4574;137.6824;52.10073;66.37802;26.71896;67.67104
