K5PC5CH.OP;K5T4.PV;K5T7.PV;K5PC6CH.OP;K5T8_3.PV
31.02161;114.501;49.41198;43.14094;107.4874
31.07828;114.4773;49.44865;43.14161;107.4718
30.82781;114.5524;49.45531;43.13417;107.45
30.97302;114.2618;49.49219;43.1664;107.45
30.98516;114.1529;49.5276;43.16813;107.4299
31.02073;114.2342;49.52844;43.18114;107.4249
30.93073;114.3509;49.50625;43.17755;107.4244
30.9126;114.4098;49.48625;43.17661;107.4229
31.0399;114.5603;49.50771;43.16745;107.4242
31.05417;114.6637;49.56156;43.18459;107.4049
30.88875;114.7588;49.59604;43.16245;107.3926
30.91021;115.1201;49.57979;43.1726;107.3834
30.96328;114.8776;49.58896;43.2062;107.3783
30.99927;114.8526;49.60677;43.17542;107.3723
30.89068;115.0479;49.66885;43.19812;107.3577
30.90641;114.8236;49.69729;43.18714;107.3397
30.98083;114.791;49.71083;43.19953;107.3356
30.80771;114.8469;49.78052;43.19588;107.333
30.9249;115.1011;49.79896;43.15276;107.3382
30.92323;114.8102;49.80948;43.21755;107.3591
30.85464;114.6028;49.7901;43.16797;107.382
30.8713;114.6939;49.75677;43.18839;107.3957
30.91443;114.6669;49.74083;43.18609;107.3843
30.81901;114.5496;49.77573;43.17615;107.4054
30.85635;114.4199;49.73635;43.14849;107.4258
30.82047;114.5287;49.71542;43.19437;107.4571
30.95745;114.5082;49.69469;43.1899;107.4693
30.88313;114.5658;49.6576;43.18526;107.4722
30.95573;114.5497;49.5774;43.15854;107.48
30.94833;114.4678;49.56677;43.18328;107.4782
30.89083;114.5499;49.58802;43.15609;107.4817
30.82135;114.6988;49.54719;43.18864;107.457
30.90422;114.7738;49.56802;43.20693;107.4386
30.82813;114.8893;49.54677;43.16292;107.4265
31.02745;115.1771;49.50531;43.18922;107.4336
30.80854;114.8617;49.54333;43.1962;107.4335
30.84026;114.5286;49.60844;43.20875;107.4253
30.94859;114.562;49.62594;43.20432;107.4316
30.89713;114.8752;49.6825;43.18521;107.453
30.88385;114.7123;49.76146;43.21005;107.4752
30.83401;114.6747;49.82875;43.21073;107.4718
30.98339;114.7855;49.80542;43.20052;107.4775
30.92411;114.7332;49.76886;43.21125;107.4914
30.76781;114.6958;49.74417;43.21312;107.4816
30.90214;114.6702;49.72364;43.22599;107.4703
30.92542;114.6922;49.76146;43.21328;107.4925
30.95828;114.9705;49.78708;43.23099;107.4982
31.0024;114.9273;49.86594;43.22646;107.5154
30.85443;114.8299;49.98146;43.22729;107.5294
30.93354;114.6769;50.04052;43.23172;107.5571
30.96136;114.9226;50.03239;43.24979;107.5595
30.92167;115.0108;50.02042;43.24115;107.5768
30.90615;114.9157;50.03062;43.22943;107.5855
30.96307;114.9435;50.03646;43.2225;107.6167
30.94203;115.0582;50.02854;43.22364;107.6311
30.96594;114.9422;50.03292;43.21073;107.6572
30.89974;114.8767;50.06511;43.23427;107.6856
30.88932;114.9308;50.10073;43.22766;107.7001
30.8949;114.9855;50.11823;43.19099;107.7193
30.86339;114.9933;50.12239;43.20177;107.7474
31.01917;115.1516;50.06771;43.21912;107.722
30.89995;114.9994;50.06594;43.20771;107.7042
31.005;114.8499;50.10542;43.22698;107.7164
30.92104;114.7878;50.12;43.22547;107.7139
30.835;114.7712;50.06771;43.20839;107.71
30.92448;115.0357;50.08042;43.2237;107.7052
30.90359;115.279;50.09573;43.21698;107.6821
30.82521;115.0796;50.09031;43.21792;107.6819
30.76901;114.8788;50.08458;43.21932;107.6907
30.90542;114.8864;50.05489;43.23719;107.6792
30.86521;114.8003;50.06625;43.22677;107.6839
30.78563;114.7571;50.10229;43.23797;107.6799
30.84865;114.8496;50.17781;43.25333;107.6711
30.90573;114.8565;50.28167;43.23917;107.6873
30.83422;114.8584;50.30802;43.24521;107.69
30.8551;114.9092;50.29083;43.29536;107.6931
30.84719;114.9498;50.31886;43.26292;107.6821
30.93672;114.9817;50.38677;43.25958;107.6958
30.80599;115.1087;50.40573;43.27823;107.705
30.85818;114.9815;50.4175;43.28177;107.7174
30.7875;114.9426;50.45281;43.27417;107.7306
30.81672;115.0385;50.5349;43.28125;107.7436
30.7438;115.0342;50.53375;43.27291;107.7592
30.91276;115.1106;50.52261;43.29786;107.7918
30.83339;115.1975;50.52229;43.29349;107.8169
30.86036;115.254;50.54021;43.32667;107.8516
30.80927;115.2479;50.54792;43.34281;107.8844
30.77917;115.2752;50.55635;43.28646;107.8952
30.76906;115.2084;50.55979;43.30818;107.907
30.76912;115.285;50.54792;43.33453;107.9502
30.81812;115.3095;50.58;43.33516;107.9859
30.79198;115.4304;50.59281;43.29885;107.9907
30.93115;115.2964;50.63625;43.30531;108.0118
30.78917;115.2083;50.65385;43.31021;108.0329
30.85682;115.1581;50.69083;43.35115;108.0604
30.85854;115.0836;50.67198;43.29781;108.0791
30.84526;115.2805;50.63854;43.30203;108.0777
30.88828;115.2487;50.60458;43.28386;108.0977
30.80349;115.3022;50.55552;43.35073;108.1035
30.79313;115.3745;50.57438;43.31464;108.1241
30.8138;115.4077;50.52636;43.32427;108.1685
30.8412;115.4407;50.46875;43.33411;108.1963
30.7126;115.508;50.51125;43.36489;108.2122
30.72479;115.5056;50.50125;43.35453;108.2357
30.82682;115.4868;50.53177;43.37234;108.2667
30.81552;115.4914;50.54573;43.3387;108.2714
30.79479;115.3951;50.51854;43.34641;108.2871
30.73734;115.5046;50.4701;43.28635;108.2937
30.76995;115.4381;50.4475;43.32958;108.3081
30.80792;115.4772;50.39708;43.345;108.3546
30.70943;115.4517;50.40334;43.3012;108.3999
30.68792;115.3892;50.37365;43.31068;108.4191
30.66302;115.5106;50.36146;43.29208;108.4561
30.68411;115.6067;50.35958;43.33406;108.4952
30.74729;115.5799;50.32146;43.35745;108.5246
30.63187;115.4799;50.29854;43.36078;108.5141
30.7237;115.3127;50.32573;43.36255;108.5151
30.64453;115.3383;50.39864;43.34443;108.5041
30.65484;115.3167;50.43375;43.34651;108.4977
30.6837;115.469;50.40125;43.3274;108.4878
30.69312;115.6254;50.39219;43.32823;108.4771
30.71589;115.4852;50.43844;43.32516;108.482
30.78354;115.454;50.46552;43.29365;108.4677
30.70188;115.4992;50.47333;43.30078;108.4639
30.71068;115.4385;50.44677;43.29344;108.4735
30.52474;115.3346;50.41344;43.2774;108.4941
30.55948;115.1486;50.40802;43.26854;108.4928
30.66724;115.1979;50.42313;43.2762;108.4865
30.62693;115.2056;50.47865;43.26224;108.4803
30.69906;115.1654;50.45937;43.29187;108.4864
30.71406;115.1773;50.49511;43.2663;108.4778
30.66208;115.3211;50.47542;43.2711;108.4726
30.71724;115.2891;50.52948;43.29521;108.4639
30.65458;115.3549;50.58115;43.25938;108.4478
30.70245;115.3138;50.59708;43.31588;108.4486
30.66234;115.2292;50.61604;43.28167;108.4332
30.75172;115.1758;50.64344;43.28474;108.4125
30.6488;115.0445;50.695;43.33682;108.3949
30.68328;115.0184;50.66427;43.30141;108.397
30.74333;115.2332;50.64063;43.32141;108.3899
30.84833;115.4126;50.64458;43.31739;108.405
30.75573;115.3838;50.5925;43.30604;108.429
30.70385;115.3859;50.59438;43.31958;108.4454
30.88807;115.4036;50.67031;43.33323;108.4334
30.78172;115.3325;50.74802;43.31974;108.4432
30.67901;115.3731;50.78583;43.26755;108.4649
30.74969;115.3176;50.79448;43.29219;108.4553
30.73474;115.2765;50.88063;43.33198;108.462
30.77635;115.3949;50.90364;43.30078;108.4446
30.84042;115.132;50.88688;43.35588;108.4272
30.7562;115.1128;50.90052;43.30495;108.4202
30.64479;115.2339;50.90427;43.32917;108.4134
30.7113;115.3034;50.90083;43.33521;108.4067
30.70354;115.4307;50.89708;43.32385;108.4033
30.63552;115.387;50.8824;43.29823;108.3977
30.60953;115.3752;50.87125;43.30787;108.4065
30.70786;115.1691;50.8625;43.32969;108.3967
30.70302;115.1207;50.83886;43.29896;108.391
30.72276;115.2435;50.81709;43.33719;108.3695
30.84141;115.353;50.77052;43.35036;108.352
30.69786;115.6748;50.73385;43.34979;108.3541
30.68625;115.3655;50.77187;43.30505;108.3407
30.72365;115.0372;50.76667;43.34261;108.3316
30.80911;115.0049;50.77917;43.33297;108.3328
30.69141;115.1074;50.76521;43.29099;108.3363
30.68161;115.171;50.72896;43.33411;108.3217
30.76021;115.2194;50.68438;43.32214;108.3094
