K5PC5CH.OP;K5PC6CH.OP;K5T10_2.PV;K5T5_1.PV;K5T18_1.PV;K5T8_5.PV;K5T12.PV
28.65635;41.26015;91.42719;562.4542;205.8548;99.99989;148.1214
29.73995;42.27958;91.28344;566.7182;209.1475;99.99969;149.6884
28.52484;41.23974;91.39167;563.7745;205.2888;99.99875;148.0484
31.6162;43.68005;92.46532;575.3948;212.439;99.99833;150.8874
28.84167;41.19859;90.25552;561.6641;205.7602;99.99833;147.692
29.76776;42.24641;91.24646;568.4479;209.8446;99.99823;149.6212
28.54635;41.22729;91.39854;564.3927;205.4758;99.9976;148.0383
29.93484;42.22338;91.25562;569.1375;209.5063;99.9975;149.5359
28.61016;41.2812;91.35792;563.6557;206.0221;99.9974;148.0612
36.03635;47.90151;93.14302;588.8146;215.2437;99.99698;150.5051
29.62307;42.23005;91.34657;571.4818;209.7996;99.99635;149.6603
28.70115;41.26151;91.44771;563.201;205.6417;99.99635;148.0546
29.08823;41.69416;91.39635;563.0604;209.1183;99.99625;149.6482
28.53927;41.23771;91.44229;562.8386;205.3125;99.99583;148.1322
28.92714;41.19073;90.25135;560.5745;205.896;99.99573;147.7382
29.67786;42.18932;91.19844;568.4578;210.0213;99.99563;149.7263
29.72594;42.23531;91.24114;571.5266;209.5327;99.99541;149.5305
29.91396;42.22635;91.20677;571.5156;209.6656;99.9951;149.4989
32.5187;44.75714;91.6199;581.2568;210.8558;99.995;139.7371
29.80406;42.20057;91.17438;570.15;210.1242;99.99448;149.6867
28.8362;41.17724;90.25771;561.7177;206.0627;99.99427;147.811
26.36781;39.04302;92.45209;553.0432;195.9056;99.99396;144.1909
29.11557;41.78537;92.06594;564.9291;209.0112;99.99292;149.4968
26.40031;39.00703;92.4349;553.5568;196.0569;99.99292;144.2827
28.78812;41.17208;90.30396;561.7141;206.0731;99.9925;147.8525
29.13214;41.29849;91.49094;561.7953;205.6083;99.99073;148.5208
27.79568;39.85026;92.66833;558.8932;200.3521;99.98979;146.1415
28.64974;41.2286;91.32125;561.6432;206.1408;99.98948;147.9859
29.71578;42.2174;91.19865;572.0953;209.839;99.98937;149.4823
28.52531;41.21823;91.44958;564.2328;205.6706;99.98896;148.1456
27.20047;39.66505;90.74469;551.149;205.4325;99.98875;147.9948
29.04141;41.67417;91.39271;564.7219;209.0419;99.98802;149.5815
29.79042;42.22213;91.30354;572.0167;209.8008;99.98688;149.6861
29.55406;42.20927;91.21281;568.6026;209.736;99.98542;149.6991
29.88073;42.23807;91.24479;570.387;209.5131;99.98458;149.583
27.96896;39.88797;92.72948;557.9026;200.4256;99.98438;146.1685
29.72766;42.24;91.25698;571.8391;209.8981;99.98354;149.7388
26.28927;39.01099;92.45573;553.8635;195.9371;99.98219;144.1362
27.89146;39.87922;92.72854;556.0541;200.4421;99.98209;146.1228
28.87849;41.18182;90.34333;561.4276;205.8935;99.98177;147.9264
29.76672;42.22766;91.33459;567.1661;209.8056;99.98073;149.581
29.69891;42.23146;91.24928;567.8823;209.7971;99.98073;149.5444
29.83198;42.25323;91.2123;570.3073;209.6775;99.98;149.5822
30.65484;43.16057;91.47031;570.5261;207.2635;99.97969;145.4539
29.7175;42.20609;91.35781;569.2786;209.6898;99.97958;149.6219
28.51911;41.24177;91.1899;562.4359;206.0371;99.97958;147.9227
28.59125;41.23734;91.25354;561.313;206.1298;99.97729;147.9677
29.70385;42.23099;91.28167;568.688;209.7998;99.97698;149.6303
28.97708;41.68677;91.44927;566.362;209.1375;99.97698;149.5259
29.775;42.23484;91.29667;570.8417;209.2394;99.97552;149.6433
26.11495;38.9724;92.33157;551.1448;196.1346;99.97511;144.3308
29.82807;42.22234;91.20104;569.2406;209.4971;99.975;149.6329
29.57484;42.23479;91.25844;569.9734;209.3817;99.9749;149.5479
28.6926;41.23432;91.18011;561.7313;205.8667;99.97469;147.8164
28.6562;41.22969;91.10604;563.9948;205.2117;99.97448;147.7778
29.17469;41.7774;92.15698;563.0031;209.1712;99.97427;149.4824
29.67672;42.20927;91.15802;570.0802;209.6077;99.97385;149.6505
28.67391;41.24568;91.19312;563.5526;205.6519;99.97343;147.7476
26.26974;38.96557;92.43333;553.1661;196.0556;99.97208;144.1445
29.55599;42.20557;91.13229;568.4557;209.7696;99.97177;149.6285
28.8276;41.17557;90.42313;561.2146;205.6477;99.97157;147.9558
