K5T7.PV;K5T9_2.PV
54.6251;28.03448
54.62208;28.00167
54.59698;28.11208
54.59417;27.89812
54.58094;27.90948
54.55312;27.97104
54.55292;28.09448
54.53552;26.8875
54.53458;28.05385
54.53031;27.9999
54.52656;27.91562
54.51979;27.95854
54.51844;27.79375
54.51011;27.76094
54.48917;27.70938
54.48833;26.76229
54.48542;25.87365
54.4776;27.00948
54.46833;27.54865
54.45906;26.84656
54.45167;27.40469
54.44656;27.77219
54.44292;25.66146
54.44062;27.64302
54.43552;27.78281
54.41604;27.76198
54.39125;26.12156
54.36125;26.72635
54.35542;26.47625
54.355;26.96854
54.34896;27.69198
54.34469;28.43198
54.32479;26.8676
54.32188;28.26917
54.31125;27.725
54.31052;27.77729
54.30219;28.16146
54.29937;27.41844
54.29479;27.79136
54.29042;27.17739
54.28563;27.6851
54.25187;27.99177
54.22854;26.11292
54.22292;27.31646
54.2225;27.11052
54.20615;27.9874
54.20479;27.09135
54.20438;28.12062
54.2026;27.33146
54.1975;26.91823
54.19313;26.92354
54.18979;27.2801
54.18615;28.06729
54.18594;27.88896
54.17552;28.14573
54.16677;26.41167
54.1549;27.1751
54.14792;25.9601
54.14219;26.81885
54.12448;28.03521
54.06739;26.2675
54.00729;27.57792
53.99625;27.79885
53.9901;27.57125
53.98386;26.11
53.97562;27.61656
53.97385;26.62448
53.96854;27.22031
53.96115;27.80615
53.89969;27.03813
53.89563;27.68063
53.89344;27.1549
53.89208;27.405
53.89052;27.82865
53.88771;27.87062
53.86583;26.75396
53.83604;27.64552
53.81646;28.19708
53.81334;28.37604
53.81031;27.74063
53.80969;27.71604
53.80427;28.04854
53.79177;27.6224
53.78875;27.64646
53.7825;27.92406
53.77677;27.72302
53.77594;27.65542
53.77063;27.80719
53.76771;27.31948
53.76771;26.71656
53.76698;26.63948
53.76531;27.81177
53.76469;28.52062
53.76208;27.05719
53.75135;27.66927
53.74937;26.75469
53.74062;28.45906
53.73271;26.76542
53.7301;27.31656
53.72511;28.44948
53.70438;26.33906
53.66625;27.18011
53.63063;28.29708
53.60365;26.8674
53.60125;28.4324
53.58167;27.09292
53.56875;27.12604
53.55125;27.31698
53.52896;28.5674
53.51219;27.13271
53.51021;30.39552
53.50604;30.50375
53.50552;27.50802
53.48885;30.28489
53.48615;28.5926
53.48396;27.40625
53.48063;26.72854
53.47709;28.6626
53.47156;27.25073
53.4674;30.03698
53.46604;30.1299
53.44458;27.01781
53.43219;26.29208
53.42865;26.28615
53.41208;27.32031
53.40906;26.6026
53.40135;30.12969
53.38438;30.17135
53.37219;27.69188
53.36937;29.08625
53.36552;27.62979
53.36104;27.63198
53.35885;27.70969
53.35729;30.52625
53.35698;27.74115
53.35688;28.58104
53.35542;27.58823
53.35437;29.79844
53.35354;27.33969
53.3525;27.41406
53.3499;30.27427
53.34771;27.74927
53.34469;30.60604
53.34396;29.90333
53.34354;29.82448
53.33979;27.45313
53.33573;30.70771
53.33167;30.58719
53.32708;29.83406
53.32573;27.42885
53.31937;30.30125
53.31698;30.5074
53.30365;28.52969
53.29052;28.99927
53.29;30.59625
53.28771;30.46583
53.27823;30.40438
53.27813;29.30802
53.26573;29.46646
53.26146;26.4875
53.25135;29.24313
53.25073;25.78833
53.24542;29.75604
53.23989;28.41771
53.23906;30.22521
53.23802;28.80563
53.23427;25.99625
53.23167;30.54042
53.2301;30.1824
53.21979;30.19427
53.21323;30.52021
53.21177;26.53021
53.21031;29.83479
53.2074;30.26896
53.20021;30.2426
53.19781;29.88448
53.19354;30.08083
53.19052;28.37313
53.19031;28.50271
53.18542;30.01323
53.1826;30.1024
53.17729;29.9574
53.17708;30.18708
53.17667;30.35344
53.17583;29.99594
53.17448;30.07667
53.17292;30.20542
53.17292;26.89823
53.17219;30.47552
53.16323;28.42562
53.16052;29.77208
53.16021;29.78396
53.15313;29.89083
53.14989;28.22167
53.14021;29.87208
53.13656;30.63188
53.13625;30.03396
53.13365;29.50792
53.11604;28.92156
53.115;30.11563
53.11385;29.72406
53.11156;30.22958
53.10386;30.14385
53.10333;27.86427
53.1026;28.9449
53.10136;29.83021
53.10094;27.18
53.10021;30.8875
53.09542;29.90396
53.09354;31.06031
53.09354;30.96385
53.09;28.41281
53.08948;30.34146
53.08646;29.78365
53.08615;30.23156
53.08073;29.8974
53.07906;29.9575
53.07844;30.3549
53.07469;30.25615
53.07365;27.50604
53.07323;27.68552
53.07094;31.29021
53.06344;31.26625
53.0601;27.23583
53.05989;30.8351
53.05708;29.42375
53.05437;31.19385
53.05365;30.88208
53.05344;30.41813
53.05104;29.9774
53.05042;30.45948
53.04844;31.36469
53.04667;30.62604
53.04448;30.00813
53.04177;29.40802
53.04104;29.99146
53.03885;29.62573
53.03625;28.94083
53.03177;29.62
53.03083;29.58448
53.02948;30.49781
53.02771;27.11698
53.02615;30.10875
53.02458;29.75531
53.02312;30.27333
53.02292;29.74844
53.01948;30.53792
53.01719;29.52687
53.01469;29.31573
53.01156;31.27594
53.01135;30.52219
53.01062;28.69177
53.01021;26.67771
53.00865;30.15646
53.00458;29.19635
53.00417;29.9824
53.00385;29.9401
53.00333;31.20188
53.00167;30.98469
53.00135;30.57042
53.00042;27.42146
52.99896;30.35781
52.99635;29.19073
52.99354;27.53229
52.99344;31.24802
52.99271;29.15875
52.99115;30.15729
52.98938;31.37833
52.98917;30.9074
52.98583;30.17271
52.98469;30.34375
52.97823;30.50781
52.97719;30.74333
52.97625;30.07427
52.97562;29.40198
52.97531;30.64594
52.9749;31.47917
52.97302;29.87927
52.97156;26.03271
52.96812;30.44417
52.96333;30.25948
52.96188;30.76583
52.95864;30.5324
52.95698;29.47448
52.95656;28.88365
52.95552;30.04094
52.95135;27.86594
52.94948;31.02177
52.94677;26.24396
52.94573;30.40167
52.94521;30.75042
52.94469;29.6301
52.94292;30.76208
52.94135;31.38812
52.94115;29.6251
52.94104;31.18771
52.94094;29.84458
52.9375;27.45844
52.93636;30.26208
52.93573;31.3901
52.93531;31.43177
52.93135;29.49781
52.93;30.31656
52.92969;31.15906
52.9275;31.20969
52.92739;31.13302
52.92604;26.71635
52.92323;31.48031
52.92323;30.73385
52.92271;30.51813
52.92229;31.01354
52.92229;30.39156
52.92167;30.35552
52.91719;30.72583
52.91677;30.47823
52.91323;30.68115
52.91104;30.70156
52.91042;29.58552
52.90802;28.28833
52.90729;30.2149
52.90552;30.34031
52.90511;30.24542
52.905;30.14865
52.90448;31.20156
52.90354;28.8051
52.9024;30.18833
52.90198;29.35667
52.90187;30.87385
52.90052;31.28323
52.89885;30.19365
52.89865;28.37885
52.89771;27.0551
52.8975;30.53281
52.89719;31.64219
52.89542;29.37062
52.89469;29.40552
52.89437;30.6001
52.89052;29.90104
52.88896;30.1425
52.88896;27.70177
52.885;29.08719
52.88271;29.74552
52.87875;30.53646
52.8775;30.38906
52.87635;30.59635
52.87594;28.93573
52.87469;31.55917
52.87375;30.4376
52.87146;30.18094
52.87125;29.97375
52.87052;30.72958
52.86844;30.25958
52.8674;30.82198
52.86646;30.58427
52.86604;30.23021
52.86521;30.80938
52.8625;30.47469
52.86229;28.10094
52.86;29.21615
52.85812;30.60031
52.85656;30.93104
52.85614;29.88062
52.85531;30.92615
52.85448;28.40021
52.85375;29.80469
52.85167;29.90115
52.85073;31.48385
52.8499;28.82604
52.84958;31.39698
52.84927;29.87323
52.84875;30.26823
52.84698;29.53719
52.84344;30.91344
52.84281;30.82875
52.84146;29.83656
52.83688;29.76552
52.83688;27.33323
52.83656;30.25458
52.83625;29.37385
52.83604;29.8426
52.83271;31.05427
52.83094;31.34583
52.8301;30.025
52.82771;31.47427
52.8275;29.30781
52.82417;31.14354
52.82261;30.0626
52.82219;30.06625
52.82188;30.53583
52.82052;31.08344
52.81875;29.75312
52.81677;31.00344
52.81625;30.43052
52.81479;28.41094
52.81438;30.71344
52.81167;30.315
52.81031;31.13479
52.81021;29.30886
52.80875;29.44865
52.80833;30.06667
52.80375;31.19135
52.80302;31.32052
52.79625;29.61687
52.79615;30.56365
52.795;30.92458
52.78875;30.63833
52.78375;31.0325
52.78302;29.91156
52.78021;28.875
52.77802;29.84719
52.77625;29.70417
52.77448;29.58656
52.77396;29.50646
52.77323;30.20271
52.7726;30.83448
52.77187;27.28437
52.77073;31.15958
52.76781;29.98042
52.76688;30.74573
52.76667;30.59292
52.76594;30.08937
52.76573;29.86865
52.76531;26.96542
52.76365;26.88885
52.76302;31.41771
52.76104;30.90729
52.76062;29.90198
52.75896;29.56854
52.75719;30.60885
52.75719;29.34302
52.75615;29.7451
52.75177;31.04833
52.75146;27.66458
52.75125;29.92781
52.75063;31.44281
52.75042;29.78938
52.74896;29.7226
52.74896;29.21458
52.74792;31.04302
52.74729;27.30635
52.74437;30.49979
52.74385;29.9401
52.74344;29.40219
52.74177;30.9575
52.74177;29.98229
52.74125;28.57635
52.73729;29.73906
52.73635;29.95062
52.73615;30.59542
52.73354;29.63844
52.73281;28.70687
52.72833;27.52094
52.72802;30.67073
52.72594;27.34823
52.72469;31.5199
52.72125;29.17479
52.7201;30.60552
52.71844;27.59583
52.71698;30.68167
52.7125;31.37812
52.71229;30.50552
52.71177;30.70198
52.71021;31.01385
52.71011;28.0325
52.71;31.33635
52.71;27.70115
52.70844;31.46021
52.70802;30.72156
52.70719;30.39521
52.70531;30.47583
52.70313;30.83063
52.70302;30.8176
52.7025;30.38604
52.70104;29.36469
52.70052;30.61188
52.69729;30.99469
52.69688;31.4425
52.6951;30.78542
52.69479;30.68813
52.69448;29.23479
52.69354;30.38375
52.69239;27.07094
52.69208;29.64437
52.69177;30.78417
52.69115;31.32948
52.68927;29.96094
52.68781;30.90167
52.68771;30.5049
52.6875;30.72417
52.6874;30.81
52.68698;31.37917
52.68625;27.65802
52.685;27.99031
52.68427;31.13219
52.68323;31.11188
52.6824;30.51042
52.67542;30.40187
52.67521;29.88083
52.6726;30.97302
52.6725;30.78115
52.66958;30.13437
52.66781;30.61594
52.665;30.91969
52.66396;31.14729
52.66292;30.16625
52.66198;31.24229
52.66;30.81198
52.6599;30.88406
52.65833;31.11312
52.65625;30.81708
52.65521;30.78385
52.64896;30.78594
52.63771;30.93875
52.63458;30.63635
52.63115;26.82802
52.63073;30.80615
52.62802;30.17229
52.62761;31.03958
52.62563;30.7676
52.62167;31.07729
52.61937;30.36354
52.61666;31.41677
52.61177;29.55365
52.61125;31.37552
52.60437;31.515
52.60271;30.65583
52.60219;30.55927
52.59729;31.07458
52.59469;30.9825
52.58969;29.72
52.58125;31.31344
52.58021;27.15198
52.5751;30.82792
52.57219;30.52761
52.56865;31.21521
52.56656;30.86677
52.56073;30.91708
52.56052;31.3174
52.56021;31.30094
52.55614;30.855
52.55229;31.20219
52.55;31.3875
52.54688;31.13448
52.5449;30.5324
52.54479;30.4425
52.54115;31.57583
52.54104;30.83708
52.53209;27.40906
52.52677;27.23729
52.52083;31.08594
52.5149;30.94489
52.51385;31.1199
52.51115;31.07688
52.50885;30.9175
52.50813;30.86188
52.50365;30.55135
52.50261;29.43792
52.50084;29.34562
52.5;31.14406
52.49958;27.54823
52.49625;31.17417
52.49541;27.83417
52.49208;28.03927
52.48594;30.53583
52.47833;29.17156
52.47813;29.34167
52.47604;31.14875
52.47385;31.42281
52.46135;28.10938
52.45885;30.83969
52.45625;30.75729
52.45604;31.00562
52.45469;29.23354
52.44906;27.59667
52.44896;30.72427
52.44885;26.94094
52.44729;30.92365
52.44646;28.05594
52.44625;31.08365
52.44521;28.96656
52.44125;30.82073
52.43594;29.4651
52.43312;27.08156
52.43261;29.28125
52.42406;30.71365
52.42125;29.0199
52.42062;29.5626
52.42062;27.37625
52.4124;30.31854
52.41146;28.93469
52.41125;30.53771
52.40719;29.40313
52.40375;30.90969
52.40104;30.13854
52.40094;30.71604
52.4;27.56302
52.39656;31.21167
52.39531;29.02667
52.39354;29.38448
52.3925;31.33177
52.39167;30.71812
52.38885;30.61583
52.38885;30.33979
52.385;30.66656
52.38083;29.05333
52.37959;28.64656
52.3774;31.23542
52.37698;27.77417
52.37479;30.44031
52.37437;30.98531
52.37437;27.85375
52.37323;31.54219
52.37323;30.84302
52.37281;30.78844
52.36969;27.7649
52.36802;28.68448
52.36625;30.74073
52.36531;29.26896
52.36406;30.32427
52.36198;31.06052
52.35938;31.10948
52.35938;30.75385
52.35896;27.48583
52.35479;31.07865
52.35365;30.06083
52.35198;31.41969
52.35094;29.85729
52.34958;27.84344
52.34792;28.52698
52.34729;31.42
52.34385;30.97688
52.34323;31.5025
52.34323;30.77354
52.33937;31.13958
52.33511;30.37042
52.33385;30.70052
52.33292;30.24323
52.3325;27.46156
52.32844;26.9599
52.32677;31.17208
52.32604;30.69198
52.32583;31.4776
52.32469;30.7774
52.32469;28.5876
52.32219;30.77167
52.32063;29.73823
52.32042;31.4374
52.3201;31.39542
52.31667;27.37323
52.31552;28.60417
52.31396;30.36385
52.31281;31.53292
52.31187;28.62677
52.31031;30.67521
52.30896;27.18698
52.30781;27.20135
52.3074;30.4726
52.30677;27.86594
52.30594;30.615
52.30594;30.61344
52.30521;30.69031
52.30479;27.38531
52.30333;30.94354
52.30333;29.55573
52.30313;27.74771
52.3001;26.5924
52.29719;31.24781
52.29604;31.65552
52.2951;28.03229
52.29271;26.77396
52.29083;29.38375
52.28844;29.4825
52.28802;28.57031
52.28719;31.6299
52.28656;28.48979
52.28656;28.05448
52.28614;27.84917
52.28531;26.85708
52.28313;26.93906
52.2825;30.33115
52.28239;31.55521
52.28198;29.19417
52.28156;27.9924
52.27948;29.0625
52.27865;27.89604
52.2774;30.72177
52.2774;28.44083
52.27604;30.68375
52.27604;27.72479
52.27479;31.26281
52.27375;30.95542
52.27291;31.42562
52.27261;31.46635
52.27261;29.5474
52.27187;30.05062
52.27187;29.74573
52.27146;28.66542
52.26677;31.06385
52.26583;27.48677
52.26521;26.55417
52.26417;30.69844
52.26365;31.5851
52.25864;30.88594
52.25781;30.74646
52.2575;28.29615
52.25719;27.82781
52.25573;29.28104
52.25552;31.62281
52.25448;27.5301
52.25385;30.03938
52.25323;31.28729
52.25219;27.10323
52.25021;27.68479
52.25;26.97448
52.24886;28.57094
52.24802;30.83146
52.2475;31.1051
52.24719;30.74917
52.24333;30.68208
52.2424;27.50479
52.24198;30.14354
52.24177;31.0474
52.24146;30.76687
52.23833;28.54323
52.23729;30.90792
52.23729;30.31531
52.23563;27.28115
52.23521;30.02573
52.23438;27.45198
52.23323;30.78927
52.23312;30.22271
52.23292;28.50385
52.23177;30.80302
52.23052;28.11229
52.23;27.20469
52.22875;30.69969
52.22854;27.6325
52.22656;26.86281
52.22552;30.8926
52.2249;27.54698
52.22448;27.70927
52.22271;27.40104
52.22125;26.88042
52.21906;30.97656
52.21761;30.67104
52.2174;27.26865
52.21719;30.30188
52.21719;27.55229
52.21563;26.61646
52.21427;30.75625
52.21417;27.68531
52.21271;27.60875
52.21177;28.6376
52.21094;27.26344
52.21031;27.50771
52.20719;29.53146
52.20438;27.40656
52.20333;27.95469
52.20302;31.52208
52.20073;30.99052
52.20063;26.06479
52.19958;28.97729
52.19833;29.25333
52.19781;28.0249
52.19521;28.90667
52.195;30.5126
52.19469;30.79115
52.19375;30.50573
52.19354;29.65021
52.19344;27.87792
52.19167;27.7099
52.19135;26.88125
52.18875;29.15604
52.18854;30.10427
52.18823;27.23708
52.1876;27.69312
52.18698;27.48229
52.18604;27.45344
52.18406;28.3399
52.18396;29.90615
52.18167;28.83937
52.18104;26.93469
52.17927;30.74115
52.17906;26.38688
52.17865;27.18375
52.17667;28.92552
52.17583;30.30167
52.17562;28.91417
52.17479;27.8999
52.17427;30.52042
52.17365;30.39479
52.17365;28.28198
52.17292;29.30865
52.1725;28.17719
52.17115;31.5724
52.16917;29.20469
52.16906;30.65333
52.16864;31.40885
52.16604;30.10844
52.16542;30.53646
52.16479;30.77875
52.16281;30.60531
52.16094;31.66937
52.16084;27.83104
52.16063;29.41854
52.15948;29.81823
52.15927;27.49042
52.15865;27.80854
52.15781;29.82458
52.15646;26.92896
52.15604;31.7501
52.15427;29.68125
52.15344;27.37417
52.14844;27.14854
52.14625;27.62823
52.14531;30.6549
52.14427;27.72104
52.14333;31.47271
52.14333;30.6701
52.14292;30.58385
52.1426;26.69146
52.14208;27.03719
52.14104;29.47646
52.14;26.28104
52.13917;27.97302
52.13896;29.94938
52.13823;27.625
52.13823;27.27896
52.13781;27.64844
52.13708;28.22437
52.13594;27.52927
52.13542;28.18031
52.13521;30.36677
52.13396;30.82906
52.13354;27.62458
52.13271;26.26042
52.13104;27.53615
52.12979;26.24167
52.12958;30.33771
52.12948;29.86062
52.12938;30.58573
52.12865;30.77375
52.12854;28.91813
52.12594;26.28021
52.12479;26.69489
52.12469;31.42042
52.1225;27.63479
52.12188;27.36146
52.12104;30.40948
52.12094;29.28333
52.12;28.23469
52.11906;31.72208
52.11896;26.765
52.11813;31.88469
52.1176;30.77042
52.11719;26.49125
52.11489;27.91927
52.11469;29.96844
52.11396;30.09948
52.11375;30.45792
52.11333;25.47531
52.11323;27.60854
52.11229;31.50865
52.11177;27.67438
52.11031;27.5774
52.10896;27.23302
52.10885;30.21812
52.10844;29.86458
52.10844;26.62313
52.1074;26.34719
52.10646;27.53594
52.10594;26.60875
52.10458;30.29313
52.10292;31.35104
52.10271;30.65333
52.1025;27.43833
52.10188;27.94667
52.10104;30.75937
52.10073;26.71896
52.1;26.44885
52.0999;26.69385
52.09958;30.2051
52.09687;30.59562
52.09521;26.19729
52.09438;27.32844
52.09417;29.03594
52.09281;30.25312
52.0924;26.78229
52.09167;30.61594
52.09104;29.46156
52.09104;26.215
52.08958;30.73417
52.08802;26.07698
52.08656;30.33406
52.08583;27.30531
52.08521;30.42948
52.08469;30.68969
52.08354;27.83521
52.08313;30.12646
52.0826;29.5475
52.08187;30.23938
52.08146;27.14031
52.08125;25.83667
52.08104;31.39937
52.0799;26.51917
52.07906;30.66646
52.07875;26.91115
52.07802;29.60375
52.07792;29.24469
52.0775;27.06917
52.0774;31.32906
52.07687;25.40698
52.07604;29.42635
52.07521;29.97375
52.07396;30.63115
52.06927;31.16344
52.06896;26.64917
52.06833;30.52823
52.06802;27.7599
52.06625;30.14063
52.06333;30.80115
52.06292;25.18312
52.06281;27.8775
52.06125;29.7599
52.06115;26.39031
52.05896;27.71333
52.05875;27.17146
52.05844;31.18417
52.05781;29.87167
52.0575;27.64604
52.05333;26.38729
52.05177;26.92917
52.05062;26.01073
52.04854;28.15865
52.03989;27.77323
52.035;27.4376
52.03146;25.87917
52.03073;27.24583
52.03021;27.15469
52.02469;31.18552
52.02469;27.54531
52.02458;30.75833
52.02427;30.19875
52.02271;28.265
52.0176;28.67354
52.0149;26.1725
52.01406;27.5526
52.01323;27.45844
52.01229;29.1376
52.01073;29.55771
52.01062;27.62437
52.00948;31.44271
52.0076;30.31021
52.00636;27.52948
52.00354;25.35792
52.00219;28.34365
52.00104;27.69885
51.99969;26.52448
51.99823;27.85802
51.99688;27.2549
51.99677;26.78042
51.99667;30.57573
51.99594;30.44813
51.99531;30.66844
51.99083;27.69406
51.99073;27.46427
51.9901;26.67698
51.98989;29.93708
51.98989;26.17937
51.98979;26.61583
51.98906;26.77396
51.98708;27.84958
51.98604;26.80365
51.98448;28.71104
51.98271;30.49083
51.98219;27.16344
51.98042;26.57281
51.97896;26.52312
51.97813;28.42552
51.97729;31.24854
51.97698;27.3226
51.97594;28.50156
51.97406;27.00302
51.97375;28.3124
51.97271;31.13208
51.96969;29.17083
51.96844;28.90448
51.96698;27.17542
51.965;30.81656
51.96458;31.2276
51.96437;27.15875
51.96333;26.93417
51.96198;27.09594
51.96167;26.8424
51.96094;30.3926
51.96073;29.19875
51.96062;29.42448
51.95979;26.81437
51.95969;26.42802
51.95896;30.54427
51.95896;29.99198
51.95896;28.12687
51.95875;29.63323
51.95854;29.13083
51.95823;30.08479
51.95792;31.05604
51.95708;31.07354
51.95687;27.60833
51.95656;30.63917
51.95635;29.88833
51.95448;28.18813
51.95406;30.4026
51.95302;27.3274
51.95208;30.80156
51.95208;30.64531
51.95177;28.5975
51.95146;30.61208
51.95135;30.19135
51.95052;27.81958
51.95052;27.80187
51.95042;30.03917
51.95;26.40937
51.94938;30.32438
51.94938;27.855
51.94823;27.07594
51.94792;30.94969
51.9474;26.66469
51.94729;30.10125
51.94667;25.71208
51.94635;27.34604
51.94604;27.56271
51.94521;30.56219
51.94479;26.62406
51.94437;27.18386
51.94396;29.32885
51.94396;27.785
51.94281;31.31614
51.94167;29.33802
51.93927;30.31302
51.93885;30.18302
51.93875;30.62396
51.93719;26.84438
51.93521;27.81625
51.93458;30.62313
51.93406;31.45083
51.93312;31.37833
51.93312;29.20833
51.93261;27.65261
51.93208;26.65802
51.93177;28.9225
51.93167;27.11667
51.93063;31.51677
51.93031;28.27135
51.93021;30.30302
51.93;30.49865
51.92979;27.585
51.92896;31.04844
51.92886;30.06958
51.92875;30.30427
51.92875;27.76208
51.92844;25.80281
51.92729;29.93125
51.92708;28.00948
51.92698;27.35188
51.92646;31.36437
51.92646;26.98854
51.92469;30.57187
51.92458;31.43479
51.92385;30.21594
51.92323;30.93865
51.92302;26.77865
51.92208;27.97594
51.92198;26.37958
51.92125;27.0549
51.92031;31.23365
51.92;27.44396
51.91938;30.13417
51.91917;28.15219
51.91854;30.29094
51.91823;27.54219
51.91781;30.97271
51.91719;31.11135
51.91636;27.39021
51.91489;30.90104
51.91344;25.98313
51.91198;31.63271
51.91177;27.36854
51.91167;31.36406
51.91104;29.97385
51.91094;26.96729
51.91073;31.2
51.91;30.35687
51.91;30.28646
51.9099;27.15073
51.90948;31.00594
51.90854;31.39135
51.90823;30.83979
51.90771;27.35271
51.90771;26.65792
51.90739;31.01615
51.90635;26.99292
51.90615;26.01792
51.90385;29.74521
51.90333;27.18552
51.90323;31.97948
51.90313;26.81208
51.90292;29.51656
51.90271;31.07104
51.90177;30.5476
51.90062;31.04396
51.89885;30.11458
51.89812;32.93917
51.8974;27.18021
51.89729;30.59604
51.89542;27.38521
51.89365;28.91083
51.89344;27.47073
51.89292;27.30656
51.89167;30.71219
51.89146;31.03271
51.89135;31.3601
51.89104;27.0151
51.89073;30.12771
51.89052;29.5574
51.89052;27.25937
51.89042;28.87563
51.88906;27.11146
51.88885;29.67948
51.88833;30.0451
51.88833;27.5849
51.88833;26.61948
51.88656;25.53844
51.88635;30.49
51.88552;29.15927
51.88521;26.7024
51.88427;32.79094
51.88396;27.00198
51.88396;26.99823
51.88354;30.77198
51.88334;27.30385
51.88313;25.3174
51.88198;32.10354
51.88187;27.61656
51.88115;31.52625
51.88094;27.21615
51.88021;28.87208
51.8801;30.46511
51.87959;27.41636
51.87927;30.47292
51.87865;27.27865
51.87844;32.30979
51.87698;26.33719
51.87604;28.85417
51.87333;28.72812
51.87312;26.49302
51.87208;26.60698
51.87125;30.65531
51.87125;28.96708
51.86979;26.80781
51.86969;31.08687
51.86854;26.97552
51.86844;26.4574
51.86802;31.24042
51.8676;26.99854
51.86719;27.01333
51.86646;29.21917
51.86583;28.85531
51.86573;26.3825
51.86562;27.42281
51.86542;31.47177
51.86521;27.71
51.86458;28.95
51.8626;31.26427
51.8626;30.89135
51.86135;30.56313
51.86125;27.46313
51.86073;30.81385
51.8601;25.6799
51.85958;26.47521
51.85865;30.73125
51.85865;30.42438
51.85812;31.51448
51.85729;31.55135
51.85729;26.9951
51.85708;26.89187
51.85667;29.97146
51.85625;29.09646
51.85479;27.59052
51.85469;28.36156
51.85437;30.70969
51.85386;26.76031
51.85365;29.19531
51.85344;26.37687
51.8524;28.79073
51.85209;27.4876
51.85198;31.0224
51.85042;27.1325
51.8499;26.50698
51.84969;30.90198
51.84896;29.9824
51.84844;30.47323
51.84834;30.59135
51.84771;28.32615
51.84656;27.93573
51.84615;28.89021
51.84542;29.01021
51.84469;25.5826
51.84365;31.36687
51.84292;25.45385
51.84146;31.52458
51.84104;26.81323
